gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors	
FAAP20	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094636721	1.319540389	0	3.590018346	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
SPOCD1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.108456605	0	0	0	0	0	0	0	0	0	0	0	1.281381543	0	3.565679384	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
TNFSF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093678491	1.285785329	1.175291659	3.554755478	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
FGFR3	0	1.359419467	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087293269	0	3.540708409	TRANSCRIPTOMICS: Dai_34276789_data, GENOMICS: Da_paepe_20718599	
SERPINA1	0	0	0	0	0	0	0	0	1.243973546	0	1.171317825	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	0	0	3.521752176	PROTEOMICS: Zasada_31445514, TRANSCRIPTOMICS: Bharracharya_22723293	
ADORA3	0	0	0	0	1.175841237	0	0	0	0	0	1.171317695	0	0	0	0	0	0	0	0	1.150201224	0	0	0	0	0	0	0	0	3.497360156	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
FCRLA	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.197623954	0	0	0	0	0	0	0	0	0	0	0	0	1.121864478	3.495329668	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
RALGPS2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.198943155	0	0	0	0	0	0	0	0	0	0	0	0	1.119260975	3.494045367	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
MARCO	0	0	0	0	1.175841237	0	0	0	0	0	1.171317235	0	0	0	1.123497706	0	0	0	0	0	0	0	0	0	0	0	0	0	3.470656178	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
FCRL2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.208737283	0	0	0	0	0	0	0	0	0	0	1.085651475	0	0	3.470229995	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
GPA33	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.129526929	0	0	0	0	0	0	0	0	0	1.159851181	3.465219347	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
CHI3L2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.151603879	0	0	0	0	0	0	1.137623312	3.465068428	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
TRABD2A	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.133672242	0	0	1.15294535	0	0	0	0	0	0	0	3.462458828	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
CYP27A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.232280785	1.123325341	3.462066931	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
URB2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16820331	1.117275066	3.461319613	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
OLFM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.094201832	1.256936498	0	3.457599135	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
CHIT1	0	0	0	0	1.175841237	0	0	0	0	0	1.171317865	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	0	0	3.453993083	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
CENPA	0	0	0	0	1.175841237	0	0	0	0	0	1.171317495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094452446	0	0	3.441611178	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
HIVEP3	0	0	0	0	1.175841237	0	1.170997845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.092447535	0	0	3.439286616	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
IL1RL1	0	0	0	0	1.175841237	0	0	0	0	0	1.171317955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091216578	0	0	3.43837577	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
KIF14	0	0	0	0	1.175841237	0	0	0	0	0	1.171317745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090383655	0	0	3.437542637	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
MAN1C1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1534613	0	0	0	1.106460805	0	0	0	3.435763341	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
RSAD2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087305871	1.172214944	3.435362051	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PLA2G2A	0	0	0	0	1.175841237	0	0	0	0	0	1.171317805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087293029	0	3.43445207	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
UBASH3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136435784	0	0	1.151707069	0	0	0	0	0	0	1.137025363	3.425168216	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
LDLRAP1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.151294309	0	0	0	0	1.092027388	0	0	3.419162933	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
ISG15	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087295389	1.154607793	3.417744418	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SMYD2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.089152699	0	1.144231214	3.40922515	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
CD1C	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.108667681	0	0	0	0	0	0	0	0	0	0	0	0	1.124444005	3.408952922	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
NFIA	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	1.114575161	0	0	0	0	0	0	0	0	0	0	0	0	0	1.118254546	3.408670943	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SLC18A2	0	0	0	0	0	0	0	0	0	0	1.171317765	0	0	0	1.108792063	0	0	0	0	0	0	0	0	0	0	0	0	1.125265036	3.405374864	TRANSCRIPTOMICS: Bharracharya_22723293	
YY1AP1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	0	1.121463142	3.404138361	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PCNX2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	0	1.121767521	3.404069563	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
ORC1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087297783	1.13482977	3.39796879	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
IGF2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.150201324	1.155937861	0	0	0	0	1.089373829	0	0	3.395513014	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
TMEM204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.119854531	0	0	1.151397499	0	0	0	0	0	0	1.123844014	3.395096045	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
THEMIS	0	0	0	0	0	0	0	0	0	0	1.171317515	0	0	0	0	0	0	1.132566825	0	0	0	0	0	0	0	1.090206752	0	0	3.394091092	TRANSCRIPTOMICS: Bharracharya_22723293	
EDAR	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.123170782	1.093631979	0	0	0	0	0	0	0	0	0	3.392643998	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_down_day28	
POLR1B	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087293649	1.119585875	3.38272076	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
DHRS3	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087292959	1.119372899	3.382507094	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
DDX18	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087290289	1.117966984	3.38109851	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
GPBP1L1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081435265	0	1.122038127	3.379314628	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
MKI67	0	0	0	0	0	0	0	0	0	0	1.171317485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086410688	0	1.120960976	3.378689149	TRANSCRIPTOMICS: Bharracharya_22723293	
PDGFD	0	0	0	1.138966615	0	0	0	0	0	0	0	0	0	1.114575421	1.1244327	0	0	0	0	0	0	0	0	0	0	0	0	0	3.377974736	GENOMICS: Hamvas_30342483, TRANSCRIPTOMICS: Gong_32412065	
IFNLR1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.109824915	0	0	0	0	0	0	0	0	0	0	0	1.087385992	0	3.373052144	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
CACNA1E	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.108938103	0	0	0	0	0	0	0	0	0	0	0	1.087290209	0	3.372069548	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
IL23R	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.108882266	0	0	0	0	0	0	0	0	0	0	1.086948771	0	0	3.371672274	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
CDC14A	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.08731023	0	3.369612271	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Windhorst_37090732	
AK2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.087295809	0	3.36959785	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Windhorst_37090732	
PADI2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.086123219	0	0	3.368425261	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Windhorst_37090732	
CD177	0	0	0	0	0	0	0	0	0	0	1.171317505	0	0	0	0	1.106833982	1.089931159	0	0	0	0	0	0	0	0	0	0	0	3.368082645	TRANSCRIPTOMICS: Bharracharya_22723293	
NNMT	0	0	0	0	0	0	0	0	0	0	1.171318115	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.089631814	0	0	3.367410734	TRANSCRIPTOMICS: Bharracharya_22723293	
CNRIP1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.108855547	0	0	0	0	0	0	0	0	0	0	1.080720278	0	0	3.365417062	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Gong_32412065	
CD96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13284318	1.093631879	0	0	0	0	0	0	0	0	1.138116872	3.364591931	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
CD180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.147532717	0	0	0	0	0	0	0	0	0	0	1.089366458	0	1.12712775	3.364026925	TRANSCRIPTOMICS: Gong_32412065	
ERVH48-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12040724	0	0	1.152223019	0	0	0	0	1.090391026	0	0	3.363021286	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
LRRC47	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094253429	1.090500281	0	3.360594946	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
TP73	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093590039	1.087298391	0	3.356729667	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
NADK	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.092344341	1.087294049	0	3.355479626	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
RASAL2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.092292744	1.08729664	0	3.35543062	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
FBN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	1.15521553	0	0	0	0	1.092580213	0	0	3.354629725	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
THEM5	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090914367	1.087294519	0	3.354050123	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PTGFRN	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093631809	0	0	0	0	0	0	1.083993001	0	0	3.353466047	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_down_day5	
ARNTL2	0	0	0	0	0	0	0	0	0	0	1.171317395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094069154	1.087833571	0	3.35322012	TRANSCRIPTOMICS: Bharracharya_22723293	
STK40	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087059336	1.087297294	0	3.350197866	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
TTC34	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086005283	1.087306718	0	3.349153237	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
DISP3	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.085349264	1.087298292	0	3.348488793	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
HPS4	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087297263	1.165925149	3.347218086	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SMYD3	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081685879	1.087291809	0	3.344818924	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
CAMTA1	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081531088	1.0872965	0	3.344668824	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
GNLY	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08036647	1.087290769	0	3.343498476	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
ZNF608	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575001	1.136240938	0	0	0	0	0	0	0	0	0	0	1.092078985	0	0	3.342894924	TRANSCRIPTOMICS: Gong_32412065	
DPF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.111951452	0	0	0	0	0	0	0	0	0	0	1.084671133	0	1.144914356	3.341536941	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
RETREG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.122065365	1.093631859	0	0	0	0	0	0	0	0	1.123171556	3.338868781	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PLCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.089108473	1.087297395	1.152946491	3.329352358	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
RNF103	0	0	0	0	1.175841237	0	0	0	0	0	0	1.062158394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087292559	0	3.325292189	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
SERPINF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574501	0	0	0	0	0	0	0	0	0	0	0	0	1.087297314	1.120576607	3.322448422	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
LMF1	0	0	0	1.138966895	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087293979	0	3.320256547	GENOMICS: Hamvas_30342483, TRANSCRIPTOMICS: Dai_34276789_data	
DLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109028214	0	0	0	0	0	0	0	0	0	0	1.088975795	0	1.120308664	3.318312674	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SYTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087789064	1.107888207	1.120252785	3.315930057	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10850266	0	0	0	0	0	0	0	0	0	0	0	1.08729659	1.118785705	3.314584955	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
BHLHE41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136657067	0	0	0	0	0	0	0	0	0	0	1.086255897	1.087296861	0	3.310209825	TRANSCRIPTOMICS: Gong_32412065	
ST6GALNAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091872597	1.092091342	1.119104184	3.303068123	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
BEND3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091393482	1.087355289	1.122817296	3.301566066	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
XIST	0	0	0	0	0	0	0	0	0	0	1.171317135	0	0	0	1.127304252	0	0	0	0	0	0	1.002093124	0	0	0	0	0	0	3.300714511	TRANSCRIPTOMICS: Bharracharya_22723293	
FAM222B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093906992	1.08729682	1.11788639	3.299090203	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
LTBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574641	0	0	0	0	0	0	0	0	0	0	0	1.092513874	1.087393954	0	3.294482468	TRANSCRIPTOMICS: Fulton_30459472	
SYNPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.122403217	0	0	0	0	0	0	0	0	0	0	1.083123223	1.087296309	0	3.292822749	TRANSCRIPTOMICS: Gong_32412065	
MCF2L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.110056718	0	0	0	0	0	0	0	0	0	0	1.093398393	1.08729795	0	3.290753061	TRANSCRIPTOMICS: Gong_32412065	
ETS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.083860323	1.087298986	1.119552656	3.290711966	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PRDM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10851893	0	0	0	0	0	0	0	0	0	0	1.092241147	1.088494032	0	3.289254109	TRANSCRIPTOMICS: Gong_32412065	
PLD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575531	0	0	0	0	0	0	0	0	0	0	0	1.086535995	1.087302357	0	3.288413883	TRANSCRIPTOMICS: Fulton_30459472	
CD2AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081936493	1.087333346	1.117211831	3.28648167	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
