Rat Gene,Human Ortholog Gene Symbol
Filip1,ENSG00000118407
Fam109b,ENSG00000177096
Pla2g7,ENSG00000146070
Polh,ENSG00000170734
Myo9a,ENSG00000066933
Npas2,ENSG00000170485
Il1r2,ENSG00000115590
Clk3,ENSG00000179335
Carf,ENSG00000138380
Scn4b,ENSG00000177098
Rnf25,ENSG00000163481
Serpine2,ENSG00000135919
Map2,ENSG00000078018
Rhbdd1,ENSG00000144468
Ccdc179,ENSG00000255359
Ube2f,ENSG00000184182
Hdac4,ENSG00000068024
Oprm1,ENSG00000112038
Fam168a,ENSG00000054965
Epb41l3,ENSG00000082397
Lpin2,ENSG00000101577
Cxcr2,ENSG00000180871
Mapk1ip1,ENSG00000168175
Mrvi1,ENSG00000072952
Rfx3,ENSG00000080298
Sgms1,ENSG00000198964
Pstk,ENSG00000179988
LOC361646,ENSG00000047578
Oat,ENSG00000065154
Cpt1a,ENSG00000110090
C5ar2,ENSG00000134830
Pip5k1a,ENSG00000143398
Gulp1,ENSG00000144366
Sec14l5,ENSG00000103184
Prss41,ENSG00000215148
Cdip1,ENSG00000089486
Pcgf5,ENSG00000180628
Vmp1,ENSG00000062716
Plekhm1,ENSG00000225190
Zfp148,ENSG00000163848
Uchl5,ENSG00000116750
Slc26a9,ENSG00000174502
Rasal2,ENSG00000075391
Glrx2,ENSG00000023572
Unc45b,ENSG00000141161
Nfasc,ENSG00000163531
Acan,ENSG00000157766
Sec16b,ENSG00000120341
Gpa33,ENSG00000143167
Itsn1,ENSG00000205726
Add3,ENSG00000148700
Rgs7,ENSG00000182901
Taf1a,ENSG00000143498
Tmem150c,ENSG00000249242
Ahctf1,ENSG00000153207
Rpl15,ENSG00000174748
Klhl22,ENSG00000099910
Mapk8,ENSG00000107643
Celf4,ENSG00000101489
Rgl1,ENSG00000131899
Chrm3,ENSG00000133019
Slc14a2,ENSG00000132874
Smim3,ENSG00000256235
Sgcg,ENSG00000102683
Tdrd3,ENSG00000083544
Enc1,ENSG00000171617
Cdh11,ENSG00000140937
Syk,ENSG00000165025
Sncaip,ENSG00000064692
Lysmd1,ENSG00000163155
Cmtm3,ENSG00000140931
Zfp639,ENSG00000121864
Cmbl,ENSG00000164237
Pcbp3,ENSG00000183570
Zcchc4,ENSG00000168228
St6galnac3,ENSG00000184005
Slc7a14,ENSG00000013293
Rap1a,ENSG00000127314
Trmt44,ENSG00000155275
Lrrc4c,ENSG00000148948
Polr3f,ENSG00000132664
Atxn1,ENSG00000124788
Gab1,ENSG00000109458
Rcn1,ENSG00000049449
Rpl10a,ENSG00000198755
Fam126a,ENSG00000122591
Osbpl2,ENSG00000130703
Prickle2,ENSG00000163637
Sulf1,ENSG00000137573
Lyn,ENSG00000254087
Bcl2l14,ENSG00000121380
Wnt16,ENSG00000002745
Dnajb4,ENSG00000162616
Pld1,ENSG00000075651
Angptl2,ENSG00000136859
Rere,ENSG00000142599
Klhl29,ENSG00000119771
Rassf8,ENSG00000123094
Glcci1,ENSG00000106415
Dlgap3,ENSG00000116544
Ypel5,ENSG00000119801
Lpar1,ENSG00000198121
Elavl2,ENSG00000107105
Coa7,ENSG00000162377
Myf6,ENSG00000111046
Ift43,ENSG00000119650
Ano4,ENSG00000151572
Rin3,ENSG00000100599
Mob3b,ENSG00000120162
Cpm,ENSG00000135678
Rac2,ENSG00000128340
Fam83b,ENSG00000168143
Slc16a7,ENSG00000118596
Pafah1b2,ENSG00000168092
Fez1,ENSG00000149557
Mrap2,ENSG00000135324
Cflar,ENSG00000003402
Plcl2,ENSG00000154822
Caps2,ENSG00000180881
Cab39,ENSG00000135932
E2f6,ENSG00000169016
Eif4e2,ENSG00000196811
Nfasc,ENSG00000163531
Tmem252,ENSG00000181778
Map3k7cl,ENSG00000156265
Tsku,ENSG00000182704
Cdh6,ENSG00000113361
Rffl,ENSG00000092871
Pknox2,ENSG00000165495
Nmnat3,ENSG00000163864
Gtdc1,ENSG00000121964
Slc7a14,ENSG00000013293
Lars2,ENSG00000011376
Slc20a2,ENSG00000168575
Pak7,ENSG00000101349
Fam49a,ENSG00000197872
B3gnt2,ENSG00000170340
Thrb,ENSG00000151090
Gpr160,ENSG00000173890
Ppfibp1,ENSG00000110841
Fbxw11,ENSG00000072803
Ahrr,ENSG00000063438
Tmem63c,ENSG00000165548
Cd2,ENSG00000116824
Mrs2,ENSG00000124532
Nanos3,ENSG00000187556
Rfx3,ENSG00000080298
Tube1,ENSG00000074935
Spire1,ENSG00000134278
Lypd6b,ENSG00000150556
Tenm2,ENSG00000145934
Celf4,ENSG00000101489
Rin2,ENSG00000132669
Col4a4,ENSG00000081052
Uqcrh,ENSG00000173660
LOC361646,ENSG00000047578
Mecom,ENSG00000085276
Tenm2,ENSG00000145934
Tfec,ENSG00000105967
Epn2,ENSG00000072134
Bach2,ENSG00000112182
Calcoco1,ENSG00000012822
Sorbs2,ENSG00000154556
Mfsd6,ENSG00000151690
Smad2,ENSG00000166949
Slc14a2,ENSG00000132874
Lrrc52,ENSG00000162763
