Mouse Genes,Human Ortholog Symbol
ENSMUSG00000031231,ENSG00000131174
ENSMUSG00000030612,ENSG00000259494
ENSMUSG00000035517,ENSG00000196116
ENSMUSG00000025980,ENSG00000144381
ENSMUSG00000021171,ENSG00000117868
ENSMUSG00000006442,ENSG00000116649
ENSMUSG00000027009,ENSG00000115232
ENSMUSG00000018899,ENSG00000125347
ENSMUSG00000022351,ENSG00000104549
ENSMUSG00000028036,ENSG00000122420
ENSMUSG00000073079,ENSG00000100883
ENSMUSG00000028820,ENSG00000116560
ENSMUSG00000020917,ENSG00000131473
ENSMUSG00000046805,ENSG00000197629
ENSMUSG00000047842,ENSG00000165023
ENSMUSG00000021670,ENSG00000113161
ENSMUSG00000026104,ENSG00000115415
ENSMUSG00000029064,ENSG00000078369
ENSMUSG00000005483,ENSG00000132002
ENSMUSG00000034647,ENSG00000101745
ENSMUSG00000027952,ENSG00000163344
ENSMUSG00000006818,ENSG00000291237
ENSMUSG00000032869,ENSG00000125818
ENSMUSG00000023046,ENSG00000167779
ENSMUSG00000006304,ENSG00000163466
ENSMUSG00000030103,ENSG00000134107
ENSMUSG00000026380,ENSG00000115112
ENSMUSG00000058135,ENSG00000134184
ENSMUSG00000056492,ENSG00000069122
ENSMUSG00000026094,ENSG00000081320
ENSMUSG00000048970,ENSG00000171155
ENSMUSG00000021591,ENSG00000173221
ENSMUSG00000026430,ENSG00000266094
ENSMUSG00000006517,ENSG00000167508
ENSMUSG00000002897,ENSG00000177663
ENSMUSG00000026864,ENSG00000044574
ENSMUSG00000060073,ENSG00000100567
ENSMUSG00000033327,ENSG00000168477
ENSMUSG00000049422,ENSG00000250479
ENSMUSG00000041548,ENSG00000152137
ENSMUSG00000028108,ENSG00000143369
ENSMUSG00000032518,ENSG00000288920
ENSMUSG00000028713,ENSG00000142973
ENSMUSG00000053012,ENSG00000172086
ENSMUSG00000005672,ENSG00000157404
ENSMUSG00000024966,ENSG00000168439
ENSMUSG00000048865,ENSG00000186517
ENSMUSG00000008682,ENSG00000147403
ENSMUSG00000030357,ENSG00000004478
ENSMUSG00000039899,ENSG00000127951
ENSMUSG00000032786,ENSG00000023330
ENSMUSG00000024011,ENSG00000164530
ENSMUSG00000025511,ENSG00000214063
ENSMUSG00000020340,ENSG00000055163
ENSMUSG00000028793,ENSG00000116514
ENSMUSG00000028937,ENSG00000097021
ENSMUSG00000002108,ENSG00000025434
ENSMUSG00000018659,ENSG00000108439
ENSMUSG00000042066,ENSG00000133069
ENSMUSG00000078137,ENSG00000230778
ENSMUSG00000020272,ENSG00000072786
ENSMUSG00000025190,ENSG00000120053
ENSMUSG00000020889,ENSG00000126368
ENSMUSG00000037348,ENSG00000182749
ENSMUSG00000029482,ENSG00000081760
ENSMUSG00000034120,ENSG00000161547
ENSMUSG00000002885,ENSG00000123146
ENSMUSG00000013495,ENSG00000127419
ENSMUSG00000031661,ENSG00000140807
ENSMUSG00000014226,ENSG00000116161
ENSMUSG00000029651,ENSG00000132938
ENSMUSG00000028270,ENSG00000162645
ENSMUSG00000039405,ENSG00000150687
ENSMUSG00000022014,ENSG00000133106
ENSMUSG00000074896,ENSG00000119917
ENSMUSG00000024621,ENSG00000182578
ENSMUSG00000004207,ENSG00000197746
ENSMUSG00000036580,ENSG00000133104
ENSMUSG00000009013,ENSG00000088986
ENSMUSG00000005968,ENSG00000143367
ENSMUSG00000022803,ENSG00000121577
ENSMUSG00000027510,ENSG00000132819
ENSMUSG00000017344,ENSG00000109072
ENSMUSG00000030707,ENSG00000102879
ENSMUSG00000029467,ENSG00000174437
ENSMUSG00000058258,ENSG00000067064
ENSMUSG00000024236,ENSG00000197321
ENSMUSG00000005125,ENSG00000104419
ENSMUSG00000001467,ENSG00000001630
ENSMUSG00000045294,ENSG00000186480
ENSMUSG00000027188,ENSG00000149090
ENSMUSG00000028437,ENSG00000165006
ENSMUSG00000051457,ENSG00000197471
ENSMUSG00000040430,ENSG00000154217
ENSMUSG00000002588,ENSG00000005421
ENSMUSG00000032050,ENSG00000137710
ENSMUSG00000050520,ENSG00000156284
ENSMUSG00000000290,ENSG00000160255
ENSMUSG00000052336,ENSG00000168329
ENSMUSG00000021709,ENSG00000112851
ENSMUSG00000059970,ENSG00000126803
ENSMUSG00000049037,ENSG00000111729
ENSMUSG00000020238,ENSG00000125912
ENSMUSG00000046879,ENSG00000237693
ENSMUSG00000025762,ENSG00000138709
ENSMUSG00000041459,ENSG00000120948
ENSMUSG00000014444,ENSG00000103335
ENSMUSG00000033499,ENSG00000107929
ENSMUSG00000035711,ENSG00000146094
ENSMUSG00000059824,ENSG00000105516
ENSMUSG00000016496,ENSG00000120217
ENSMUSG00000020074,ENSG00000060339
ENSMUSG00000027377,ENSG00000144063
ENSMUSG00000024036,ENSG00000160190
ENSMUSG00000025934,ENSG00000182793
ENSMUSG00000059743,ENSG00000160752
ENSMUSG00000062488,ENSG00000119917
ENSMUSG00000029771,ENSG00000128604
ENSMUSG00000001175,ENSG00000198668
ENSMUSG00000031662,ENSG00000167208
ENSMUSG00000027656,ENSG00000064205
ENSMUSG00000010048,ENSG00000214706
ENSMUSG00000002699,ENSG00000043462
ENSMUSG00000020437,ENSG00000136286
ENSMUSG00000037321,ENSG00000168394
ENSMUSG00000020464,ENSG00000138035
ENSMUSG00000072620,ENSG00000172123
ENSMUSG00000037731,ENSG00000130775
ENSMUSG00000024678,ENSG00000110079
ENSMUSG00000029304,ENSG00000118785
ENSMUSG00000024803,ENSG00000148677
ENSMUSG00000104713,ENSG00000183347
ENSMUSG00000025485,ENSG00000177963
ENSMUSG00000057191,ENSG00000214212
ENSMUSG00000058715,ENSG00000158869
ENSMUSG00000029810,ENSG00000106565
ENSMUSG00000031604,ENSG00000052802
ENSMUSG00000015656,ENSG00000109971
ENSMUSG00000026586,ENSG00000116132
ENSMUSG00000029657,ENSG00000120694
ENSMUSG00000004266,ENSG00000111679
ENSMUSG00000028599,ENSG00000028137
ENSMUSG00000015340,ENSG00000165168
ENSMUSG00000035004,ENSG00000140749
ENSMUSG00000071715,ENSG00000100365
ENSMUSG00000022307,ENSG00000164830
ENSMUSG00000048373,ENSG00000137440
ENSMUSG00000024300,ENSG00000142347
ENSMUSG00000025316,ENSG00000172530
ENSMUSG00000027533,ENSG00000164687
ENSMUSG00000022584,ENSG00000291309
ENSMUSG00000073412,ENSG00000204482
ENSMUSG00000030589,ENSG00000171777
ENSMUSG00000089942,ENSG00000186818
ENSMUSG00000039114,ENSG00000124785
ENSMUSG00000061086,ENSG00000198336
ENSMUSG00000001334,ENSG00000160097
ENSMUSG00000072501,ENSG00000129292
ENSMUSG00000078763,ENSG00000172123
ENSMUSG00000069874,ENSG00000237693
ENSMUSG00000047419,ENSG00000164309
ENSMUSG00000027708,ENSG00000043093
ENSMUSG00000032358,ENSG00000168143
ENSMUSG00000033105,ENSG00000160285
ENSMUSG00000028885,ENSG00000130768
ENSMUSG00000085272,ENSG00000231274
ENSMUSG00000025498,ENSG00000185507
ENSMUSG00000040752,ENSG00000197616
ENSMUSG00000026581,ENSG00000188404
ENSMUSG00000049625,ENSG00000255833
ENSMUSG00000071317,ENSG00000112276
ENSMUSG00000010047,ENSG00000068001
ENSMUSG00000078853,ENSG00000237693
ENSMUSG00000036362,ENSG00000181631
ENSMUSG00000043832,ENSG00000198178
ENSMUSG00000030830,ENSG00000005844
ENSMUSG00000019929,ENSG00000011465
ENSMUSG00000022651,ENSG00000163515
ENSMUSG00000029322,ENSG00000145287
ENSMUSG00000068614,ENSG00000159251
ENSMUSG00000028773,ENSG00000121769
ENSMUSG00000035561,ENSG00000137124
ENSMUSG00000091971,ENSG00000204388
ENSMUSG00000006221,ENSG00000173641
ENSMUSG00000028600,ENSG00000174348
ENSMUSG00000027483,ENSG00000198183
ENSMUSG00000017737,ENSG00000100985
ENSMUSG00000073489,ENSG00000163563
ENSMUSG00000040033,ENSG00000170581
ENSMUSG00000014195,ENSG00000168259
ENSMUSG00000026414,ENSG00000118194
ENSMUSG00000028874,ENSG00000000938
ENSMUSG00000031965,ENSG00000164532
ENSMUSG00000059108,ENSG00000185201
ENSMUSG00000029683,ENSG00000170807
ENSMUSG00000061904,ENSG00000075415
ENSMUSG00000090877,ENSG00000204388
ENSMUSG00000044103,ENSG00000136688
ENSMUSG00000022519,ENSG00000185739
ENSMUSG00000071561,ENSG00000121552
ENSMUSG00000051682,ENSG00000188056
ENSMUSG00000019102,ENSG00000108602
ENSMUSG00000037062,ENSG00000097033
ENSMUSG00000056071,ENSG00000163220
ENSMUSG00000053101,ENSG00000187037
ENSMUSG00000035458,ENSG00000129991
ENSMUSG00000030785,ENSG00000156885
ENSMUSG00000007877,ENSG00000173991
ENSMUSG00000039891,ENSG00000164440
ENSMUSG00000028636,ENSG00000127125
ENSMUSG00000061462,ENSG00000154358
ENSMUSG00000052374,ENSG00000077522
ENSMUSG00000038583,ENSG00000198523
ENSMUSG00000056054,ENSG00000143546
ENSMUSG00000020475,ENSG00000164708
ENSMUSG00000027398,ENSG00000125538
ENSMUSG00000091898,ENSG00000114854
ENSMUSG00000028116,ENSG00000172399
ENSMUSG00000051747,ENSG00000155657
ENSMUSG00000031543,ENSG00000029534
ENSMUSG00000068745,ENSG00000221986
ENSMUSG00000020469,ENSG00000106631
ENSMUSG00000030470,ENSG00000129170
ENSMUSG00000031461,ENSG00000036448
ENSMUSG00000032366,ENSG00000140416
ENSMUSG00000018893,ENSG00000198125
ENSMUSG00000037470,ENSG00000136731
ENSMUSG00000002997,ENSG00000005249
ENSMUSG00000059741,ENSG00000160808
ENSMUSG00000041616,ENSG00000175206
ENSMUSG00000079243,ENSG00000168334
ENSMUSG00000062480,ENSG00000120437
ENSMUSG00000024587,ENSG00000134440
ENSMUSG00000032267,ENSG00000048028
ENSMUSG00000031328,ENSG00000196924
ENSMUSG00000036931,ENSG00000167604
ENSMUSG00000042901,ENSG00000186063
ENSMUSG00000063952,ENSG00000096070
ENSMUSG00000038668,ENSG00000198121
ENSMUSG00000002100,ENSG00000134571
ENSMUSG00000071337,ENSG00000116001
ENSMUSG00000002103,ENSG00000134575
