Mouse Genes,Human Ortholog Symbol
Dpcr1,ENSG00000168631
Fosb,ENSG00000125740
Unc5d,ENSG00000156687
Taf4a,ENSG00000130699
Zfp943,ENSG00000196378
Rarres1,ENSG00000118849
Pdpn,ENSG00000162493
Rab3ip,ENSG00000127328
Cdc34,ENSG00000099804
Arid3b,ENSG00000179361
Nlgn2,ENSG00000169992
6330403A02Rik,ENSG00000203685
Fam214b,ENSG00000005238
Phf11b,ENSG00000136147
Nat8l,ENSG00000185818
Vamp8,ENSG00000118640
Plscr2,ENSG00000188313
Smoc1,ENSG00000198732
Phka2,ENSG00000044446
Naf1,ENSG00000145414
Grip2,ENSG00000144596
Ctu1,ENSG00000142544
Zfp57,ENSG00000204644
Adm,ENSG00000148926
Chst2,ENSG00000175040
Efnb3,ENSG00000108947
Edn1,ENSG00000078401
Fam105a,ENSG00000145569
Zbtb7b,ENSG00000160685
Ms4a1,ENSG00000156738
Slfn1,ENSG00000172123
Nnt,ENSG00000112992
Tenc1,ENSG00000111077
Rtn4ip1,ENSG00000130347
Lhx6,ENSG00000106852
Cgn,ENSG00000143375
Ehmt1,ENSG00000181090
Pde4d,ENSG00000113448
Pstpip2,ENSG00000152229
Pqlc2,ENSG00000040487
Prmt3,ENSG00000185238
Pygo2,ENSG00000163348
Slc38a2,ENSG00000134294
Rasgrp3,ENSG00000152689
Ifitm1,ENSG00000185885
Ggh,ENSG00000137563
Fmnl1,ENSG00000184922
Spata5,ENSG00000145375
Rab20,ENSG00000139832
Des,ENSG00000175084
Ccm2l,ENSG00000101331
Ccdc90b,ENSG00000137500
Irx3,ENSG00000177508
H2-Eb2,ENSG00000196126
Fam117a,ENSG00000121104
Birc3,ENSG00000023445
Klf5,ENSG00000102554
Dhh,ENSG00000139549
Elovl6,ENSG00000170522
Mta1,ENSG00000182979
Gmppb,ENSG00000173540
Kcnb1,ENSG00000158445
Zfp574,ENSG00000105732
Fcer1g,ENSG00000158869
Bpgm,ENSG00000172331
4833424O15Rik,ENSG00000117598
Ppp1r1a,ENSG00000135447
Tmem26,ENSG00000196932
Gcat,ENSG00000100116
Ubr7,ENSG00000012963
Apoe,ENSG00000130203
Senp3,ENSG00000161956
Pira1,ENSG00000244482
Spsb1,ENSG00000171621
Sharpin,ENSG00000179526
Rufy4,ENSG00000188282
Slc17a2,ENSG00000112337
Ildr2,ENSG00000143195
Ppp2r5b,ENSG00000068971
Tsc22d4,ENSG00000166925
H2afj,ENSG00000246705
Arhgap39,ENSG00000147799
Emp1,ENSG00000134531
Syvn1,ENSG00000162298
Ampd2,ENSG00000116337
Cd163l1,ENSG00000214279
Tmem38b,ENSG00000095209
Enpp3,ENSG00000154269
Ly6d,ENSG00000167656
Gap43,ENSG00000172020
Rhbdf2,ENSG00000129667
Rnf19b,ENSG00000116514
Nudt18,ENSG00000275074
Zfc3h1,ENSG00000133858
Rtn4rl2,ENSG00000186907
Akap6,ENSG00000151320
Prmt6,ENSG00000198890
Safb,ENSG00000160633
Rbm5,ENSG00000003756
Npl,ENSG00000135838
Ncf1,ENSG00000158517
Polm,ENSG00000122678
Upk3b,ENSG00000243566
Sema3c,ENSG00000075223
Npr3,ENSG00000113389
Pld2,ENSG00000129219
Ephx2,ENSG00000120915
Trim7,ENSG00000146054
Kif5c,ENSG00000168280
Ccnl2,ENSG00000221978
Ccr1,ENSG00000163823
Apoc1,ENSG00000130208
Pfdn2,ENSG00000143256
Serpina3n,ENSG00000196136
Exoc6,ENSG00000138190
E2f4,ENSG00000205250
Usf2,ENSG00000105698
Pmepa1,ENSG00000124225
Slc16a1,ENSG00000155380
Decr1,ENSG00000104325
Clhc1,ENSG00000162994
Snai1,ENSG00000124216
Arg2,ENSG00000081181
Irf2bp1,ENSG00000170604
Myocd,ENSG00000141052
Fgf10,ENSG00000070193
Jdp2,ENSG00000140044
Wdr91,ENSG00000105875
Wnt10b,ENSG00000169884
Cdk3-ps,ENSG00000250506
Slc36a2,ENSG00000186335
Loxl4,ENSG00000138131
Rasgrf1,ENSG00000058335
Mipol1,ENSG00000151338
Uqcrc2,ENSG00000140740
Hdhd3,ENSG00000119431
Cic,ENSG00000079432
Bloc1s6,ENSG00000104164
Mid1ip1,ENSG00000165175
Txndc16,ENSG00000087301
Lrrtm4,ENSG00000176204
Rnf180,ENSG00000164197
Ssh3,ENSG00000172830
Hibch,ENSG00000198130
Ogt,ENSG00000147162
Camsap1,ENSG00000130559
Zfp518a,ENSG00000177853
Apba3,ENSG00000011132
Psmf1,ENSG00000125818
Lztfl1,ENSG00000163818
4921536K21Rik,ENSG00000187658
Msrb2,ENSG00000148450
Prcp,ENSG00000137509
Dll1,ENSG00000198719
Mnat1,ENSG00000164134
Sec14l2,ENSG00000100003
Peli3,ENSG00000174516
Myom3,ENSG00000142661
Psen2,ENSG00000143801
Med12,ENSG00000184634
Rfx1,ENSG00000132005
Zfp3,ENSG00000180787
Tpd52,ENSG00000076554
Ankrd35,ENSG00000198483
Col5a3,ENSG00000080573
Gpr35,ENSG00000178623
Tmem254b,ENSG00000133678
Bcl2l1,ENSG00000171552
Trmt2a,ENSG00000099899
Setd1b,ENSG00000139718
Arxes1,ENSG00000129128
Gin1,ENSG00000145723
Gmfg,ENSG00000130755
Spryd7,ENSG00000123178
Pfas,ENSG00000178921
Tjap1,ENSG00000137221
Foxc2,ENSG00000176692
C1rl,ENSG00000139178
Tfe3,ENSG00000068323
Bcl6,ENSG00000113916
Dynlt3,ENSG00000165169
Pim2,ENSG00000102096
Jazf1,ENSG00000153814
Fcrla,ENSG00000132185
Mctp1,ENSG00000175471
Hs3st3a1,ENSG00000153976
Wisp2,ENSG00000064205
Frzb,ENSG00000162998
Sltm,ENSG00000137776
Hs3st3b1,ENSG00000125430
Lphn2,ENSG00000117114
Klhdc2,ENSG00000165516
H2-Ob,ENSG00000241106
Sap30,ENSG00000164105
Lag3,ENSG00000089692
Ltbp1,ENSG00000049323
Mef2c,ENSG00000081189
Tnnt1,ENSG00000105048
Adrbk1,ENSG00000173020
Trp53i11,ENSG00000175274
Sdc4,ENSG00000124145
Msr1,ENSG00000038945
Nostrin,ENSG00000163072
Dpysl5,ENSG00000157851
Col9a2,ENSG00000049089
Tnfrsf9,ENSG00000049249
Klhl5,ENSG00000109790
Tnip3,ENSG00000050730
Gyk,ENSG00000198814
Pold2,ENSG00000106628
Dnph1,ENSG00000112667
Tnxb,ENSG00000168477
Kif5a,ENSG00000155980
Syngap1,ENSG00000197283
Pim3,ENSG00000198355
Klf13,ENSG00000169926
Casp7,ENSG00000165806
1810041L15Rik,ENSG00000138944
Vopp1,ENSG00000154978
Egr1,ENSG00000120738
Sbspon,ENSG00000164764
Plekhh3,ENSG00000068137
Uaca,ENSG00000137831
Smim24,ENSG00000095932
Pip5k1b,ENSG00000107242
Cyp2a5,ENSG00000197838
Acta2,ENSG00000107796
AA986860,ENSG00000182795
Cc2d1a,ENSG00000132024
Sorbs1,ENSG00000095637
Tdrp,ENSG00000180190
Mapkbp1,ENSG00000137802
Coq5,ENSG00000110871
Gbp4,ENSG00000183347
Zfp444,ENSG00000167685
Manf,ENSG00000145050
Cers4,ENSG00000090661
Aasdh,ENSG00000157426
Chd6,ENSG00000124177
Zfp712,ENSG00000213799
Eif2s3x,ENSG00000180574
Ly6a,ENSG00000291309
Ctps,ENSG00000171793
Cldn15,ENSG00000106404
Cd8b1,ENSG00000172116
Ddx41,ENSG00000183258
Glt8d2,ENSG00000120820
Tnfrsf1b,ENSG00000028137
Esrp2,ENSG00000103067
Cish,ENSG00000114737
Iqgap2,ENSG00000145703
Treml4,ENSG00000188056
Aff3,ENSG00000144218
Zdhhc18,ENSG00000204160
Vwa7,ENSG00000204396
Zfp771,ENSG00000179965
Slc31a2,ENSG00000136867
Mctp2,ENSG00000140563
Hoxb7,ENSG00000260027
Hlf,ENSG00000116016
Slc43a1,ENSG00000149150
Midn,ENSG00000167470
Camp,ENSG00000168899
Pttg1,ENSG00000164611
Bank1,ENSG00000153064
Rps6kl1,ENSG00000198208
Cbx7,ENSG00000100307
Mcoln2,ENSG00000153898
Opn3,ENSG00000054277
Rnf38,ENSG00000137075
Fam101a,ENSG00000178882
Cldn5,ENSG00000184113
Msl1,ENSG00000188895
Apob,ENSG00000084674
Traf3ip2,ENSG00000056972
Mllt6,ENSG00000275023
Tmem47,ENSG00000147027
Cbwd1,ENSG00000196873
Herc3,ENSG00000138641
Gria1,ENSG00000155511
Mesp2,ENSG00000188095
Atp6v0e2,ENSG00000171130
Wif1,ENSG00000156076
Tnnt3,ENSG00000130595
Col13a1,ENSG00000197467
Ntn1,ENSG00000065320
Soat2,ENSG00000167780
Lrtm2,ENSG00000166159
Nfxl1,ENSG00000170448
Emc4,ENSG00000128463
Pde7b,ENSG00000171408
Sh3gl3,ENSG00000140600
Slc6a4,ENSG00000108576
Tmem80,ENSG00000177042
Rab40c,ENSG00000197562
Pdgfra,ENSG00000134853
Astn1,ENSG00000152092
Agfg2,ENSG00000106351
Rabgef1,ENSG00000154710
Cdk2,ENSG00000123374
Traf4,ENSG00000076604
Pamr1,ENSG00000149090
Il10rb,ENSG00000243646
Helz2,ENSG00000130589
Fam177a,ENSG00000151327
1700047I17Rik2,ENSG00000151327
Cnn1,ENSG00000130176
Ablim1,ENSG00000099204
Thbs2,ENSG00000186340
Clec4a1,ENSG00000111729
Bnc1,ENSG00000108684
Ccdc184,ENSG00000177875
Add3,ENSG00000148700
Fam221a,ENSG00000188732
Mafk,ENSG00000198517
Thumpd3,ENSG00000134077
Txndc9,ENSG00000115514
Igfbp6,ENSG00000167779
Fam20a,ENSG00000108950
Med26,ENSG00000105085
9030617O03Rik,ENSG00000133943
Ano9,ENSG00000185101
Rragb,ENSG00000083750
5430416O09Rik,ENSG00000235387
Maf,ENSG00000178573
Ppp3cc,ENSG00000120910
Scn3a,ENSG00000153253
Itfg1,ENSG00000129636
Thap1,ENSG00000131931
Csrp2bp,ENSG00000149474
Nhlrc1,ENSG00000187566
Lix1,ENSG00000145721
Slc14a1,ENSG00000141469
Lmo4,ENSG00000143013
Chst4,ENSG00000140835
Slc2a4,ENSG00000181856
Taf7,ENSG00000178913
Ttll4,ENSG00000135912
Nhlrc2,ENSG00000196865
Igsf6,ENSG00000140749
Unc5a,ENSG00000113763
Trib1,ENSG00000173334
Omd,ENSG00000127083
Mamdc4,ENSG00000177943
Ephx1,ENSG00000143819
Ift88,ENSG00000032742
Mier2,ENSG00000105556
Tmem51,ENSG00000171729
Prr15l,ENSG00000167183
Lrrc8d,ENSG00000171492
Eapp,ENSG00000129518
Ssh2,ENSG00000141298
Gmip,ENSG00000089639
Spg7,ENSG00000197912
Uhrf2,ENSG00000147854
C77080,ENSG00000162522
Plod2,ENSG00000152952
Cnn3,ENSG00000117519
Ipcef1,ENSG00000074706
Tmem178,ENSG00000152154
Neurl4,ENSG00000215041
Thbd,ENSG00000178726
1110058L19Rik,ENSG00000154079
Ufm1,ENSG00000120686
Ctsw,ENSG00000172543
Il33,ENSG00000137033
Samd14,ENSG00000167100
Ppl,ENSG00000118898
Hpx,ENSG00000110169
Doc2a,ENSG00000149927
Lamc3,ENSG00000050555
Pira6,ENSG00000244482
Sox8,ENSG00000005513
Pam,ENSG00000005810
Tmem259,ENSG00000182087
Osmr,ENSG00000145623
Exoc3,ENSG00000180104
Ap4m1,ENSG00000221838
Tmem220,ENSG00000187824
Ubash3b,ENSG00000154127
Elk3,ENSG00000111145
Eif4ebp1,ENSG00000187840
Vps18,ENSG00000104142
Akt2,ENSG00000105221
Zfand2a,ENSG00000178381
Cdo1,ENSG00000129596
Mlxip,ENSG00000175727
H2afy,ENSG00000113648
Nr1d2,ENSG00000174738
Tead2,ENSG00000074219
Ch25h,ENSG00000138135
Ntn4,ENSG00000074527
Clic1,ENSG00000213719
Fig4,ENSG00000112367
Rgs2,ENSG00000116741
Pstpip1,ENSG00000140368
Wnt2b,ENSG00000134245
Lpar4,ENSG00000147145
Ccdc92,ENSG00000119242
Tnfsf13,ENSG00000161955
Tgfbr3,ENSG00000069702
Alkbh4,ENSG00000160993
Cml1,ENSG00000204872
Zfp276,ENSG00000158805
Cog8,ENSG00000213380
Ptdss1,ENSG00000156471
Ccdc36,ENSG00000173421
Arhgef39,ENSG00000137135
Dmd,ENSG00000198947
Arhgap44,ENSG00000006740
Gmpr2,ENSG00000100938
S1pr1,ENSG00000170989
Phf12,ENSG00000109118
Trim54,ENSG00000138100
AA467197,ENSG00000166920
Pld6,ENSG00000179598
Gng10,ENSG00000242616
Cybb,ENSG00000165168
Rab39b,ENSG00000155961
Maz,ENSG00000103495
Tusc3,ENSG00000104723
Pcdh7,ENSG00000169851
Tldc1,ENSG00000140950
Asz1,ENSG00000154438
Tal1,ENSG00000162367
Anks1,ENSG00000064999
Zfp619,ENSG00000267041
Gpr156,ENSG00000175697
D17Wsu104e,ENSG00000074842
Zfp605,ENSG00000196458
Mogs,ENSG00000115275
Scamp3,ENSG00000116521
Psmb9,ENSG00000240065
Glrb,ENSG00000109738
Vegfb,ENSG00000173511
Enc1,ENSG00000171617
2410004B18Rik,ENSG00000162642
Icam2,ENSG00000108622
Metap1,ENSG00000164024
Ccdc97,ENSG00000142039
Gemin8,ENSG00000046647
Smox,ENSG00000088826
Ebf4,ENSG00000088881
Slc24a2,ENSG00000155886
Acoxl,ENSG00000153093
Tmem151a,ENSG00000179292
Adhfe1,ENSG00000147576
Drap1,ENSG00000175550
Lrp8,ENSG00000157193
Robo4,ENSG00000154133
Prrt2,ENSG00000167371
Tmem102,ENSG00000181284
Otx1,ENSG00000115507
Pnrc1,ENSG00000146278
Stk11,ENSG00000118046
Wdr92,ENSG00000243667
Cramp1l,ENSG00000007545
Phf21b,ENSG00000056487
Prkg2,ENSG00000138669
Tifa,ENSG00000145365
Zfp820,ENSG00000196378
Slc15a3,ENSG00000110446
