Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Alyref2,Pcdhga5,ENSG00000253485
Ackr3,Vav1,ENSG00000141968
1810019D21Rik,Eltd1,ENSG00000162618
Gpr88,Spon2,ENSG00000159674
2610307P16Rik,Notum,ENSG00000185269
Tsix,Hdac6,ENSG00000094631
Ncf4,Pde7a,ENSG00000205268
Rnf32,Spata2l,ENSG00000158792
Zeb2os,Rmdn1,ENSG00000176623
Tmem150a,Scrn3,ENSG00000144306
Lgals2,Med25,ENSG00000104973
Ly6g6e,Hdhd2,ENSG00000167220
Rps15a-ps4,Deptor,ENSG00000155792
Lrp4,Kbtbd3,ENSG00000182359
Postn,Alox5ap,ENSG00000132965
Dcp1b,B3gat3,ENSG00000149541
Ralgds,Gfpt2,ENSG00000131459
Fxn,Insig1,ENSG00000186480
Lancl3,Tatdn3,ENSG00000203705
Arid1a,Ctla2a,not found
Zc3h12a,1810019D21Rik,not found
Gm13051,Zfp653,ENSG00000161914
A430105I19Rik,2610307P16Rik,not found
Pglyrp1,Eepd1,ENSG00000122547
Brsk1,Pygb,ENSG00000100994
Map2k7,Abca8b,ENSG00000141338
Plaur,Srrt,ENSG00000087087
Cd300ld,Gpr88,ENSG00000181656
Ube2t,Snrpa,ENSG00000077312
Zfp384,Alyref2,ENSG00000183684
Brf2,Ackr3,ENSG00000144476
Leng8,Rps15a-ps4,not found
AI462493,Zeb2os,not found
Galnt16,Ly6g6e,not found
Dfna5,Ncf4,ENSG00000100365
Rag1,Prkacb,ENSG00000142875
Bfsp1,Tmem150a,ENSG00000168890
Pno1,Rnf32,ENSG00000105982
Chgb,Tsix,not found
Tek,Fxn,ENSG00000165060
Ranbp3l,Dcp1b,ENSG00000151065
Apobr,Postn,ENSG00000133110
Mtrf1l,Lgals2,ENSG00000100079
Xdh,Gm13051,ENSG00000196378
Mthfd1l,Brsk1,ENSG00000160469
Taok3,Lancl3,ENSG00000147036
Mrpl38,A430105I19Rik,ENSG00000188549
2700081O15Rik,Pglyrp1,ENSG00000008438
Pcx,Ralgds,ENSG00000160271
Sema3g,Arid1a,ENSG00000117713
S100a14,Lrp4,ENSG00000145244
Preb,Map2k7,ENSG00000076984
Serpinb10,Cd300ld,ENSG00000186074
Irx2,Zc3h12a,ENSG00000163874
Tle3,AI462493,ENSG00000204922
R3hdm4,Plaur,ENSG00000011422
Dpf1,Ube2t,ENSG00000077152
Cyp2e1,Leng8,ENSG00000167615
Zfp955a,Zfp384,ENSG00000126746
Tagln,Tek,ENSG00000120156
Lgr5,Chgb,ENSG00000089199
Ddhd1,Rag1,ENSG00000166349
Spi1,Bfsp1,ENSG00000125864
Sfrp2,Dfna5,ENSG00000105928
Eid1,Apobr,ENSG00000184730
Sh3tc2,Brf2,ENSG00000104221
Bcdin3d,Mtrf1l,ENSG00000112031
Samd4b,Ranbp3l,ENSG00000164188
Rnf123,2700081O15Rik,ENSG00000188070
Acin1,Xdh,ENSG00000158125
Adcyap1r1,Mrpl38,ENSG00000204316
Pde4b,Pno1,ENSG00000115946
Arhgap28,Galnt16,ENSG00000100626
Agpat1,Taok3,ENSG00000135090
Erbb2,Serpinb10,ENSG00000242550
1810011O10Rik,Preb,ENSG00000138073
Hk2,Cyp2e1,ENSG00000130649
Rpl31-ps12,Sema3g,ENSG00000010319
Vtn,Mthfd1l,ENSG00000120254
Gm14434,Zfp955a,not found
Tmem200a,R3hdm4,ENSG00000198858
Tuba8,S100a14,ENSG00000163191
Fos,Dpf1,ENSG00000011332
Epc1,Eid1,ENSG00000255302
Ripply3,Tle3,ENSG00000140332
Apol6,Irx2,ENSG00000170561
Itih5,Pcx,ENSG00000173599
Sema3d,Sfrp2,ENSG00000145423
Kcna2,Tagln,ENSG00000149591
Chadl,Lgr5,ENSG00000139292
Bud13,Spi1,ENSG00000066336
Dpcr1,Samd4b,ENSG00000179134
Fosb,Ddhd1,ENSG00000100523
Unc5d,Sh3tc2,ENSG00000169247
Taf4a,Agpat1,ENSG00000204310
Zfp943,Rpl31-ps12,not found
Rarres1,Rnf123,ENSG00000164068
Pdpn,Pde4b,ENSG00000184588
Zfp710,Adcyap1r1,ENSG00000078549
Rab3ip,Gm14434,not found
0610010B08Rik,1810011O10Rik,ENSG00000176907
Cdc34,Vtn,ENSG00000109072
Arid3b,Hk2,ENSG00000159399
Nlgn2,Tuba8,ENSG00000183785
6330403A02Rik,Bcdin3d,ENSG00000186666
Fam214b,Fos,ENSG00000170345
Phf11b,Tmem200a,ENSG00000164484
Nat8l,Ripply3,ENSG00000183145
Vamp8,Epc1,ENSG00000120616
Plscr2,Apol6,ENSG00000221963
Smoc1,Acin1,ENSG00000100813
Phka2,Arhgap28,ENSG00000088756
Naf1,Dpcr1,ENSG00000168631
Grip2,Chadl,ENSG00000100399
Ctu1,Sema3d,ENSG00000153993
Zfp57,Zfp943,ENSG00000196378
Adm,Itih5,ENSG00000123243
4930486L24Rik,Kcna2,ENSG00000177301
Chst2,Erbb2,ENSG00000141736
Efnb3,Fosb,ENSG00000125740
Edn1,Zfp710,not found
Fam105a,Rarres1,ENSG00000118849
Zbtb7b,Cdc34,ENSG00000099804
Ms4a1,Pdpn,ENSG00000162493
Slfn1,Rab3ip,ENSG00000127328
Zfp119a,6330403A02Rik,ENSG00000203685
Nnt,Nlgn2,ENSG00000169992
Tenc1,Fam214b,ENSG00000005238
Rtn4ip1,Phf11b,ENSG00000136147
Lhx6,Arid3b,ENSG00000179361
Cgn,Vamp8,ENSG00000118640
Ehmt1,Nat8l,ENSG00000185818
Pde4d,Bud13,ENSG00000137656
4930429F24Rik,Smoc1,ENSG00000198732
Pstpip2,Plscr2,ENSG00000188313
B430306N03Rik,Taf4a,ENSG00000130699
Pqlc2,Phka2,ENSG00000044446
Prmt3,4930486L24Rik,not found
Pygo2,Naf1,ENSG00000145414
Slc38a2,Zfp57,ENSG00000204644
Rasgrp3,Unc5d,ENSG00000156687
Ifitm1,Fam105a,ENSG00000145569
Ggh,Edn1,ENSG00000078401
Fmnl1,Grip2,ENSG00000144596
Spata5,Ms4a1,ENSG00000156738
Rab20,Ctu1,ENSG00000142544
Des,Efnb3,ENSG00000108947
Ccm2l,Adm,ENSG00000148926
Ccdc90b,0610010B08Rik,error - retries exceeded
Irx3,Chst2,ENSG00000175040
H2-Eb2,Slfn1,ENSG00000172123
Fam117a,Slfn1,ENSG00000205045
Birc3,Tenc1,ENSG00000111077
Klf5,Zbtb7b,ENSG00000160685
Bambi-ps1,B430306N03Rik,not found
Dhh,4930429F24Rik,not found
Elovl6,Lhx6,ENSG00000106852
Mta1,Rtn4ip1,ENSG00000130347
Gmppb,Pstpip2,ENSG00000152229
Kcnb1,Pqlc2,ENSG00000040487
Zfp574,Pygo2,ENSG00000163348
Fcer1g,Zfp119a,not found
Gm10845,Prmt3,ENSG00000185238
Bpgm,Ehmt1,ENSG00000181090
Hbb-bt,Cgn,ENSG00000143375
E130008D07Rik,Nnt,ENSG00000112992
4833424O15Rik,Slc38a2,ENSG00000134294
Ppp1r1a,Pde4d,ENSG00000113448
Tmem26,Ifitm1,ENSG00000185201
Gcat,Ifitm1,ENSG00000185885
Ubr7,Ifitm1,ENSG00000142089
Apoe,Rasgrp3,ENSG00000152689
Senp3,Ggh,ENSG00000137563
Pira1,Des,ENSG00000175084
Spsb1,H2-Eb2,ENSG00000198502
Sharpin,H2-Eb2,ENSG00000196126
Rufy4,Bambi-ps1,not found
Slc17a2,Spata5,ENSG00000145375
Ildr2,Irx3,ENSG00000177508
Ppp2r5b,Ccm2l,ENSG00000101331
Tsc22d4,Fmnl1,ENSG00000184922
H2afj,Fam117a,ENSG00000121104
Arhgap39,Gmppb,ENSG00000173540
Emp1,Elovl6,ENSG00000170522
Syvn1,Mta1,ENSG00000182979
Ampd2,Gm10845,not found
Cd163l1,Fcer1g,ENSG00000158869
Tmem38b,Dhh,ENSG00000139549
Enpp3,Zfp574,ENSG00000105732
Ly6d,Ccdc90b,ENSG00000137500
Cyp2j6,E130008D07Rik,not found
Gap43,Rab20,ENSG00000139832
2410017I17Rik,Kcnb1,ENSG00000158445
Rhbdf2,Bpgm,ENSG00000172331
Rnf19b,Birc3,ENSG00000023445
Nudt18,Pira1,ENSG00000186818
Zfc3h1,Pira1,ENSG00000204577
Rtn4rl2,Pira1,ENSG00000244482
Akap6,Pira1,ENSG00000187116
Prmt6,Pira1,ENSG00000105609
Safb,Pira1,ENSG00000239961
Rbm5,4833424O15Rik,ENSG00000117598
Npl,Klf5,ENSG00000102554
Ncf1,Hbb-bt,not found
Polm,Gcat,ENSG00000100116
Upk3b,Tmem26,ENSG00000196932
Sema3c,Apoe,ENSG00000130203
Npr3,Ubr7,ENSG00000012963
Pld2,Rufy4,ENSG00000188282
Ephx2,Senp3,ENSG00000161956
Trim7,Spsb1,ENSG00000171621
Ltb4r1,Ppp1r1a,ENSG00000135447
Kif5c,Tsc22d4,ENSG00000166925
Ccnl2,Ildr2,ENSG00000143195
Ccr1,Sharpin,ENSG00000179526
Apoc1,Arhgap39,ENSG00000147799
Pfdn2,Cd163l1,ENSG00000214279
Serpina3n,Syvn1,ENSG00000162298
Exoc6,Enpp3,ENSG00000154269
E2f4,Emp1,ENSG00000134531
Usf2,Slc17a2,ENSG00000112337
Pmepa1,Tmem38b,ENSG00000095209
6330418K02Rik,2410017I17Rik,not found
Slc16a1,Ampd2,ENSG00000116337
Decr1,Ly6d,ENSG00000167656
Clhc1,H2afj,ENSG00000246705
Snai1,Ppp2r5b,ENSG00000068971
Gm4841,Cyp2j6,not found
Arg2,Gap43,ENSG00000172020
Irf2bp1,Rnf19b,ENSG00000116514
Myocd,Nudt18,ENSG00000275074
Fgf10,Prmt6,ENSG00000198890
Zfp472,Rhbdf2,ENSG00000129667
Jdp2,Zfc3h1,ENSG00000133858
Wdr91,Akap6,ENSG00000151320
Wnt10b,Safb,ENSG00000160633
Cdk3-ps,Rtn4rl2,ENSG00000186907
