Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
LTBP2,KCNQ4,ENSG00000117013
ICAM1,EG:26577,error - retries exceeded
HAVCR1,USHBP1,ENSG00000130307
A2LD1,MIF,ENSG00000240972
USHBP1,ADAM33,ENSG00000149451
MIF,GRIA1,ENSG00000155511
ADAM33,CCND1,ENSG00000110092
CCDC85A,TMEM54,ENSG00000121900
CCND1,TLR7,ENSG00000196664
TMEM54,PODXL2,ENSG00000114631
TLR7,CDC34,ENSG00000099804
PODXL2,NUP210,ENSG00000132182
NUP210,LTBP2,ENSG00000168056
CDC34,CCDC85A,ENSG00000055813
THSD7B,APLN,ENSG00000171388
GRIA3,COL18A1,ENSG00000182871
COL18A1,AIF1,ENSG00000204472
AIF1,THSD7B,ENSG00000144229
NTN1,VSNL1,ENSG00000163032
GCLC,MNDA,ENSG00000163563
APLN,GRIA3,ENSG00000125675
VWF,NTN1,ENSG00000065320
RGS8,VWF,ENSG00000110799
VSNL1,MMRN2,ENSG00000173269
MNDA,ABI3BP,ENSG00000154175
HP,CMA1,ENSG00000092009
HMCN1,PLCD4,ENSG00000115556
ABI3BP,GCLC,ENSG00000001084
CMA1,ASS1,ENSG00000130707
MMRN2,SLC16A7,ENSG00000118596
PLCD4,RGS8,ENSG00000135824
ASS1,HMCN1,ENSG00000143341
SLC16A7,MYBL1,ENSG00000185697
MYBL1,HP,ENSG00000091513
