Gene_symbol;NAME;Foldchange NOXvsHYX;Pvalue NOXvsHYX;FDR NOXvsHYX
1110065P20Rik;RIKEN cDNA 1110065P20 gene;-1,144008681;0,15984066;0,273222508
1190002F15Rik;RIKEN cDNA 1190002F15 gene;-1,556364851;0,06830656;0,140550014
1190002N15Rik;RIKEN cDNA 1190002N15 gene;-1,356007841;0,000114314;0,000625637
1190007I07Rik;RIKEN cDNA 1190007I07 gene;1,052736669;0,719789566;0,810737108
1200014J11Rik;RIKEN cDNA 1200014J11 gene;-1,039396415;0,448481394;0,587813086
1300002E11Rik;RIKEN cDNA 1300002E11 gene;-1,113820991;0,238361684;0,3696735
1500004A13Rik;RIKEN cDNA 1500004A13 gene;-1,01579896;0,909370648;0,942015538
1500009L16Rik;RIKEN cDNA 1500009L16 gene;-1,023464388;0,778956509;0,853927593
1500011B03Rik;RIKEN cDNA 1500011B03 gene;-1,050479946;0,668136333;0,773395741
1500011K16Rik;RIKEN cDNA 1500011K16 gene;1,244062905;0,028691428;0,070223408
1500012F01Rik;RIKEN cDNA 1500012F01 gene;1,397426669;0,007897866;0,024173007
1500015A07Rik;RIKEN cDNA 1500015A07 gene;-1,013141114;0,923704868;0,952528044
1500015O10Rik;RIKEN cDNA 1500015O10 gene;-1,052464521;0,768652128;0,846093974
1500017E21Rik;RIKEN cDNA 1500017E21 gene;-1,780614414;0,07432592;0,149970328
1600002H07Rik;RIKEN cDNA 1600002H07 gene;-1,279048271;0,008475187;0,025621975
1600002K03Rik;RIKEN cDNA 1600002K03 gene;1,288344515;0,090681142;0,176047155
1600012H06Rik;RIKEN cDNA 1600012H06 gene;1,046106845;0,374068435;0,517245439
1600014C10Rik;RIKEN cDNA 1600014C10 gene;1,051302711;0,600910116;0,721770967
1600016N20Rik;NA;1,134694808;0,533953314;0,665367047
1600020E01Rik;RIKEN cDNA 1600020E01 gene;-1,306356341;0,156072844;0,268196197
1600029I14Rik;RIKEN cDNA 1600029I14 gene;1,504116203;0,068106705;0,140178102
1600029O15Rik;RIKEN cDNA 1600029O15 gene;-1,185863199;0,536232177;0,667421856
1700001C02Rik;RIKEN cDNA 1700001C02 gene;2,159180114;0,00030933;0,001498943
1700001L05Rik;RIKEN cDNA 1700001L05 gene;1,163530104;0,224269768;0,35270207
1700001L19Rik;RIKEN cDNA 1700001L19 gene;1,439461278;0,105069884;0,197576625
1700003E16Rik;RIKEN cDNA 1700003E16 gene;1,455816729;0,039760157;0,091628833
1700003M02Rik;RIKEN cDNA 1700003M02 gene;2,198669157;2,34E-05;0,00015442
1700007G11Rik;RIKEN cDNA 1700007G11 gene;2,407625196;1,86E-05;0,000126049
1700007K13Rik;RIKEN cDNA 1700007K13 gene;1,877729464;0,001324284;0,00529317
1700008J07Rik;RIKEN cDNA 1700008J07 gene;-1,120562745;0,30133891;0,441206575
1700009P17Rik;NA;1,694261686;0,003605806;0,012460666
1700010I14Rik;RIKEN cDNA 1700010I14 gene;1,266908597;0,117779366;0,216178976
1700012B09Rik;RIKEN cDNA 1700012B09 gene;1,590647741;0,052930497;0,114974075
1700013F07Rik;RIKEN cDNA 1700013F07 gene;1,314610283;0,19152971;0,313686285
1700016K19Rik;RIKEN cDNA 1700016K19 gene;1,812476756;0,006910133;0,021594881
1700017B05Rik;RIKEN cDNA 1700017B05 gene;1,033245702;0,682329174;0,784113906
1700019G17Rik;RIKEN cDNA 1700019G17 gene;1,138691224;0,229575171;0,359082879
1700019L03Rik;RIKEN cDNA 1700019L03 gene;1,258939523;0,245063858;0,377395256
1700020I14Rik;RIKEN cDNA 1700020I14 gene;-1,146432133;0,25094879;0,384280066
1700020L24Rik;RIKEN cDNA 1700020L24 gene;-3,91849873;3,50E-22;2,58E-20
1700021F05Rik;RIKEN cDNA 1700021F05 gene;1,08969928;0,499028817;0,633522221
1700021K19Rik;RIKEN cDNA 1700021K19 gene;1,091154596;0,287159817;0,425133286
1700023L04Rik;NA;-1,626378421;0,026976203;0,066692811
1700024G13Rik;RIKEN cDNA 1700024G13 gene;1,540797741;0,078257844;0,156292003
1700025G04Rik;RIKEN cDNA 1700025G04 gene;-1,453590516;5,16E-06;4,02E-05
1700026D08Rik;RIKEN cDNA 1700026D08 gene;2,426161247;5,26E-06;4,09E-05
1700026L06Rik;RIKEN cDNA 1700026L06 gene;1,685281387;0,014711207;0,040643484
1700028K03Rik;RIKEN cDNA 1700028K03 gene;-1,581176835;0,055739678;0,119658859
1700028P14Rik;RIKEN cDNA 1700028P14 gene;2,011407222;0,001889785;0,007194181
1700029J07Rik;RIKEN cDNA 1700029J07 gene;1,137796775;0,460643481;0,59920406
1700030C10Rik;RIKEN cDNA 1700030C10 gene;1,346867108;0,185238644;0,305624591
1700030J22Rik;RIKEN cDNA 1700030J22 gene;1,669629384;0,00056138;0,002515152
1700030K09Rik;RIKEN cDNA 1700030K09 gene;-1,090250871;0,37202896;0,515002892
1700037C18Rik;RIKEN cDNA 1700037C18 gene;1,461933202;0,017022369;0,045720158
1700037H04Rik;RIKEN cDNA 1700037H04 gene;1,055779016;0,547570432;0,677445274
1700040L02Rik;RIKEN cDNA 1700040L02 gene;2,035543613;1,33E-05;9,36E-05
1700047I17Rik2;RIKEN cDNA 1700047I17 gene 2;1,295955378;0,012726323;0,035941932
1700048O20Rik;RIKEN cDNA 1700048O20 gene;-1,590238901;0,005933283;0,019020988
1700049G17Rik;RIKEN cDNA 1700049G17 gene;1,000304361;0,997023745;0,998347216
1700052K11Rik;RIKEN cDNA 1700052K11 gene;1,04972576;0,603818688;0,723901594
1700052N19Rik;NA;1,036792591;0,643196656;0,754603285
1700066M21Rik;RIKEN cDNA 1700066M21 gene;-1,133780479;0,113558755;0,210544303
1700086O06Rik;RIKEN cDNA 1700086O06 gene;-1,137676552;0,378270463;0,521014035
1700088E04Rik;RIKEN cDNA 1700088E04 gene;1,694287931;0,002046435;0,007667861
1700094D03Rik;RIKEN cDNA 1700094D03 gene;-1,61873565;0,003456085;0,012017568
1700096K18Rik;RIKEN cDNA 1700096K18 gene;1,119172941;0,446872853;0,586438187
1700101E01Rik;RIKEN cDNA 1700101E01 gene;1,667382507;0,017243648;0,04614555
1700112E06Rik;RIKEN cDNA 1700112E06 gene;1,573641897;0,000811387;0,003473009
1700113A16Rik;RIKEN cDNA 1700113A16 gene;1,035303329;0,835797913;0,892292111
1700123O20Rik;RIKEN cDNA 1700123O20 gene;1,018919599;0,788017979;0,859991655
1810009A15Rik;RIKEN cDNA 1810009A15 gene;1,101933012;0,224646143;0,353053392
1810010H24Rik;RIKEN cDNA 1810010H24 gene;1,307463055;0,129255347;0,232279694
1810011H11Rik;RIKEN cDNA 1810011H11 gene;-1,253853696;0,33229154;0,474106745
1810011O10Rik;RIKEN cDNA 1810011O10 gene;-1,694871994;3,64E-12;8,95E-11
1810013L24Rik;RIKEN cDNA 1810013L24 gene;-1,138799397;0,023019155;0,0586389
1810014B01Rik;RIKEN cDNA 1810014B01 gene;-1,090312282;0,517071098;0,650028731
1810019D21Rik;RIKEN cDNA 1810019D21 gene;1,292237551;0,025575845;0,06381132
1810020O05Rik;Riken cDNA 1810020O05 gene;4,193680028;6,71E-06;5,07E-05
1810022K09Rik;RIKEN cDNA 1810022K09 gene;1,108705763;0,244159825;0,37643765
1810026B05Rik;RIKEN cDNA 1810026B05 gene;-1,160586891;0,115643368;0,213438382
1810026J23Rik;RIKEN cDNA 1810026J23 gene;-1,018842172;0,724777517;0,814480793
1810030O07Rik;RIKEN cDNA 1810030O07 gene;-1,085453914;0,139134857;0,245966959
1810032O08Rik;RIKEN cDNA 1810032O08 gene;1,18658803;0,190119552;0,312172035
1810034E14Rik;RIKEN cDNA 1810034E14 gene;-1,123640031;0,479546428;0,616307676
1810037I17Rik;RIKEN cDNA 1810037I17 gene;1,180605239;0,112321573;0,208540357
1810041L15Rik;RIKEN cDNA 1810041L15 gene;-1,401971077;0,134238287;0,239096671
1810043G02Rik;RIKEN cDNA 1810043G02 gene;1,101457446;0,40555716;0,547597332
1810043H04Rik;RIKEN cDNA 1810043H04 gene;1,118848474;0,475021372;0,612208044
1810055G02Rik;RIKEN cDNA 1810055G02 gene;1,154522539;0,18804163;0,309439801
1810058I24Rik;RIKEN cDNA 1810058I24 gene;1,098106775;0,217811211;0,345582169
1810062G17Rik;RIKEN cDNA 1810062G17 gene;-1,135611256;0,531626174;0,663594288
1810064F22Rik;RIKEN cDNA 1810064F22 gene;1,764984889;0,004015562;0,013670613
2010002M12Rik;NA;4,864571835;3,98E-14;1,30E-12
2010005H15Rik;RIKEN cDNA 2010005H15 gene;1,353319276;0,487952918;0,62382608
2010012O05Rik;NA;-1,101694805;0,281699932;0,419334797
2010015L04Rik;NA;1,262572421;0,141474593;0,249112769
2010016I18Rik;RIKEN cDNA 2010016I18 gene;1,174251314;0,477565354;0,614407403
2010107E04Rik;RIKEN cDNA 2010107E04 gene;1,315481705;0,00280658;0,010081016
2010107G23Rik;RIKEN cDNA 2010107G23 gene;1,577848211;0,000111426;0,000612803
2010111I01Rik;RIKEN cDNA 2010111I01 gene;-1,030411409;0,652521528;0,761990637
2010204K13Rik;RIKEN cDNA 2010204K13 gene;1,148602303;0,448096575;0,587565344
2010300C02Rik;RIKEN cDNA 2010300C02 gene;1,720241945;7,02E-05;0,000405126
2010315B03Rik;RIKEN cDNA 2010315B03 gene;-1,179951122;0,0398384;0,091708321
2010320M18Rik;RIKEN cDNA 2010320M18 gene;-1,256723178;0,04371851;0,098719867
2200002D01Rik;RIKEN cDNA 2200002D01 gene;1,255176082;0,03308986;0,07888343
2210011C24Rik;RIKEN cDNA 2210011C24 gene;-1,163946919;0,308492519;0,449058605
2210013O21Rik;RIKEN cDNA 2210013O21 gene;1,061580648;0,426383121;0,566490359
2210015D19Rik;RIKEN cDNA 2210015D19 gene;1,121370091;0,322835842;0,463999443
2210016F16Rik;RIKEN cDNA 2210016F16 gene;1,094783967;0,172393958;0,289321348
2210016L21Rik;RIKEN cDNA 2210016L21 gene;-1,183365768;0,01066422;0,031036124
2210018M11Rik;RIKEN cDNA 2210018M11 gene;-1,246160893;0,006561401;0,020731144
2210039B01Rik;RIKEN cDNA 2210039B01 gene;-1,207868085;0,45817114;0,596728664
2210404O09Rik;RIKEN cDNA 2210404O09 gene;1,024281377;0,791565213;0,862707893
2210408I21Rik;RIKEN cDNA 2210408I21 gene;1,287517268;0,004011051;0,013664769
2300009A05Rik;RIKEN cDNA 2300009A05 gene;1,281515144;0,070258311;0,143515742
2310001H17Rik;RIKEN cDNA 2310001H17 gene;-1,534119873;0,021290705;0,054951367
2310003H01Rik;NA;-1,349092321;9,77E-06;7,09E-05
2310007B03Rik;RIKEN cDNA 2310007B03 gene;1,250102757;0,00293285;0,010455226
2310007L24Rik;NA;1,627890569;0,04437261;0,099950769
2310009A05Rik;RIKEN cDNA 2310009A05 gene;-1,035594511;0,771723611;0,848456507
2310009B15Rik;RIKEN cDNA 2310009B15 gene;-1,166313387;0,308017715;0,448589969
2310011J03Rik;RIKEN cDNA 2310011J03 gene;-1,102408005;0,143123768;0,251503599
2310014L17Rik;NA;1,553999622;0,029869478;0,072586097
2310015A10Rik;RIKEN cDNA 2310015A10 gene;1,055441548;0,610191639;0,728743441
2310022A10Rik;RIKEN cDNA 2310022A10 gene;1,06911633;0,431690325;0,5716264
2310022B05Rik;RIKEN cDNA 2310022B05 gene;-1,220178563;0,000340623;0,00162641
2310030G06Rik;RIKEN cDNA 2310030G06 gene;1,453211066;0,001504106;0,005923456
2310033P09Rik;RIKEN cDNA 2310033P09 gene;-1,56163268;3,53E-06;2,85E-05
2310034G01Rik;RIKEN cDNA 2310034G01 gene;2,084450287;0,003583052;0,012387872
2310035C23Rik;RIKEN cDNA 2310035C23 gene;1,049354374;0,345255678;0,488000825
2310036O22Rik;RIKEN cDNA 2310036O22 gene;-1,085858651;0,247525609;0,380467552
2310039H08Rik;RIKEN cDNA 2310039H08 gene;1,069728269;0,605674835;0,725415628
2310039L15Rik;RIKEN cDNA 2310039L15 gene;1,059527519;0,776485096;0,851840434
2310045N01Rik;NA;-1,033420048;0,704400819;0,799513329
2310047M10Rik;NA;-1,338071988;0,001392251;0,005531681
2310057M21Rik;RIKEN cDNA 2310057M21 gene;1,04285254;0,642026748;0,753568542
2310061I04Rik;RIKEN cDNA 2310061I04 gene;1,265961881;0,023738841;0,060117366
2310061J03Rik;NA;-1,427326253;0,046143856;0,103180251
2310067B10Rik;RIKEN cDNA 2310067B10 gene;-1,33964863;8,60E-09;1,20E-07
2410002F23Rik;RIKEN cDNA 2410002F23 gene;-1,09451549;0,393988283;0,536071038
2410004B18Rik;RIKEN cDNA 2410004B18 gene;-1,245585581;0,003152471;0,011124628
2410004I01Rik;RIKEN cDNA 2410004I01 gene;-1,340755167;0,081549929;0,161638418
2410004N09Rik;NA;1,035528409;0,850752828;0,902740544
2410004P03Rik;RIKEN cDNA 2410004P03 gene;1,601512164;0,00690154;0,021581037
2410006H16Rik;RIKEN cDNA 2410006H16 gene;1,38641185;0,003656147;0,012604943
2410015M20Rik;RIKEN cDNA 2410015M20 gene;-1,0629559;0,352934747;0,495890916
2410016O06Rik;RIKEN cDNA 2410016O06 gene;-1,204368649;0,046799994;0,104345284
2410017I17Rik;RIKEN cDNA 2410017I17 gene;-1,235783057;0,339620282;0,481752552
2410018L13Rik;RIKEN cDNA 2410018L13 gene;-1,408471842;0,013973351;0,03890531
2410089E03Rik;RIKEN cDNA 2410089E03 gene;1,022112958;0,724923255;0,814480793
2410127L17Rik;NA;1,181088013;0,005253094;0,017155273
2410131K14Rik;RIKEN cDNA 2410131K14 gene;-1,110066069;0,35850018;0,501127389
2500004C02Rik;RIKEN cDNA 2500004C02 gene;-1,179835891;0,159222031;0,272387182
2510002D24Rik;RIKEN cDNA 2510002D24 gene;-1,059665697;0,633397777;0,746493621
2510003E04Rik;NA;-1,021466447;0,758429292;0,838047519
2510009E07Rik;RIKEN cDNA 2510009E07 gene;-1,514612379;4,99E-15;1,82E-13
2510039O18Rik;RIKEN cDNA 2510039O18 gene;-1,078865684;0,220540913;0,348706554
2610001J05Rik;RIKEN cDNA 2610001J05 gene;1,135214946;0,054465656;0,11745658
2610002J02Rik;NA;-1,062628655;0,491235306;0,626387106
2610002M06Rik;RIKEN cDNA 2610002M06 gene;1,006987541;0,911909581;0,944027286
2610005L07Rik;RIKEN cDNA 2610005L07 gene;-1,178592527;0,163511631;0,277911058
2610008E11Rik;RIKEN cDNA 2610008E11 gene;-1,030409141;0,666218728;0,771931797
2610015P09Rik;RIKEN cDNA 2610015P09 gene;-1,007964491;0,953078037;0,971508744
2610018G03Rik;NA;1,306910143;0,088407519;0,172585337
2610020C07Rik;RIKEN cDNA 2610020C07 gene;-1,107086663;0,626675853;0,740850583
2610020H08Rik;RIKEN cDNA 2610020H08 gene;-1,266866869;0,046772496;0,10433104
2610027K06Rik;RIKEN cDNA 2610027K06 gene;-2,418070304;8,22E-11;1,59E-09
2610028H24Rik;RIKEN cDNA 2610028H24 gene;1,600757028;0,016209492;0,043955255
2610034B18Rik;NA;1,062122298;0,387424192;0,529842033
2610035D17Rik;RIKEN cDNA 2610035D17 gene;-1,337311206;0,058999405;0,124956447
2610044O15Rik8;RIKEN cDNA 2610044O15 gene;-1,043896439;0,580053281;0,704563063
2610203C20Rik;RIKEN cDNA 2610203C20 gene;-1,046007133;0,747081397;0,830008733
2610203C22Rik;RIKEN cDNA 2610203C22 gene;2,216523361;3,15E-07;3,20E-06
2610301B20Rik;RIKEN cDNA 2610301B20 gene;1,171100993;0,058443098;0,124118625
2610305D13Rik;RIKEN cDNA 2610305D13 gene;-1,545398161;0,000245984;0,001226826
2610306M01Rik;RIKEN cDNA 2610306M01 gene;1,022676179;0,849800623;0,902186856
2610307P16Rik;RIKEN cDNA 2610307P16 gene;-1,52965949;4,00E-05;0,000247907
2610507B11Rik;RIKEN cDNA 2610507B11 gene;1,080099797;0,314092741;0,454762044
2610507I01Rik;RIKEN cDNA 2610507I01 gene;-1,729096132;1,76E-22;1,37E-20
2610524H06Rik;RIKEN cDNA 2610524H06 gene;1,166708035;0,107082021;0,200563504
2610528J11Rik;RIKEN cDNA 2610528J11 gene;1,466076595;0,001870705;0,007136987
2700029M09Rik;RIKEN cDNA 2700029M09 gene;1,093684145;0,322017529;0,463186276
2700038G22Rik;RIKEN cDNA 2700038G22 gene;-1,093132952;0,665610889;0,771507116
2700046A07Rik;RIKEN cDNA 2700046A07 gene;1,031693325;0,80680227;0,873095529
2700046G09Rik;RIKEN cDNA 2700046G09 gene;1,201616657;0,267247852;0,403185547
2700049A03Rik;RIKEN cDNA 2700049A03 gene;-1,097707583;0,338839376;0,480889327
2700054A10Rik;RIKEN cDNA 2700054A10 gene;-1,519921419;0,000959422;0,004009571
2700060E02Rik;RIKEN cDNA 2700060E02 gene;-1,128344275;0,099921107;0,18964858
2700062C07Rik;RIKEN cDNA 2700062C07 gene;1,224700375;0,044799021;0,100750119
2700081O15Rik;RIKEN cDNA 2700081O15 gene;-2,143234146;8,67E-28;1,26E-25
2700089E24Rik;NA;1,061758015;0,309871241;0,450524035
2700094K13Rik;RIKEN cDNA 2700094K13 gene;1,006416754;0,948237673;0,968906084
2700097O09Rik;RIKEN cDNA 2700097O09 gene;1,118007436;0,392627154;0,534919897
2700099C18Rik;RIKEN cDNA 2700099C18 gene;-2,063602233;0,000262711;0,00130009
2810001G20Rik;RIKEN cDNA 2810001G20 gene;-1,195716794;0,165515139;0,280212719
2810002D19Rik;RIKEN cDNA 2810002D19 gene;-1,282432109;0,123585923;0,224421637
2810004N23Rik;RIKEN cDNA 2810004N23 gene;1,096962436;0,232739458;0,362913791
2810006K23Rik;RIKEN cDNA 2810006K23 gene;-1,594331949;0,000572579;0,002556743
2810008D09Rik;NA;-1,368169148;0,149918376;0,260582206
2810013P06Rik;RIKEN cDNA 2810013P06 gene;-1,39829668;0,000849281;0,003610982
2810021J22Rik;RIKEN cDNA 2810021J22 gene;-1,192166075;0,072761935;0,147647058
2810025M15Rik;RIKEN cDNA 2810025M15 gene;-1,351495974;9,47E-05;0,000530522
2810029C07Rik;RIKEN cDNA 2810029C07 gene;1,890861323;0,002449569;0,008945378
2810047C21Rik1;RIKEN cDNA 2810047C21 gene 1;-1,995410177;0,010697551;0,031119185
2810055G20Rik;NA;1,234556336;0,383910205;0,526644598
2810403A07Rik;RIKEN cDNA 2810403A07 gene;-1,147177251;0,046476701;0,103797967
2810403D21Rik;RIKEN cDNA 2810403D21 gene;1,372753626;0,140343131;0,247685201
2810408A11Rik;RIKEN cDNA 2810408A11 gene;-2,441135093;7,12E-10;1,19E-08
2810408M09Rik;NA;-1,007519161;0,918889058;0,948828933
2810410L24Rik;RIKEN cDNA 2810410L24 gene;-1,3246402;0,131396629;0,235148522
2810417H13Rik;RIKEN cDNA 2810417H13 gene;-1,198508194;0,101155252;0,191442152
2810428I15Rik;RIKEN cDNA 2810428I15 gene;1,133015909;0,199297177;0,323411577
2810433D01Rik;RIKEN cDNA 2810433D01 gene;-1,10307834;0,531991685;0,663766042
2810454H06Rik;RIKEN cDNA 2810454H06 gene;-1,706488582;0,002459022;0,0089744
2810474O19Rik;RIKEN cDNA 2810474O19 gene;1,013709565;0,870712955;0,915905885
2900005J15Rik;RIKEN cDNA 2900005J15 gene;1,073876481;0,664232252;0,770857404
2900008C10Rik;RIKEN cDNA 2900008C10 gene;-1,495518881;0,085015363;0,167350472
2900026A02Rik;RIKEN cDNA 2900026A02 gene;-1,16830976;0,009287578;0,027614313
2900056M20Rik;NA;-1,062733372;0,499721582;0,634182216
2900076A07Rik;RIKEN cDNA 2900076A07 gene;-1,080692469;0,581157153;0,705611825
2900097C17Rik;RIKEN cDNA 2900097C17 gene;-1,062483011;0,360375764;0,50268976
3000002C10Rik;RIKEN cDNA 3000002C10 gene;1,023958801;0,878580314;0,921363551
3010026O09Rik;RIKEN cDNA 3010026O09 gene;-1,200127125;0,168116714;0,283635339
3110001I22Rik;RIKEN cDNA 3110001I22 gene;-1,067310836;0,679576517;0,781827366
3110002H16Rik;RIKEN cDNA 3110002H16 gene;-1,097359782;0,26513755;0,400779157
3110007F17Rik;NA;1,226353441;0,743082784;0,826818359
3110009E18Rik;RIKEN cDNA 3110009E18 gene;1,103580976;0,650454413;0,760375225
3110021N24Rik;RIKEN cDNA 3110021N24 gene;1,008093561;0,965309374;0,979728772
3110040N11Rik;RIKEN cDNA 3110040N11 gene;1,264375122;0,029341319;0,071503931
3110043O21Rik;RIKEN cDNA 3110043O21 gene;-1,134680441;0,084542887;0,166599218
3110052M02Rik;RIKEN cDNA 3110052M02 gene;-1,00879671;0,930836939;0,95692359
3110056K07Rik;RIKEN cDNA 3110056K07 gene;-1,2092827;0,127249142;0,22970793
3110057O12Rik;RIKEN cDNA 3110057O12 gene;-1,275503926;0,042898844;0,097318296
3110062M04Rik;RIKEN cDNA 3110062M04 gene;-1,301369032;0,009102739;0,027147255
3110082I17Rik;RIKEN cDNA 3110082I17 gene;1,076622062;0,422504552;0,563582662
3425401B19Rik;RIKEN cDNA 3425401B19 gene;1,815559337;0,004285249;0,014447944
3632451O06Rik;RIKEN cDNA 3632451O06 gene;-1,03483163;0,762539655;0,841448775
3830403N18Rik;RIKEN cDNA 3830403N18 gene;-1,365329682;0,316944996;0,457819839
3830406C13Rik;RIKEN cDNA 3830406C13 gene;-1,09677462;0,203048119;0,32805549
3830408C21Rik;RIKEN cDNA 3830408C21 gene;-1,932034274;0,000823679;0,003516395
4430402I18Rik;RIKEN cDNA 4430402I18 gene;1,163358232;0,374331156;0,517336447
4632415L05Rik;RIKEN cDNA 4632415L05 gene;-1,158735;0,018904385;0,049772628
4632428C04Rik;RIKEN cDNA 4632428C04 gene;1,48514852;0,009576395;0,028340952
4632428N05Rik;RIKEN cDNA 4632428N05 gene;-1,359462128;0,002383334;0,008751416
4632434I11Rik;NA;2,871255436;1,54E-22;1,23E-20
4732471J01Rik;RIKEN cDNA 4732471J01 gene;-1,447254276;0,091217892;0,17680781
4732491K20Rik;RIKEN cDNA 4732491K20 gene;1,562347876;0,015152349;0,04165051
4831440E17Rik;RIKEN cDNA 4831440E17 gene;-1,62494781;0,007649082;0,023489951
4833412C05Rik;RIKEN cDNA 4833412C05 gene;1,630905265;0,096794163;0,185146754
4833418N02Rik;RIKEN cDNA 4833418N02 gene;-1,132948602;0,569749237;0,696544789
4833420G17Rik;RIKEN cDNA 4833420G17 gene;-1,439842905;9,58E-05;0,000535831
4833422C13Rik;RIKEN cDNA 4833422C13 gene;-1,060384951;0,686217857;0,786323672
4833423E24Rik;RIKEN cDNA 4833423E24 gene;-3,541590963;4,94E-09;7,17E-08
4833424O15Rik;NA;-2,134950054;1,49E-05;0,00010366
4833427G06Rik;RIKEN cDNA 4833427G06 gene;1,848992624;0,019239701;0,050501635
4833439L19Rik;RIKEN cDNA 4833439L19 gene;1,006083524;0,926048193;0,953737989
4921506M07Rik;RIKEN cDNA 4921506M07 gene;1,617284535;0,019792027;0,05169249
4921507P07Rik;RIKEN cDNA 4921507P07 gene;1,147455388;0,438937416;0,578305049
4921524J17Rik;RIKEN cDNA 4921524J17 gene;1,015025678;0,830024671;0,888390983
4921531C22Rik;RIKEN cDNA 4921531C22 gene;-1,11277893;0,509934185;0,643635638
4921536K21Rik;RIKEN cDNA 4921536K21 gene;1,435465855;0,086270415;0,16925335
4930402H24Rik;RIKEN cDNA 4930402H24 gene;1,270599432;0,001643759;0,006399279
4930404N11Rik;RIKEN cDNA 4930404N11 gene;-1,002848814;0,983876895;0,991376575
4930412C18Rik;RIKEN cDNA 4930412C18 gene;1,107825344;0,572166094;0,698626371
4930412O13Rik;RIKEN cDNA 4930412O13 gene;-4,08757413;6,49E-08;7,66E-07
4930413G21Rik;RIKEN cDNA 4930413G21 gene;-1,112511199;0,509395089;0,643231853
4930414L22Rik;NA;-1,641486348;0,000543479;0,002446156
4930427A07Rik;RIKEN cDNA 4930427A07 gene;-1,020523122;0,888462275;0,928519015
4930429B21Rik;RIKEN cDNA 4930429B21 gene;4,929067937;5,84E-15;2,10E-13
4930429F24Rik;RIKEN cDNA 4930429F24 gene;-1,581208869;3,26E-05;0,000206191
4930430F08Rik;RIKEN cDNA 4930430F08 gene;-1,056562625;0,6098729;0,728511356
