Mouse Genes,Human Ortholog Symbol,Identity
Gnb2,ENSG00000172354,100.0
Rab7,ENSG00000075785,100.0
Zfp664,ENSG00000179195,100.0
Supt4a,ENSG00000213246,100.0
Ypel2,ENSG00000175155,100.0
Rps14,ENSG00000164587,100.0
Cnih2,ENSG00000174871,100.0
Tma7,ENSG00000232112,100.0
Cnep1r1,ENSG00000205423,100.0
Rps16,ENSG00000105193,100.0
Tuba1a,ENSG00000167552,100.0
Cbx1,ENSG00000108468,100.0
Rnasek,ENSG00000219200,100.0
Rap2c,ENSG00000123728,100.0
Rhoc,ENSG00000155366,100.0
Smu1,ENSG00000122692,100.0
Lsm3,ENSG00000170860,100.0
Nr2f2,ENSG00000185551,100.0
Ago1,ENSG00000092847,100.0
Snrpg,ENSG00000143977,100.0
Eif5a2,ENSG00000163577,100.0
Ppih,ENSG00000171960,100.0
Snrpd2,ENSG00000125743,100.0
Rps6,ENSG00000137154,100.0
Eif4a2,ENSG00000156976,100.0
Ap3s2,ENSG00000157823,100.0
Rhog,ENSG00000177105,100.0
Ube2e3,ENSG00000170035,100.0
Actg2,ENSG00000163017,100.0
Btg1,ENSG00000133639,100.0
Calm3,ENSG00000160014,100.0
Cnbp,ENSG00000169714,100.0
Magoh,ENSG00000162385,100.0
Gabarapl2,ENSG00000034713,100.0
Rnps1,ENSG00000205937,100.0
Cks1b,ENSG00000173207,100.0
Ppp1cb,ENSG00000213639,100.0
Snrpe,ENSG00000182004,100.0
Taf13,ENSG00000197780,100.0
Phb2,ENSG00000215021,100.0
Eif1b,ENSG00000114784,100.0
Mob1a,ENSG00000114978,100.0
Map1lc3a,ENSG00000101460,100.0
Ypel5,ENSG00000119801,100.0
Nhp2l1,ENSG00000100138,100.0
Rras2,ENSG00000133818,100.0
Shfm1,ENSG00000127922,100.0
Tceb1,ENSG00000154582,100.0
Snrpd1,ENSG00000167088,100.0
Rab14,ENSG00000119396,100.0
Rps15a,ENSG00000134419,100.0
Tubb2b,ENSG00000137285,100.0
H2afz,ENSG00000164032,100.0
Hist2h2aa1,ENSG00000288825,100.0
Sec22b,ENSG00000265808,100.0
Gng5,ENSG00000174021,100.0
Rbm22,ENSG00000086589,100.0
Myl12b,ENSG00000118680,100.0
Actb,ENSG00000075624,100.0
Gnai1,ENSG00000127955,100.0
Phf5a,ENSG00000100410,100.0
Nrarp,ENSG00000198435,100.0
Snrpf,ENSG00000139343,100.0
Smarcb1,ENSG00000099956,100.0
Polr2l,ENSG00000177700,100.0
Rps8,ENSG00000142937,100.0
Rpl24,ENSG00000114391,100.0
Spop,ENSG00000121067,100.0
Stmn2,ENSG00000104435,100.0
Gpr85,ENSG00000164604,100.0
Rpl19,ENSG00000108298,100.0
Stx1b,ENSG00000099365,100.0
Eif3e,ENSG00000104408,100.0
Rps13,ENSG00000110700,100.0
Rap2b,ENSG00000181467,100.0
Sec61a2,ENSG00000065665,100.0
Hist1h2ao,ENSG00000278463,100.0
Polr2d,ENSG00000144231,100.0
Ppp2r2a,ENSG00000221914,100.0
Bcas2,ENSG00000116752,100.0
Napb,ENSG00000125814,100.0
Rps7,ENSG00000171863,100.0
Bzw1,ENSG00000082153,100.0
Rps15,ENSG00000115268,100.0
Gnb2l1,ENSG00000204628,100.0
Nutf2,ENSG00000102898,100.0
Rbbp4,ENSG00000162521,100.0
Rmnd5a,ENSG00000153561,100.0
Qk,ENSG00000112531,100.0
Hnrnpk,ENSG00000165119,100.0
Ebf1,ENSG00000164330,100.0
Ywhag,ENSG00000170027,100.0
Ncald,ENSG00000104490,100.0
Rraga,ENSG00000155876,100.0
Scoc,ENSG00000153130,100.0
Rac1,ENSG00000136238,100.0
Dad1,ENSG00000129562,100.0
Rpl30,ENSG00000156482,100.0
Gabarap,ENSG00000170296,100.0
Eif1ax,ENSG00000173674,100.0
Ppp2r2b,ENSG00000156475,100.0
Gng11,ENSG00000127920,100.0
Ube2r2,ENSG00000107341,100.0
Rpl11,ENSG00000142676,100.0
Hpca,ENSG00000121905,100.0
Tubb4a,ENSG00000104833,100.0
Rab6b,ENSG00000154917,100.0
Hist3h2a,ENSG00000181218,100.0
Psmc5,ENSG00000087191,100.0
Ube2m,ENSG00000130725,100.0
Ssbp3,ENSG00000157216,100.0
Sec61g,ENSG00000132432,100.0
Gabarapl1,ENSG00000139112,100.0
Calm1,ENSG00000143933,100.0
Rpl27,ENSG00000131469,100.0
Ube2l3,ENSG00000185651,100.0
Arf3,ENSG00000134287,100.0
Lsm5,ENSG00000106355,100.0
Rpl15,ENSG00000174748,100.0
Cacng7,ENSG00000105605,100.0
Bud31,ENSG00000106245,100.0
Emc6,ENSG00000127774,100.0
Hypk,ENSG00000242028,100.0
Rps26,ENSG00000197728,100.0
Tubb4b,ENSG00000188229,100.0
Txnl4a,ENSG00000141759,100.0
Ube2b,ENSG00000119048,100.0
Blcap,ENSG00000166619,100.0
Atad1,ENSG00000138138,100.0
Ube2g1,ENSG00000132388,100.0
Tra2b,ENSG00000136527,100.0
Serp1,ENSG00000120742,100.0
Copz1,ENSG00000111481,100.0
Ahcyl1,ENSG00000168710,100.0
Acta2,ENSG00000107796,100.0
Rab11a,ENSG00000103769,100.0
Mob4,ENSG00000115540,100.0
H3f3b,ENSG00000132475,100.0
Rps28,ENSG00000233927,100.0
Rab1,ENSG00000138069,100.0
Arf1,ENSG00000143761,100.0
Cyfip2,ENSG00000055163,99.9202
Sf3b3,ENSG00000189091,99.9178
Smc3,ENSG00000108055,99.9178
Polr2b,ENSG00000047315,99.9148
Prpf8,ENSG00000174231,99.9143
Polr2a,ENSG00000181222,99.8985
Ap2b1,ENSG00000006125,99.8948
Ctnnb1,ENSG00000168036,99.872
Cul1,ENSG00000055130,99.8711
Stat3,ENSG00000168610,99.8701
Rps6ka3,ENSG00000177189,99.8649
Ubc,ENSG00000150991,99.854
Hspa8,ENSG00000109971,99.8452
Kat7,ENSG00000136504,99.8363
Ppp2r1a,ENSG00000105568,99.8302
Cltc,ENSG00000141367,99.8209
Cnot2,ENSG00000111596,99.8148
Rbm39,ENSG00000131051,99.8113
Srp54b,ENSG00000100883,99.8016
Srp54a,ENSG00000100883,99.8016
Hiat1,ENSG00000156875,99.7959
Camk2a,ENSG00000070808,99.7955
Smarcd3,ENSG00000082014,99.793
U2af2,ENSG00000063244,99.7895
Ppp2r5e,ENSG00000154001,99.7859
Eef1a2,ENSG00000101210,99.784
Ruvbl1,ENSG00000175792,99.7807
Tubb3,ENSG00000258947,99.7778
Tuba4a,ENSG00000127824,99.7768
Fbxl20,ENSG00000108306,99.7706
Pbx3,ENSG00000167081,99.7696
Psmc2,ENSG00000161057,99.7691
Hdac3,ENSG00000171720,99.7664
Rbbp7,ENSG00000102054,99.7647
Psmd11,ENSG00000108671,99.763
Peli1,ENSG00000197329,99.7608
Actr3,ENSG00000115091,99.7608
Psmc4,ENSG00000013275,99.7608
Ldb1,ENSG00000198728,99.7567
Smc1a,ENSG00000072501,99.7567
Pafah1b1,ENSG00000007168,99.7561
Trpc1,ENSG00000144935,99.7478
Prmt1,ENSG00000126457,99.7305
Drg1,ENSG00000185721,99.7275
Elavl2,ENSG00000107105,99.7215
Atp6v0d1,ENSG00000159720,99.7151
Asna1,ENSG00000198356,99.7126
Arsa,ENSG00000198356,99.7126
Nfya,ENSG00000001167,99.7118
Rnf2,ENSG00000121481,99.7024
Ppp1ca,ENSG00000172531,99.697
Msi2,ENSG00000153944,99.6951
Creb1,ENSG00000118260,99.6942
Fam49b,ENSG00000153310,99.6914
Fam49a,ENSG00000197872,99.6904
Lrrc4c,ENSG00000148948,99.6875
Prps1l3,ENSG00000147224,99.6855
Pabpc1,ENSG00000070756,99.6855
Rnf41,ENSG00000181852,99.6845
Gtf2b,ENSG00000137947,99.6835
Parp6,ENSG00000137817,99.6825
Syncrip,ENSG00000135316,99.679
Ppp2ca,ENSG00000113575,99.6764
Snrnp200,ENSG00000144028,99.6723
Ppp6c,ENSG00000119414,99.6721
Crk,ENSG00000167193,99.6711
Tnpo1,ENSG00000083312,99.6659
Rqcd1,ENSG00000144580,99.6656
Tnpo2,ENSG00000105576,99.6656
Mpped2,ENSG00000066382,99.6599
Cdk5,ENSG00000164885,99.6575
Ythdf2,ENSG00000198492,99.6546
Abhd17b,ENSG00000107362,99.6528
Cnot7,ENSG00000198791,99.6491
Ddb1,ENSG00000167986,99.6491
Siah1a,ENSG00000196470,99.6454
Cpsf6,ENSG00000111605,99.637
Capzb,ENSG00000077549,99.6324
Phb,ENSG00000167085,99.6324
Otub1,ENSG00000167770,99.631
Ptbp2,ENSG00000117569,99.6234
Dhx15,ENSG00000109606,99.6226
Nlk,ENSG00000087095,99.6205
Ogt,ENSG00000147162,99.6176
Emc3,ENSG00000125037,99.6169
Ppp3ca,ENSG00000138814,99.6161
Kctd21,ENSG00000188997,99.6154
Lrrc3b,ENSG00000179796,99.6139
Tle4,ENSG00000106829,99.6119
Acvr2a,ENSG00000121989,99.6101
Pgam1,ENSG00000171314,99.6063
Nova1,ENSG00000139910,99.6055
Kcnip4,ENSG00000185774,99.6
Psma6,ENSG00000100902,99.5935
Fgf13,ENSG00000129682,99.5918
Prrx1,ENSG00000116132,99.5918
Ywhaz,ENSG00000164924,99.5918
Ywhaq,ENSG00000134308,99.5918
Satb2,ENSG00000119042,99.5907
Ctdnep1,ENSG00000175826,99.5902
Rps3,ENSG00000149273,99.5885
Elmo1,ENSG00000155849,99.5873
Hsp90ab1,ENSG00000096384,99.5856
U2af1,ENSG00000160201,99.5833
Akt3,ENSG00000117020,99.5825
Meis2,ENSG00000134138,99.5807
Smndc1,ENSG00000119953,99.5798
Psma2,ENSG00000106588,99.5726
Smad2,ENSG00000175387,99.5717
Lin7a,ENSG00000111052,99.5708
Celf3,ENSG00000159409,99.5699
Mapk10,ENSG00000109339,99.569
Ruvbl2,ENSG00000183207,99.568
Snrpb,ENSG00000125835,99.5671
Ubb,ENSG00000170315,99.5633
Pafah1b2,ENSG00000168092,99.5633
Prkg1,ENSG00000185532,99.5627
Prpf3,ENSG00000117360,99.5608
Yeats4,ENSG00000127337,99.5595
Ilk,ENSG00000166333,99.5575
Chmp4b,ENSG00000101421,99.5536
Chmp2a,ENSG00000130724,99.5496
Spryd3,ENSG00000167778,99.5475
Mfap1b,ENSG00000140259,99.5444
Mfap1a,ENSG00000140259,99.5444
Grb2,ENSG00000177885,99.5392
Mob1b,ENSG00000173542,99.537
Cstf1,ENSG00000101138,99.536
Rpl10,ENSG00000147403,99.5327
Ddx39b,ENSG00000198563,99.5327
Rab4b,ENSG00000167578,99.5305
Rab39b,ENSG00000155961,99.5305
Chmp2b,ENSG00000083937,99.5305
Pdcd10,ENSG00000114209,99.5283
Sf3b4,ENSG00000143368,99.5283
Kdelr1,ENSG00000105438,99.5283
Cops3,ENSG00000141030,99.5272
Hnrnpr,ENSG00000125944,99.5261
Ap3m1,ENSG00000185009,99.5215
Bcl11a,ENSG00000119866,99.521
Fgf9,ENSG00000102678,99.5192
Dnaja2,ENSG00000069345,99.5146
Rala,ENSG00000006451,99.5146
Fem1c,ENSG00000145780,99.5138
Rhoq,ENSG00000119729,99.5122
Asf1a,ENSG00000111875,99.5098
Atp2b1,ENSG00000070961,99.5082
Snx6,ENSG00000129515,99.5074
Cops4,ENSG00000138663,99.5074
Ube2e2,ENSG00000182247,99.5025
Arl4a,ENSG00000122644,99.5
Nr4a2,ENSG00000153234,99.4983
Dnaja1,ENSG00000086061,99.4962
Sar1a,ENSG00000079332,99.4949
Ola1,ENSG00000138430,99.4949
Dnajc5,ENSG00000101152,99.4949
Syp,ENSG00000179295,99.4941
Ptpn11,ENSG00000179295,99.4941
Mat2a,ENSG00000168906,99.4937
Ephb2,ENSG00000133216,99.4929
Aes,ENSG00000104964,99.4924
Luc7l2,ENSG00000146963,99.4898
Tex261,ENSG00000144043,99.4898
Sephs1,ENSG00000086475,99.4898
Selt,ENSG00000198843,99.4872
Gtl3,ENSG00000070761,99.4819
Rhoa,ENSG00000067560,99.4819
Csrp1,ENSG00000159176,99.4819
Cul3,ENSG00000036257,99.4792
Ebf2,ENSG00000221818,99.4783
Hpcal4,ENSG00000116983,99.4764
Nras,ENSG00000213281,99.4709
Oaz2,ENSG00000180304,99.4709
Eif3m,ENSG00000149100,99.4652
Gpr173,ENSG00000184194,99.4638
Arl8a,ENSG00000143862,99.4624
Galnt13,ENSG00000144278,99.4604
Anapc10,ENSG00000164162,99.4595
Rpl17,ENSG00000265681,99.4565
Det1,ENSG00000140543,99.4545
Rap2a,ENSG00000125249,99.4536
Dcx,ENSG00000077279,99.4536
Emc4,ENSG00000128463,99.4536
Dctn5,ENSG00000166847,99.4505
Ctnna1,ENSG00000044115,99.4481
Mcts1,ENSG00000232119,99.4475
Msi1,ENSG00000135097,99.4475
Fut9,ENSG00000172461,99.4429
Fyn,ENSG00000010810,99.4413
Foxp2,ENSG00000128573,99.4406
Ehd1,ENSG00000110047,99.4382
Naa20,ENSG00000173418,99.4382
Ube2z,ENSG00000159202,99.435
Zbtb18,ENSG00000179456,99.435
Stt3a,ENSG00000134910,99.4326
Dr1,ENSG00000117505,99.4318
Cand1,ENSG00000111530,99.4309
Rps6kb1,ENSG00000108443,99.4286
Wnt7a,ENSG00000154764,99.4269
Vangl2,ENSG00000162738,99.4242
Atxn7l3,ENSG00000087152,99.4236
Hnrnph3,ENSG00000096746,99.422
Myl9,ENSG00000101335,99.4186
Lgalsl,ENSG00000119862,99.4186
Smarcd1,ENSG00000066117,99.4175
Celf1,ENSG00000149187,99.4163
Acvr2b,ENSG00000114739,99.4141
Pdik1l,ENSG00000175087,99.4135
Cnot1,ENSG00000125107,99.4108
Rtcb,ENSG00000100220,99.4059
Dazap2,ENSG00000183283,99.4048
Prkca,ENSG00000154229,99.4048
Prpf19,ENSG00000110107,99.4048
Nfyc,ENSG00000066136,99.403
Taok1,ENSG00000160551,99.4006
Kcna2,ENSG00000177301,99.3988
Cfl2,ENSG00000165410,99.3976
Chic2,ENSG00000109220,99.3939
Phyhip,ENSG00000168490,99.3939
Rpl12,ENSG00000197958,99.3939
Kcnd3,ENSG00000171385,99.3893
Rprd1b,ENSG00000101413,99.3865
Skp1a,ENSG00000113558,99.3865
Hdac2,ENSG00000196591,99.3852
Eif3i,ENSG00000084623,99.3846
Eftud2,ENSG00000108883,99.3827
Polr3b,ENSG00000013503,99.3822
Brms1l,ENSG00000100916,99.3808
Brms1,ENSG00000100916,99.3808
Nckap1,ENSG00000061676,99.3794
Tnnc1,ENSG00000114854,99.3789
Lamtor1,ENSG00000149357,99.3789
Pura,ENSG00000185129,99.3789
Tnc,ENSG00000114854,99.3789
Hdac1,ENSG00000116478,99.3776
Rpl21,ENSG00000122026,99.375
Max,ENSG00000125952,99.375
Vps35,ENSG00000069329,99.3719
Asb7,ENSG00000183475,99.3711
Stag1,ENSG00000118007,99.3641
Nudcd2,ENSG00000170584,99.3631
Rps27a,ENSG00000143947,99.359
Qrich1,ENSG00000198218,99.3557
Pfdn5,ENSG00000123349,99.3506
Rnf11,ENSG00000123091,99.3506
Tnpo3,ENSG00000064419,99.3499
Map3k7,ENSG00000135341,99.3399
Arpc5,ENSG00000162704,99.3377
Klhl15,ENSG00000174010,99.3377
Arpc2,ENSG00000163466,99.3333
Tlk2,ENSG00000146872,99.3333
Klhl24,ENSG00000114796,99.3333
Zbtb14,ENSG00000198081,99.3318
Tuba1c,ENSG00000167553,99.3318
Tuba8,ENSG00000183785,99.3318
Ext1,ENSG00000182197,99.3298
Ostc,ENSG00000198856,99.3289
Ipo7,ENSG00000205339,99.3256
Rpsa,ENSG00000168028,99.322
Enc1,ENSG00000171617,99.3209
Cnot8,ENSG00000155508,99.3151
Tomm20,ENSG00000173726,99.3103
Zbp1,ENSG00000159217,99.3068
Igf2bp1,ENSG00000159217,99.3068
St7,ENSG00000004866,99.3068
Tada3,ENSG00000171148,99.3056
Mib1,ENSG00000101752,99.3042
Cstf3,ENSG00000176102,99.3027
Flot2,ENSG00000132589,99.2991
Klhl12,ENSG00000117153,99.2958
Six1,ENSG00000126778,99.2958
Zranb1,ENSG00000019995,99.2938
Fzd2,ENSG00000180340,99.292
Ap1m1,ENSG00000072958,99.2908
Fbxw11,ENSG00000072803,99.2895
Ube2q1,ENSG00000160714,99.2891
Mapre3,ENSG00000084764,99.2883
Rab40c,ENSG00000197562,99.2883
Nt5c2,ENSG00000076685,99.287
Tada2b,ENSG00000173011,99.2857
Pfn2,ENSG00000070087,99.2857
Uhmk1,ENSG00000152332,99.284
Smek1,ENSG00000100796,99.2797
Eif4a3,ENSG00000141543,99.2701
Nrxn1,ENSG00000179915,99.2701
Golga7,ENSG00000147533,99.2701
Crabp1,ENSG00000166426,99.2701
Ap1g1,ENSG00000166747,99.2701
Dlg3,ENSG00000082458,99.2656
Copb1,ENSG00000129083,99.2655
Xpo7,ENSG00000130227,99.264
Rps17,ENSG00000182774,99.2593
Cpsf4,ENSG00000160917,99.2565
Surf4,ENSG00000148248,99.2565
Kpna6,ENSG00000025800,99.2537
Snw1,ENSG00000100603,99.2537
Rbm17,ENSG00000134453,99.2519
Fam19a1,ENSG00000183662,99.2481
Tmem60,ENSG00000135211,99.2481
Tmem57,ENSG00000204178,99.247
Aph1a,ENSG00000117362,99.2453
Rps3a1,ENSG00000145425,99.2424
Fam19a5,ENSG00000219438,99.2424
Gnb5,ENSG00000069966,99.2405
Spin1,ENSG00000106723,99.2366
Ppp3cb,ENSG00000107758,99.2366
Pax5,ENSG00000196092,99.2327
Kpna3,ENSG00000102753,99.2322
Pea15a,ENSG00000162734,99.2308
Dcun1d1,ENSG00000043093,99.2278
U2surp,ENSG00000163714,99.2225
Rpl22,ENSG00000116251,99.2188
Sf1,ENSG00000168066,99.2175
Actn2,ENSG00000077522,99.217
Nfia,ENSG00000162599,99.2141
Polr2f,ENSG00000100142,99.2126
Dnajc8,ENSG00000126698,99.2095
Kcnj10,ENSG00000177807,99.2084
Sf3a3,ENSG00000183431,99.2016
Kpnb1,ENSG00000108424,99.2009
Tial1,ENSG00000151923,99.2
Lamtor2,ENSG00000116586,99.2
Rab25,ENSG00000116586,99.2
Smurf2,ENSG00000108854,99.1979
Chtop,ENSG00000160679,99.1936
Lingo1,ENSG00000169783,99.1936
Srsf1,ENSG00000136450,99.1936
Pank3,ENSG00000120137,99.1892
Ywhah,ENSG00000128245,99.187
Ddx5,ENSG00000108654,99.1857
Mkln1,ENSG00000128585,99.1837
Ahcyl2,ENSG00000158467,99.1817
Hsp90aa1,ENSG00000080824,99.1803
Klhl20,ENSG00000076321,99.179
Jazf1,ENSG00000153814,99.177
Celf4,ENSG00000101489,99.177
Wdr13,ENSG00000101940,99.1753
Ctcf,ENSG00000102974,99.1747
Cacnb3,ENSG00000167535,99.1736
Ntn1,ENSG00000065320,99.1722
Rbm25,ENSG00000119707,99.1696
Ipo13,ENSG00000117408,99.1693
Ppm1l,ENSG00000163590,99.1667
Mmd,ENSG00000108960,99.1597
Kctd6,ENSG00000168301,99.1561
Cdc34,ENSG00000099804,99.1525
Mtpn,ENSG00000105887,99.1525
Rhov,ENSG00000104140,99.1525
Rpl34,ENSG00000109475,99.1453
Appbp2,ENSG00000062725,99.1453
Ubl3,ENSG00000122042,99.1453
Smad1,ENSG00000170365,99.1398
Nog,ENSG00000183691,99.1379
Cask,ENSG00000147044,99.1361
Uba3,ENSG00000144744,99.1361
Lypla2,ENSG00000011009,99.1342
Stag2,ENSG00000101972,99.1325
Rnf141,ENSG00000110315,99.1304
Zfp36,ENSG00000110315,99.1304
Rplp2,ENSG00000177600,99.1304
Cwc15,ENSG00000150316,99.1266
Efna5,ENSG00000184349,99.1228
Prpf18,ENSG00000165630,99.1228
Gid8,ENSG00000101193,99.1228
Cab39,ENSG00000135932,99.1202
Hnrnpa2b1,ENSG00000122566,99.1202
Arfip2,ENSG00000132254,99.1202
Dync1h1,ENSG00000197102,99.1175
Eif1,ENSG00000173812,99.115
Eif3l,ENSG00000100129,99.1135
Csk,ENSG00000103653,99.1111
Hnrnph2,ENSG00000126945,99.1091
Vps26b,ENSG00000151502,99.1071
Tmem147,ENSG00000105677,99.1071
Arih1,ENSG00000166233,99.1023
Cops5,ENSG00000121022,99.1018
Brsk1,ENSG00000160469,99.1003
Rab3a,ENSG00000105649,99.0909
Bub3,ENSG00000154473,99.0854
Vps4a,ENSG00000132612,99.0847
Gtf2a2,ENSG00000140307,99.0826
Clta,ENSG00000122705,99.0826
Pak1,ENSG00000149269,99.0826
Rab11b,ENSG00000185236,99.0826
Kctd12,ENSG00000178695,99.0769
Polr3k,ENSG00000161980,99.0741
Cse1l,ENSG00000124207,99.0731
Dyrk1a,ENSG00000157540,99.0716
Rbbp5,ENSG00000117222,99.0706
Ankrd52,ENSG00000139645,99.0706
Kcnk12,ENSG00000184261,99.0698
Eef2,ENSG00000167658,99.0676
Kbtbd4,ENSG00000123444,99.0637
Hnrnpa1,ENSG00000224578,99.0625
Tead1,ENSG00000187079,99.061
Psmd1,ENSG00000173692,99.0556
Eif2s1,ENSG00000134001,99.0476
Gsk3b,ENSG00000082701,99.0476
Pls3,ENSG00000102024,99.0476
Bzw2,ENSG00000136261,99.0453
Fem1b,ENSG00000169018,99.0431
Cyfip1,ENSG00000273749,99.0423
Prpf4,ENSG00000136875,99.0403
Rab6a,ENSG00000175582,99.0385
Pcbd1,ENSG00000166228,99.0385
Pip4k2b,ENSG00000276293,99.0385
Abcf2,ENSG00000033050,99.0369
Nfyb,ENSG00000120837,99.0338
Nkain1,ENSG00000084628,99.0338
Syngap1,ENSG00000197283,99.032
Rab18,ENSG00000099246,99.0291
Tbl1xr1,ENSG00000177565,99.0272
Arcn1,ENSG00000095139,99.0215
Atp6v1b2,ENSG00000147416,99.0215
Rps5,ENSG00000083845,99.0196
Gdf11,ENSG00000135414,99.0172
Rasl10b,ENSG00000270885,99.0148
Lrrc8a,ENSG00000136802,99.0123
Cript,ENSG00000119878,99.0099
Grik2,ENSG00000164418,99.0088
Srp54c,ENSG00000100883,99.0079
Runx1t1,ENSG00000079102,99.0066
Tmed2,ENSG00000086598,99.005
Cyth3,ENSG00000008256,98.9975
Prkcg,ENSG00000126583,98.9957
Cdk2,ENSG00000123374,98.9933
Sar1b,ENSG00000152700,98.9899
Zfp207,ENSG00000010244,98.9879
Pa2g4,ENSG00000170515,98.9848
Map2k1,ENSG00000169032,98.9822
Patz1,ENSG00000100105,98.9811
Chp1,ENSG00000187446,98.9744
Ssu72,ENSG00000160075,98.9691
Egr3,ENSG00000179388,98.9664
Ergic1,ENSG00000113719,98.9655
Car8,ENSG00000178538,98.9655
Ube2e1,ENSG00000170142,98.9637
Msl2,ENSG00000174579,98.9601
