#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:1903522	Regulation of blood circulation	4	250	1.5	1.02	0.0064	9606.ENSP00000241356,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668	ADORA3,GHRL,AGT,EDN2
GO Process	GO:0007166	Cell surface receptor signaling pathway	7	2040	0.83	0.56	0.0122	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,GHRL,AGT,EDN2,GPR17,P2RY6
GO Process	GO:0007200	Phospholipase C-activating G protein-coupled receptor signaling pathway	3	97	1.78	0.96	0.0145	9606.ENSP00000355627,9606.ENSP00000442982,9606.ENSP00000480966	AGT,GPR17,P2RY6
GO Process	GO:0014824	Artery smooth muscle contraction	2	10	2.6	1.04	0.0145	9606.ENSP00000355627,9606.ENSP00000361668	AGT,EDN2
GO Process	GO:0051341	Regulation of oxidoreductase activity	3	102	1.76	0.95	0.0150	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596	AGT,EDN2,CNR2
GO Process	GO:0007165	Signal transduction	9	4714	0.58	0.39	0.0159	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6
GO Process	GO:0050727	Regulation of inflammatory response	4	371	1.33	0.78	0.0185	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000363596,9606.ENSP00000442982	GHRL,AGT,CNR2,GPR17
GO Process	GO:0014061	Regulation of norepinephrine secretion	2	14	2.45	0.96	0.0197	9606.ENSP00000241356,9606.ENSP00000355627	ADORA3,AGT
GO Process	GO:0032102	Negative regulation of response to external stimulus	4	387	1.31	0.76	0.0199	9606.ENSP00000335074,9606.ENSP00000363596,9606.ENSP00000442982,9606.ENSP00000493985	GHRL,CNR2,GPR17,KNG1
GO Process	GO:0050790	Regulation of catalytic activity	7	2370	0.76	0.49	0.0205	9606.ENSP00000241356,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,GHRL,AGT,EDN2,CNR2,P2RY6,KNG1
GO Process	GO:0051969	Regulation of transmission of nerve impulse	2	17	2.37	0.93	0.0221	9606.ENSP00000335074,9606.ENSP00000355627	GHRL,AGT
GO Process	GO:2000846	Regulation of corticosteroid hormone secretion	2	17	2.37	0.93	0.0221	9606.ENSP00000335074,9606.ENSP00000355627	GHRL,AGT
GO Process	GO:0050728	Negative regulation of inflammatory response	3	147	1.6	0.82	0.0244	9606.ENSP00000335074,9606.ENSP00000363596,9606.ENSP00000442982	GHRL,CNR2,GPR17
GO Process	GO:0014821	Phasic smooth muscle contraction	2	20	2.29	0.89	0.0253	9606.ENSP00000361668,9606.ENSP00000363748	EDN2,HTR1D
GO Process	GO:0070887	Cellular response to chemical stimulus	7	2609	0.72	0.44	0.0276	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6
GO Process	GO:0010033	Response to organic substance	7	2692	0.71	0.43	0.0320	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6
GO Process	GO:0050896	Response to stimulus	10	7835	0.4	0.28	0.0400	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6,KNG1
GO Process	GO:0007202	Activation of phospholipase C activity	2	30	2.12	0.75	0.0447	9606.ENSP00000355627,9606.ENSP00000480966	AGT,P2RY6
GO Process	GO:0045987	Positive regulation of smooth muscle contraction	2	30	2.12	0.75	0.0447	9606.ENSP00000335074,9606.ENSP00000361668	GHRL,EDN2
GO Process	GO:0008016	Regulation of heart contraction	3	201	1.47	0.66	0.0464	9606.ENSP00000241356,9606.ENSP00000355627,9606.ENSP00000361668	ADORA3,AGT,EDN2
GO Function	GO:0004930	G protein-coupled receptor activity	6	831	1.15	0.85	0.0052	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,CNR2,HTR1D,GPR17,P2RY6
GO Function	GO:0045029	G protein-coupled UDP receptor activity	2	2	3.29	1.31	0.0052	9606.ENSP00000308361,9606.ENSP00000480966	P2RY14,P2RY6
GO Function	GO:0005179	Hormone activity	3	129	1.66	0.79	0.0299	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668	GHRL,AGT,EDN2
GO Function	GO:0045028	G protein-coupled purinergic nucleotide receptor activity	2	15	2.42	0.86	0.0299	9606.ENSP00000308361,9606.ENSP00000480966	P2RY14,P2RY6
STRING clusters	CL:23923	ACE inhibitor pathway, and Vein smooth muscle contraction	3	17	2.54	1.84	0.00049	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000493985	AGT,EDN2,KNG1
STRING clusters	CL:23869	Peptide ligand-binding receptors, and Neuropeptide receptor binding	4	112	1.85	1.62	0.00053	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000493985	GHRL,AGT,EDN2,KNG1
STRING clusters	CL:25105	Gap junction channel activity, and Purinergic nucleotide receptor signaling pathway	3	46	2.11	1.5	0.0016	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000480966	ADORA3,P2RY14,P2RY6
STRING clusters	CL:23926	ACE inhibitor pathway	2	7	2.75	1.32	0.0048	9606.ENSP00000355627,9606.ENSP00000493985	AGT,KNG1
STRING clusters	CL:25156	Nucleotide receptor activity	2	17	2.37	1.0	0.0164	9606.ENSP00000308361,9606.ENSP00000480966	P2RY14,P2RY6
KEGG	hsa04080	Neuroactive ligand-receptor interaction	9	329	1.73	3.98	3.82e-13	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,GHRL,AGT,EDN2,CNR2,HTR1D,P2RY6,KNG1
KEGG	hsa04024	cAMP signaling pathway	3	207	1.46	0.79	0.0228	9606.ENSP00000335074,9606.ENSP00000361668,9606.ENSP00000363748	GHRL,EDN2,HTR1D
Reactome	HSA-373076	Class A/1 (Rhodopsin-like receptors)	10	326	1.78	4.54	4.14e-15	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6,KNG1
Reactome	HSA-388396	GPCR downstream signalling	10	624	1.5	2.99	8.43e-13	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,GHRL,AGT,EDN2,CNR2,HTR1D,GPR17,P2RY6,KNG1
Reactome	HSA-418594	G alpha (i) signalling events	7	309	1.65	2.82	1.34e-08	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000355627,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000493985	ADORA3,P2RY14,AGT,CNR2,HTR1D,GPR17,KNG1
Reactome	HSA-418038	Nucleotide-like (purinergic) receptors	4	16	2.69	3.95	6.14e-08	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,GPR17,P2RY6
Reactome	HSA-416476	G alpha (q) signalling events	6	217	1.74	2.76	1.29e-07	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	GHRL,AGT,EDN2,GPR17,P2RY6,KNG1
Reactome	HSA-417957	P2Y receptors	3	12	2.69	2.76	1.08e-05	9606.ENSP00000308361,9606.ENSP00000442982,9606.ENSP00000480966	P2RY14,GPR17,P2RY6
Reactome	HSA-375276	Peptide ligand-binding receptors	4	194	1.61	1.5	0.00045	9606.ENSP00000335074,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000493985	GHRL,AGT,EDN2,KNG1
WikiPathways	WP455	GPCRs, class A rhodopsin-like	6	256	1.66	2.41	8.18e-07	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,CNR2,HTR1D,GPR17,P2RY6
WikiPathways	WP4900	Purinergic signaling	3	33	2.25	1.93	0.00026	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000480966	ADORA3,P2RY14,P2RY6
WikiPathways	WP80	Nucleotide GPCRs	2	11	2.55	1.31	0.0047	9606.ENSP00000241356,9606.ENSP00000480966	ADORA3,P2RY6
WikiPathways	WP554	ACE inhibitor pathway	2	17	2.37	1.18	0.0077	9606.ENSP00000355627,9606.ENSP00000493985	AGT,KNG1
WikiPathways	WP4969	RAS and bradykinin pathways in COVID-19	2	28	2.15	1.0	0.0156	9606.ENSP00000355627,9606.ENSP00000493985	AGT,KNG1
UniProt Keywords	KW-0838	Vasoactive	3	12	2.69	2.53	2.87e-05	9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000493985	AGT,EDN2,KNG1
UniProt Keywords	KW-0297	G-protein coupled receptor	6	781	1.18	1.14	0.00024	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,CNR2,HTR1D,GPR17,P2RY6
UniProt Keywords	KW-0839	Vasoconstrictor	2	5	2.9	1.75	0.00082	9606.ENSP00000355627,9606.ENSP00000361668	AGT,EDN2
UniProt Keywords	KW-1015	Disulfide bond	8	3338	0.67	0.51	0.0030	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000355627,9606.ENSP00000361668,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,AGT,EDN2,HTR1D,GPR17,P2RY6,KNG1
UniProt Keywords	KW-0325	Glycoprotein	8	4386	0.56	0.38	0.0169	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000355627,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966,9606.ENSP00000493985	ADORA3,P2RY14,AGT,CNR2,HTR1D,GPR17,P2RY6,KNG1
Pfam	PF00001	7 transmembrane receptor (rhodopsin family)	5	452	1.34	1.02	0.0035	9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	P2RY14,CNR2,HTR1D,GPR17,P2RY6
InterPro	IPR000276	G protein-coupled receptor, rhodopsin-like	6	675	1.24	1.0	0.0022	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,CNR2,HTR1D,GPR17,P2RY6
InterPro	IPR017452	GPCR, rhodopsin-like, 7TM	6	682	1.24	1.0	0.0022	9606.ENSP00000241356,9606.ENSP00000308361,9606.ENSP00000363596,9606.ENSP00000363748,9606.ENSP00000442982,9606.ENSP00000480966	ADORA3,P2RY14,CNR2,HTR1D,GPR17,P2RY6
