Rat Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Was,ENSG00000015285,ortholog_one2one,87.251,89.8406
Cytip,ENSG00000115165,ortholog_one2one,81.8941,88.8579
Sla,ENSG00000155926,ortholog_one2one,88.0435,92.7536
Prkcb,ENSG00000166501,ortholog_one2one,98.8113,99.2571
Klrc1,ENSG00000134545,ortholog_many2many,44.206,59.6567
Lilrb4,ENSG00000187116,ortholog_many2many,40.8027,56.1873
Glipr1,ENSG00000139278,ortholog_one2one,60.9023,74.0602
Cxcr5,ENSG00000160683,ortholog_one2one,81.7204,88.9785
Gpr65,ENSG00000140030,ortholog_one2one,80.4154,91.3947
Cd2,ENSG00000116824,ortholog_one2one,53.5613,68.661
Pigr,ENSG00000162896,ortholog_one2one,58.6387,73.5602
Slc14a1,ENSG00000141469,ortholog_one2one,80.7198,89.4602
Sept1,ENSG00000180096,ortholog_one2one,93.2796,96.2366
RGD1562667,ENSG00000167850,ortholog_one2many,50.4464,58.0357
RGD1310251,ENSG00000170476,ortholog_one2one,72.4868,82.5397
Gpr171,ENSG00000174946,ortholog_one2one,89.3417,95.6113
Cd7,ENSG00000154096,ortholog_one2one,70.8075,81.9876
Ighg,not found,,,
Cd53,ENSG00000143119,ortholog_one2one,80.8219,89.4977
Chi3l1,ENSG00000133048,ortholog_one2one,75.1958,86.423
C3ar1,ENSG00000171860,ortholog_one2one,59.751,71.5768
Ifitm6,ENSG00000185885,ortholog_many2many,45.6,60.8
Stfa2l3,ENSG00000121552,ortholog_one2many,64.2857,74.4898
Stfa3,ENSG00000121552,ortholog_one2many,57.1429,74.4898
Clnk,ENSG00000109684,ortholog_one2one,60.514,71.9626
Fcrla,ENSG00000132185,ortholog_one2one,65.7382,75.766
Cmah,not found,,,
Ifi47,not found,,,
Klrd1,ENSG00000134539,ortholog_one2one,51.3966,68.7151
Phf11,ENSG00000136147,ortholog_one2many,51.9637,62.8399
RT1-CE5,ENSG00000206503,ortholog_many2many,64.9315,76.4384
Klrg1,ENSG00000139187,ortholog_one2one,53.9683,68.7831
Np4,ENSG00000164821,ortholog_many2many,37.1134,47.4227
Cd79b,ENSG00000007312,ortholog_one2one,68.559,80.786
Cd14,ENSG00000170458,ortholog_one2one,63.2,74.4
S100a9,ENSG00000163220,ortholog_one2one,61.4035,72.807
Cd96,ENSG00000153283,ortholog_one2one,60.6327,73.4622
IgG-2a,error - retries exceeded,,,
Rgs18,ENSG00000150681,ortholog_one2one,82.5532,91.0638
Ptprc,ENSG00000081237,ortholog_one2one,65.0077,74.1194
LOC24906,not found,,,
Stfa2,ENSG00000121552,ortholog_one2many,62.2449,73.4694
Tbx21,ENSG00000073861,ortholog_one2one,86.3551,90.4673
C1s,ENSG00000182326,ortholog_one2one,70.0581,80.9593
Itgam,ENSG00000169896,ortholog_one2one,73.7847,86.3715
Klrc3,ENSG00000134545,ortholog_many2many,36.4807,51.5021
Lck,ENSG00000182866,ortholog_one2one,96.6601,98.0354
Stfa2l2,ENSG00000121552,ortholog_one2many,62.2449,73.4694
F5,ENSG00000198734,ortholog_one2one,68.1205,77.7878
Txk,ENSG00000074966,ortholog_one2one,81.7837,91.0816
Igj,ENSG00000132465,ortholog_one2one,74.8428,85.5346
Retnla,ENSG00000163515,ortholog_one2many,48.6486,68.4685
Plek,ENSG00000115956,ortholog_one2one,88.5714,94.8571
Sell,ENSG00000188404,ortholog_one2one,75.8064,84.6774
Cd69,ENSG00000110848,ortholog_one2one,54.7739,66.8342
Ctsw,ENSG00000172543,ortholog_one2one,69.4149,79.7872
C1qa,ENSG00000173372,ortholog_one2one,73.4694,85.7143
Faim3,ENSG00000162894,ortholog_one2one,56.9231,68.4615
Stap1,ENSG00000035720,ortholog_one2one,85.4237,92.2034
Atp8b4,ENSG00000104043,ortholog_one2one,88.0872,94.4631
Ikzf3,ENSG00000161405,ortholog_one2one,87.8193,92.5344
Ngp,not found,,,
Slpi,ENSG00000124107,ortholog_one2many,62.1212,74.2424
Ccl3,ENSG00000277632,ortholog_one2many,77.1739,89.1304
Defa,ENSG00000164816,ortholog_many2many,50,69.1489
C1qb,ENSG00000173369,ortholog_one2one,78.4861,86.8526
LOC362795,not found,,,
Defa10,ENSG00000164816,ortholog_many2many,46.8085,64.8936
Camp,ENSG00000164047,ortholog_one2one,58.2353,70
Apobec1,ENSG00000111701,ortholog_one2one,67.3729,77.1186
Clec4a1,ENSG00000111729,ortholog_one2one,50.6329,65.8228
Ifi204,ENSG00000163563,ortholog_one2one,44.9631,63.3907
Mmp8,ENSG00000118113,ortholog_one2one,72.1627,83.0835
C4-2,ENSG00000244731,ortholog_many2many,79.1858,88.3601
Fcgr1a,ENSG00000150337,ortholog_one2one,60.6952,71.9251
Taar7b,not found,,,
LOC687079,error - retries exceeded,,,
Folr2,ENSG00000165457,ortholog_one2one,77.2549,84.7059
Klrb1b,ENSG00000111796,ortholog_one2many,45.3333,60.8889
Crabp1,ENSG00000166426,ortholog_one2one,99.2701,99.2701
Clec4a2,ENSG00000198178,ortholog_one2many,42.2535,59.6244
Il1r2,ENSG00000115590,ortholog_one2one,61.809,74.1206
Ms4a3,ENSG00000149516,ortholog_one2one,59.8131,72.4299
Ms4a12,ENSG00000071203,ortholog_one2one,51.6854,65.5431
LOC690930,ENSG00000110077,ortholog_many2many,48,60.4444
Orm1,ENSG00000229314,ortholog_one2many,49.7512,68.6567
Pla2g2a,ENSG00000188257,ortholog_one2one,69.4444,77.7778
Tf,ENSG00000117525,ortholog_one2one,49.4915,60.678
Clec4a3,ENSG00000198178,ortholog_one2many,39.9061,64.7887
Bank1,ENSG00000153064,ortholog_one2one,65.8599,78.4713
Cd84,ENSG00000066294,ortholog_one2one,52.1341,65.5488
Ifitm1,ENSG00000185201,ortholog_many2many,54.5455,66.6667
Sh2d1a,error - retries exceeded,,,
Ebi3,ENSG00000105246,ortholog_one2one,59.8253,73.7991
Arhgap15,ENSG00000159314,ortholog_one2one,82.5647,86.8391
S100a8,ENSG00000143546,ortholog_one2one,60.2151,81.7204
Pglyrp1,ENSG00000008438,ortholog_one2one,62.7551,74.4898
Ms4a1,ENSG00000149534,ortholog_one2one,55.3279,68.4426
LOC690020,not found,,,
Csf3r,ENSG00000119535,ortholog_one2one,63.6364,74.8804
Mmp9,ENSG00000100985,ortholog_one2one,73.9745,84.5827
Fmo2,ENSG00000094963,ortholog_one2one,84.6729,92.3364
RGD1563047,ENSG00000125999,ortholog_one2one,55.5785,72.7273
Stfa2l1,ENSG00000121552,ortholog_one2many,62.2449,76.5306
Ccl9,ENSG00000275718,ortholog_one2many,40.708,56.6372
Fcrls,not found,,,
Cyp2a3,ENSG00000197838,ortholog_many2many,72.0648,86.4372
Defa11,ENSG00000164816,ortholog_many2many,36.1702,57.4468
Clca3,ENSG00000016490,ortholog_one2one,74.7265,85.9956
Klri2,ENSG00000205809,ortholog_many2many,20.3463,33.7662
Fpr1,ENSG00000171051,ortholog_one2one,72,82.2857
Oas1k,ENSG00000089127,ortholog_one2many,56,64
Olfm4,ENSG00000102837,ortholog_one2one,70,80.5882
Mt2A,not found,,,
Clec4d,ENSG00000166527,ortholog_one2one,60,73.4884
Cd163,ENSG00000177575,ortholog_one2one,73.8626,83.3185
RGD1561778,ENSG00000167850,ortholog_one2many,50.4464,58.4821
Abp1,ENSG00000002726,ortholog_one2many,80.8256,88.8149
Retnlg,ENSG00000163515,ortholog_one2many,56.7568,76.5766
Gsta5,not found,,,
Timp1,ENSG00000102265,ortholog_one2one,70.5314,82.6087
RGD1565356,error - retries exceeded,,,
LOC641523,error - retries exceeded,,,
Ceacam10,ENSG00000007129,ortholog_one2many,21.5017,26.9625
Il8rb,ENSG00000180871,ortholog_one2many,70.2778,86.3889
Ndufb4,ENSG00000065518,ortholog_one2many,66.6667,80.6202
Gp2,ENSG00000169347,ortholog_one2one,61.236,71.9101
RGD1561983,ENSG00000117983,ortholog_one2one,35.8035,43.6307
Rhag,ENSG00000112077,ortholog_one2one,76.5281,84.8411
Kng1,ENSG00000113889,ortholog_one2many,55.9006,68.1677
F2rl2,ENSG00000164220,ortholog_one2one,70.3209,80.7487
Car1,ENSG00000138449,ortholog_one2one,84.5884,87.3905
