Rat Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Rab3c,ENSG00000152932,ortholog_one2one,97.3568,98.6784
Gucy1a3,ENSG00000164116,ortholog_one2one,89.1304,94.7826
Cdh6,ENSG00000113361,ortholog_one2one,97.4684,99.1139
Csde1,ENSG00000009307,ortholog_one2one,98.6216,99.1228
Mef2d,ENSG00000116604,ortholog_one2one,95.5854,96.5451
Ghr,ENSG00000112964,ortholog_one2one,69.906,81.0345
RGD1561161,not found,,,
Spata1,ENSG00000122432,ortholog_one2one,69.7727,78.8636
Mecom,ENSG00000085276,ortholog_one2one,92.5747,95.2381
Lrriq3,ENSG00000162620,ortholog_one2one,61.859,76.7628
St6galnac3,ENSG00000184005,ortholog_one2one,85.9016,93.4426
Usp53,ENSG00000145390,ortholog_one2one,76.1417,84.343
Agpat3,ENSG00000160216,ortholog_one2one,91.7553,96.0106
Pcbp3,ENSG00000183570,ortholog_one2one,97.8437,98.6523
LOC689927,error - retries exceeded,,,
Bdnf,ENSG00000176697,ortholog_one2one,97.5708,98.7854
Cdc40,ENSG00000168438,ortholog_one2one,98.791,99.6546
Slc12a1,ENSG00000074803,ortholog_one2one,92.9936,96.0873
Baz2b,ENSG00000123636,ortholog_one2one,86.9004,91.9742
Rbpjl,ENSG00000124232,ortholog_one2one,87.8143,91.4894
Fyn,ENSG00000010810,ortholog_one2one,99.6276,99.6276
Usp20,ENSG00000136878,ortholog_one2one,92.2319,96.3895
Xirp2,ENSG00000163092,ortholog_one2one,67.4556,77.2048
Pcif1,ENSG00000100982,ortholog_one2one,95.8807,98.0114
Aoc1,ENSG00000002726,ortholog_one2many,80.8256,88.8149
Galnt11,ENSG00000178234,ortholog_one2one,88.6513,94.7368
Sema3d,ENSG00000153993,ortholog_one2one,92.4067,96.3964
Mpp6,ENSG00000105926,ortholog_one2one,97.4074,98.7037
Gnas,ENSG00000087460,ortholog_one2one,93.9086,96.4467
Kbtbd2,ENSG00000170852,ortholog_one2one,98.7159,99.5185
Steap4,ENSG00000127954,ortholog_one2one,81.4815,91.0675
Zfp638,ENSG00000075292,ortholog_one2one,75.9858,84.0748
Fam126a,ENSG00000122591,ortholog_one2one,91.1708,95.2015
Hyal5,ENSG00000106304,ortholog_one2many,57.7603,74.0668
Foxj2,ENSG00000065970,ortholog_one2one,90.7665,93.554
Ntf3,ENSG00000185652,ortholog_one2one,95.9259,97.4074
Prickle2,ENSG00000163637,ortholog_one2one,95.2607,97.8673
Bhlhe40,ENSG00000134107,ortholog_one2one,90.0485,92.9612
Pik3c2g,ENSG00000139144,ortholog_one2one,72.14,83.9838
42437,error - retries exceeded,,,
Lyn,ENSG00000254087,ortholog_one2one,96.0938,98.8281
Gpr153,ENSG00000158292,ortholog_one2one,87.8489,91.6256
LOC100294508,ENSG00000142687,ortholog_one2one,83.1268,89.2278
Bicd1,ENSG00000151746,ortholog_one2one,95.6923,97.8462
Hmgcl,ENSG00000117305,ortholog_one2one,84.3077,91.6923
Kcns3,ENSG00000170745,ortholog_one2one,95.5193,97.9633
Clec12b,ENSG00000256660,ortholog_one2one,69.2029,80.7971
Klhl29,ENSG00000119771,ortholog_one2one,97.8286,98.5143
Ncoa1,ENSG00000084676,ortholog_one2one,90.7009,94.2401
Traf3,ENSG00000131323,ortholog_one2one,95.0704,96.3028
Hdac9,ENSG00000048052,ortholog_one2one,92.2357,94.855
Apc2,ENSG00000115266,ortholog_one2one,81.5892,85.8446
Atp2b1,ENSG00000070961,ortholog_one2one,99.5902,99.918
Alx1,ENSG00000180318,ortholog_one2one,96.0123,96.9325
Nrcam,ENSG00000091129,ortholog_one2one,92.1012,95.7055
Tdg,ENSG00000139372,ortholog_one2one,85.8537,89.2683
Syt1,ENSG00000067715,ortholog_one2one,97.8673,99.0521
Cdk17,ENSG00000059758,ortholog_one2one,96.3671,97.7055
Entpd5,ENSG00000187097,ortholog_one2one,85.9813,92.0561
Cnot2,ENSG00000111596,ortholog_one2one,99.8148,100
Cpq,ENSG00000104324,ortholog_one2one,87.7119,92.7966
Tmem184b,ENSG00000198792,ortholog_one2one,95.8231,97.0516
Tmem45b,ENSG00000151715,ortholog_one2one,77.8182,86.9091
Sox10,ENSG00000100146,ortholog_one2one,97.4249,98.0687
Rangap1,ENSG00000100401,ortholog_one2one,89.6082,95.5707
Tnrc6b,ENSG00000100354,ortholog_one2one,95.9083,97.545
Cntn1,ENSG00000018236,ortholog_one2one,92.5344,95.0884
Lrrc24,ENSG00000254402,ortholog_one2one,82.4561,87.9142
Fat3,ENSG00000165323,ortholog_one2one,93.0268,97.0582
Pknox2,ENSG00000165495,ortholog_one2one,98.7288,99.3644
Usp2,ENSG00000036672,ortholog_one2one,90.9091,94.0496
Nmnat3,ENSG00000163864,ortholog_one2one,79.7619,86.5079
Ddx6,ENSG00000110367,ortholog_one2many,98.1366,98.5507
Hmg20a,ENSG00000140382,ortholog_one2one,95.9654,97.4063
Rab27a,ENSG00000069974,ortholog_one2one,96.3801,96.8326
Fam83b,ENSG00000168143,ortholog_one2one,81.8002,89.5153
Ccdc51,ENSG00000164051,ortholog_one2one,81.9951,86.8613
Cgnl1,ENSG00000128849,ortholog_one2one,81.5668,88.172
Mon1a,ENSG00000164077,ortholog_one2one,94.4144,96.036
Qrich1,ENSG00000198218,ortholog_one2one,98.9691,99.3557
Scap,ENSG00000114650,ortholog_one2one,92.4941,95.1525
Spats2l,ENSG00000196141,ortholog_one2one,90.3226,93.19
Ctdspl,ENSG00000144677,ortholog_one2one,96.0145,97.4638
Col9a1,ENSG00000112280,ortholog_one2one,90.1194,94.6797
Tbc1d5,ENSG00000131374,ortholog_one2one,88.2497,92.5337
Ube2q2l,not found,,,
Adgrf5,ENSG00000069122,ortholog_one2one,72.8083,82.0208
Icos,ENSG00000163600,ortholog_one2one,66.3317,74.3719
Ccdc12,ENSG00000160799,ortholog_one2one,83.7349,89.1566
Rcan2,ENSG00000172348,ortholog_one2one,93.8272,97.9424
Usp49,ENSG00000124641,ortholog_one2one,97.1698,98.1132
Map4k4,ENSG00000071054,ortholog_one2one,98.3382,99.2775
Trpm8,ENSG00000144481,ortholog_one2one,93.75,97.2826
Smpx,ENSG00000091482,ortholog_one2one,69.3182,76.1364
Dcx,ENSG00000077279,ortholog_one2one,99.4536,99.4536
Timm8a1,ENSG00000126953,ortholog_one2many,94.8454,96.9072
Fgd1,ENSG00000102302,ortholog_one2one,95.2133,96.358
Acsl3,ENSG00000123983,ortholog_one2one,92.3611,96.25
Pak3,ENSG00000077264,ortholog_one2one,98.7132,99.2647
Cldn2,ENSG00000165376,ortholog_one2one,90.8696,95.2174
Acsl4,ENSG00000068366,ortholog_one2one,97.4627,98.9552
Bcor,ENSG00000183337,ortholog_one2one,88.8889,93.7322
Drp2,ENSG00000102385,ortholog_one2one,95.7158,97.9101
Selv,ENSG00000186838,ortholog_one2one,40.7514,50
Pak4,ENSG00000130669,ortholog_one2one,93.0626,94.247
Gpc4,ENSG00000076716,ortholog_one2one,93.3453,95.6835
Pgm2l1,ENSG00000165434,ortholog_one2one,93.7299,97.1061
Cyfip1,ENSG00000273749,ortholog_one2one,99.2019,99.7606
Fhl1,not found,,,
Fchsd2,ENSG00000137478,ortholog_one2one,95.6757,97.8378
Abhd17b,ENSG00000107362,ortholog_one2one,99.6528,100
Sgms1,ENSG00000198964,ortholog_one2one,97.3366,98.3051
Papd7,ENSG00000112941,ortholog_one2one,92.1717,94.3182
Gsto2,ENSG00000065621,ortholog_one2one,85.1852,91.7695
Col8a1,ENSG00000144810,ortholog_one2one,93.9516,97.043
Canx,ENSG00000127022,ortholog_one2one,93.9189,97.6351
Zbtb20,ENSG00000181722,ortholog_one2one,97.7058,98.1107
Tom1l2,ENSG00000175662,ortholog_one2one,95.4635,97.6331
Rnf152,ENSG00000176641,ortholog_one2one,97.5369,98.5222
Pafah1b1,ENSG00000007168,ortholog_one2one,99.7561,100
Alcam,ENSG00000170017,ortholog_one2one,92.9674,97.4271
Uchl5,ENSG00000116750,ortholog_one2one,90.5488,92.3781
Pgap2,ENSG00000148985,ortholog_one2many,54.6032,59.3651
Ganab,ENSG00000089597,ortholog_one2one,72.4576,77.8602
R3hdm1,ENSG00000048991,ortholog_one2one,90.5644,94.3563
Atp6v1a,ENSG00000114573,ortholog_one2one,97.731,99.1896
Tnip1,ENSG00000145901,ortholog_one2one,82.5472,88.522
Llgl2,ENSG00000073350,ortholog_one2one,89.7059,92.549
Pp2d1,ENSG00000183977,ortholog_one2one,56.1905,70.9524
Anxa11,ENSG00000122359,ortholog_one2one,93.2673,95.6436
Esrrg,ENSG00000196482,ortholog_one2one,100,100
Ptk2b,ENSG00000120899,ortholog_one2one,95.6392,98.117
Nat2,ENSG00000171428,ortholog_many2many,81.3793,92.7586
Chd8,ENSG00000100888,ortholog_one2one,96.3967,97.8303
LOC360933,ENSG00000087302,ortholog_one2one,45.082,55.3279
Dcaf8,ENSG00000132716,ortholog_one2one,96.9849,97.8224
Ocel1,ENSG00000099330,ortholog_one2one,51.5152,60.6061
Bmpr1a,ENSG00000107779,ortholog_one2one,96.9925,98.3083
Atxn1,ENSG00000124788,ortholog_one2one,87.2393,89.5705
Pcm1,ENSG00000078674,ortholog_one2one,88.3399,92.9842
Arhgef7,ENSG00000102606,ortholog_one2one,94.7796,97.2158
Agtr1a,ENSG00000144891,ortholog_one2many,94.7075,98.6072
Cdh11,ENSG00000140937,ortholog_one2one,98.2412,98.8693
Usp6nl,ENSG00000148429,ortholog_one2one,81.1594,86.3527
Wdr37,ENSG00000047056,ortholog_one2one,89.0688,91.2955
Dym,ENSG00000141627,ortholog_one2one,86.7403,89.6409
Cdh6,ENSG00000113361,ortholog_one2one,97.4684,99.1139
Enc1,ENSG00000171617,ortholog_one2one,99.4907,99.6604
Sorbs2,ENSG00000154556,ortholog_one2one,83.3077,87.3077
Ddx19b,ENSG00000157349,ortholog_one2one,93.5282,96.8685
Chrm3,ENSG00000133019,ortholog_one2one,91.5254,95.4237
Hs3st5,ENSG00000249853,ortholog_one2one,96.2428,97.6879
Phyhipl,ENSG00000165443,ortholog_one2one,90.4255,93.617
Kcna10,ENSG00000143105,ortholog_one2one,92.3679,95.6947
Tank,ENSG00000136560,ortholog_one2one,78.3529,86.8235
Tfpi,ENSG00000003436,ortholog_one2one,60.8553,75
Tnpo2,ENSG00000105576,ortholog_one2one,99.6656,99.8885
Sema5a,ENSG00000112902,ortholog_one2one,93.6685,96.8343
Dusp19,ENSG00000162999,ortholog_one2one,80.1843,90.3226
Traf6,ENSG00000175104,ortholog_one2one,87.5479,92.9119
Cd82,ENSG00000085117,ortholog_one2one,70.0375,79.4007
Ehf,ENSG00000135373,ortholog_one2one,94.3333,97.3333
Qser1,ENSG00000060749,ortholog_one2one,77.2532,83.7446
Actg1,not found,,,
Ttbk2,ENSG00000128881,ortholog_one2one,90.0322,94.1318
Gnas,not found,,,
Raly,ENSG00000125970,ortholog_one2one,81.0458,84.3137
Rtf1,ENSG00000137815,ortholog_one2one,98.169,98.8732
Sema6d,ENSG00000137872,ortholog_one2one,95.1538,97.5769
Lrrc4c,ENSG00000148948,ortholog_one2one,99.6875,100
Slc25a40,ENSG00000075303,ortholog_one2one,75.4438,85.2071
Cdk14,ENSG00000058091,ortholog_one2one,98.7207,99.5736
Tbl1xr1,ENSG00000101849,ortholog_one2one,85.7886,88.2149
Gng12,ENSG00000172380,ortholog_one2one,95.8333,98.6111
Rpap1,ENSG00000103932,ortholog_one2one,79.9713,86.5757
Efcab14,ENSG00000159658,ortholog_one2one,82.2222,90.101
Zfp384,ENSG00000126746,ortholog_one2one,96.875,97.3684
Kank4,ENSG00000132854,ortholog_one2one,73.9698,81.3065
Dlgap3,ENSG00000116544,ortholog_one2one,96.2206,97.3442
Lyn,ENSG00000254087,ortholog_one2one,96.0938,98.8281
Eya3,ENSG00000158161,ortholog_one2one,95.1134,96.8586
Ahdc1,ENSG00000126705,ortholog_one2one,94.4479,95.8827
Snx30,ENSG00000148158,ortholog_one2one,92.9062,95.4233
Tm2d1,ENSG00000162604,ortholog_one2one,84.5411,90.3382
Rere,ENSG00000142599,ortholog_one2one,93.8059,95.6577
Kif1b,ENSG00000054523,ortholog_one2one,96.8062,98.7335
Fam71d,ENSG00000172717,ortholog_one2one,57.3141,71.7026
Fam49b,ENSG00000153310,ortholog_one2one,96.6049,97.2222
Tac3,ENSG00000166863,ortholog_one2one,60.3306,73.5537
Syt1,ENSG00000067715,ortholog_one2one,97.8673,99.0521
Fam49a,ENSG00000197872,ortholog_one2one,99.6904,100
Tbc1d5,ENSG00000131374,ortholog_one2one,88.2497,92.5337
Dus4l,ENSG00000105865,ortholog_one2one,89.5899,96.8454
Capn13,ENSG00000162949,ortholog_one2one,67.2646,78.6248
Lrrn3,ENSG00000173114,ortholog_one2one,87.1469,92.9379
Efr3a,ENSG00000132294,ortholog_one2one,97.3203,98.9038
Scube1,ENSG00000159307,ortholog_one2one,92.4089,95.4453
Casp8,ENSG00000064012,ortholog_one2one,65.1357,77.6618
Klhl31,ENSG00000124743,ortholog_one2one,91.4827,96.0568
Lrrfip2,ENSG00000093167,ortholog_one2one,89.5978,93.3426
Mpzl2,ENSG00000149573,ortholog_one2one,82.3256,87.907
Irs1,ENSG00000169047,ortholog_one2one,89.6135,92.029
Foxp3,ENSG00000049768,ortholog_one2one,86.0789,89.7912
Raph1,ENSG00000173166,ortholog_one2one,89.76,92.96
Klf7,ENSG00000118263,ortholog_one2one,97.0199,98.0132
RGD1561552,not found,,,
LOC691215,not found,,,
Pir,ENSG00000087842,ortholog_one2one,95.5172,97.2414
Cnksr2,ENSG00000149970,ortholog_one2one,98.9362,99.4197
Prrg1,ENSG00000130962,ortholog_one2one,93.1193,96.789
Creb1,ENSG00000118260,ortholog_one2many,99.0826,100
LOC367975,ENSG00000133639,ortholog_one2many,83.0409,87.7193
Cntn1,ENSG00000018236,ortholog_one2one,92.5344,95.0884
Zdhhc9,ENSG00000188706,ortholog_one2one,97.5275,98.3516
Brs3,ENSG00000102239,ortholog_one2one,82.2055,88.9724
Tbpl1,ENSG00000028839,ortholog_one2one,90.3226,90.8602
Fbxw11,ENSG00000072803,ortholog_one2one,99.2895,99.8224
Col8a1,ENSG00000144810,ortholog_one2one,93.9516,97.043
Cited1,ENSG00000125931,ortholog_one2many,81.3472,84.9741
Maged1,ENSG00000179222,ortholog_one2one,88.3033,92.1594
Stag2,ENSG00000101972,ortholog_one2one,99.0536,99.7634
Pak1,ENSG00000149269,ortholog_one2many,92.2936,93.211
Wdfy1,ENSG00000085449,ortholog_one2one,97.0732,99.5122
Tmprss2,ENSG00000184012,ortholog_one2one,77.8455,86.7886
Iqcg,ENSG00000114473,ortholog_one2one,61.6253,77.8781
Chrm3,ENSG00000133019,ortholog_one2one,91.5254,95.4237
Dhx32,ENSG00000089876,ortholog_one2one,87.6178,94.4818
Tmem45a,ENSG00000181458,ortholog_one2many,60,73.8182
Cox6a1,ENSG00000111775,ortholog_one2one,82.5688,90.8257
Ankrd17,ENSG00000132466,ortholog_one2one,96.9266,98.156
Mtmr3,ENSG00000100330,ortholog_one2one,87.0618,91.0685
Lrrc4c,ENSG00000148948,ortholog_one2one,99.6875,100
Bdh1,ENSG00000161267,ortholog_one2one,86.5889,90.6706
Mapk8,ENSG00000107643,ortholog_one2one,97.4239,98.829
Abca5,ENSG00000154265,ortholog_one2one,90.2558,95.1888
Dnajc5b,ENSG00000147570,ortholog_one2one,87.9397,95.4774
Ppp1r42,ENSG00000178125,ortholog_one2one,86.7159,94.0959
Impa1,ENSG00000133731,ortholog_one2one,85.1986,93.8628
Atp6v1h,ENSG00000047249,ortholog_one2one,95.4451,96.8944
Pkib,ENSG00000135549,ortholog_one2one,71.7949,85.8974
Zfp26,not found,,,
Pak7,ENSG00000101349,ortholog_one2one,94.4367,96.9402
Ctdspl,ENSG00000144677,ortholog_one2one,96.0145,97.4638
Pank3,ENSG00000120137,ortholog_one2one,99.1892,99.7297
Setd2,ENSG00000181555,ortholog_one2one,84.6334,89.4696
Myt1l,ENSG00000186487,ortholog_one2one,94.4351,98.145
Adgrg2,ENSG00000173698,ortholog_one2one,80.6293,88.0039
Prelid2,ENSG00000186314,ortholog_one2one,79.096,88.1356
Celf4,ENSG00000101489,ortholog_one2one,99.7942,99.7942
Larp4b,ENSG00000107929,ortholog_one2one,85.6369,90.7859
Ctdspl,ENSG00000144677,ortholog_one2one,96.0145,97.4638
Tbc1d5,ENSG00000131374,ortholog_one2one,88.2497,92.5337
Add3,ENSG00000148700,ortholog_one2one,92.9178,97.4504
Plscr3,ENSG00000187838,ortholog_one2one,92.2034,94.9153
Fgd4,ENSG00000139132,ortholog_one2one,80.2879,86.268
Sema5a,ENSG00000112902,ortholog_one2one,93.6685,96.8343
Fam117b,ENSG00000138439,ortholog_one2one,92.0204,94.2275
Ophn1,ENSG00000079482,ortholog_one2one,91.5212,95.0125
Zbed4,ENSG00000100426,ortholog_one2one,82.0666,89.5816
Ppfibp1,ENSG00000110841,ortholog_one2one,89.1542,93.5323
Hmgcs1,ENSG00000112972,ortholog_one2one,94.8077,97.6923
Jakmip2,ENSG00000176049,ortholog_one2one,97.561,98.2927
LOC689173,ENSG00000121067,ortholog_one2many,38.2353,48.6631
Lrrc4c,ENSG00000148948,ortholog_one2one,99.6875,100
Trip12,ENSG00000153827,ortholog_one2one,98.4035,99.0324
Arl5a,ENSG00000162980,ortholog_one2one,99.4413,100
Tsx,ENSG00000204116,ortholog_one2one,89.7321,93.75
Ankib1,ENSG00000001629,ortholog_one2one,94.2149,96.6942
Nlgn3,ENSG00000196338,ortholog_one2one,98.9387,99.1745
Stat3,ENSG00000168610,ortholog_one2one,99.7403,100
Osbpl8,ENSG00000091039,ortholog_one2one,96.1755,98.5377
Asb12,ENSG00000198881,ortholog_one2one,86.1635,90.8805
Tmlhe,ENSG00000185973,ortholog_one2one,69.5962,76.9596
Ccdc22,ENSG00000101997,ortholog_one2one,87.7193,92.185
Fam60a,ENSG00000139146,ortholog_one2one,96.8326,98.6425
Armcx3,ENSG00000102401,ortholog_one2one,94.9868,96.5699
Acsl4,ENSG00000068366,ortholog_one2one,97.4627,98.9552
Thoc2,ENSG00000125676,ortholog_one2many,97.5518,99.0584
Msl3,ENSG00000293137,ortholog_one2many,85.6742,92.9775
Otud5,ENSG00000068308,ortholog_one2one,98.7633,99.2933
F8a1,ENSG00000277150,ortholog_one2many,86.2534,88.4097
Utp14a,ENSG00000156697,ortholog_many2many,76.9131,85.3437
