gene,Altemeir_16116230_Unranked,Bao_31411002_ranked,Deng_37674532_ranked,Feng_37553691,Hu_37081490_Unranked,Jia_34917127_ranked,Leikauf_21297076_Unranked,Leikauf_22447970,Leikauf_23590305_Unranked,Li_31106457_ranked,Lingappan_25003466,Lv_2621618_Unranked,Teng_33961683_ranked,Wang_30979832,Wang_37149072_Ranked,Yue_31373289_ranked,maic_score,contributors
CXCL9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
CXCL3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
CCL5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
GADD45G,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
GBP5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
Ifi47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
AW112010,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
RSAD2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
GBP7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
PARP14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
APOE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
HSPA1B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
HEXB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
ITPR2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
HGSNAT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
MDM2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
BASP1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
INHBA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
Stfa2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
Stfa1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
Ngp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
Ifitm6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
IFITM1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
Stfa3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
G0S2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Feng_37553691
SLC2A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
FGL2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
KCTD12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
RPL10A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
IGKC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
IGHM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
SPARC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
CD36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
ACE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Feng_37553691
MAPK14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
VWF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
MPO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
OAS3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
PRTN3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
CCL7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
ELANE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
ACOD1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
CCL13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
MMP8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
CALHM6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
GPR84,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
CTSG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
Ifi204,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
SLFN12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
Serpina3c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
TNF,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,TRANSCRIPTOMICS: Lv_2621618_Unranked
PSMB8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
SAMHD1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PRDX5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
STAT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
IRGM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PSMB9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
IL18BP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
IRF7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
H2-D1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PLA2G7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
IFIT1B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
ENO1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PSMB10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
LYZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
CTSS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
HP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
ICAM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
H2-K1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PSME1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
EHD1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
B2M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
NAMPT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
NME1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
DNAJA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
MARCKSL1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
SELL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
PRDX1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
ALCAM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
IL1R2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Deng_37674532_ranked
HSPA9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
H1-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Deng_37674532_ranked
AK081905,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK149396,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK148588,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK145614,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
uc.428,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK047145,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK161362,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK006017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
1700011B04Rik,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK045681,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK048117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
Gm13373,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK089519,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK047865,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
AK132971,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
LEMD1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
FER1L6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,TRANSCRIPTOMICS: Wang_30979832
LCP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
Serpina3m,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
SAA1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
EIF2S1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
CYCS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
ORM1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
PLCG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Yue_31373289_ranked
PLIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
BID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
STMN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
TLR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
LPIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
SLC1A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
NGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
IFNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
ACSL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
CAV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
ARRDC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
LURAP1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
GPT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
ACSF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
MAP1LC3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
CBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
MYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
NOX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
ACVR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
PROM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
RGS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
NQO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRANSCRIPTOMICS: Wang_37149072_Ranked
SLC38A4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
SLCO4C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
CYP11A1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
TTK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
ELP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
AACS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
Tnfrsf1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
NCOR2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
TNS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
FRY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
SLC35A5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_22447970
GDF15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
SLC7A11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
MTHFD2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
ANKRD1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
AREG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
MYC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
ASNS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
ADM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
TNFRSF12A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
CH25H,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
SLC7A5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
GADD45A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
PDK4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
FHL3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
GSTA1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,TRANSCRIPTOMICS: Lingappan_25003466
