gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Luo_36514862_SNPS	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Tsotakos_35947545_up	Wang_35790551_circRNA	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors
S100A14	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454922297348121	PROTEOMIC: Ahmed_37839510, GENOMICS: Li_26030808
PIGR	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454922297348121	PROTEOMIC: Ahmed_37839510, GENOMICS: Li_26030808
SERPINC1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454922297348121	PROTEOMIC: Ahmed_37839510, GENOMICS: Li_26030808
APOC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861526145724942	0.0	1.1667527812002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4529053957727736	TRANSCRIPTOMICS: Bharracharya_22723293, PROTEOMICS: Zasada_31445514
SERPINA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861525745724942	0.0	1.1667525712002793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1048030686271535	0.0	0.0	0.0	2.4529051457727737	TRANSCRIPTOMICS: Bharracharya_22723293, PROTEOMICS: Zasada_31445514
AGT	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	1.2861524245724942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.451832546227629	GENOMICS: Li_26030808, PROTEOMICS: Zasada_31445514
IGLL5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2812137444650744	0.0	0.0	0.0	0.0	1.1489475079448759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4301612524099503	TRANSCRIPTOMICS: Gong_32412065, PROTEOMICS: Zasada_31445514_day36GA
HBG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861525945724943	1.287601123664144	0.0	0.0	0.0	1.102482968172082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1223148617394334	2.409915985403577	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14, PROTEOMICS: Zasada_31445514_day36GA
TPP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1185064622129288	2.4077486379059154	PROTEOMIC: Ahmed_37839510, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14
LRG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861524445724943	1.288665686863989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1048030686271535	0.0	0.0	0.0	2.3934687554911425	TRANSCRIPTOMICS: Windhorst_37090732, PROTEOMICS: Zasada_31445514_day36GA
HBG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861524845724943	0.0	0.0	0.0	0.0	1.102482998172082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3886354827445766	TRANSCRIPTOMICS: Fulton_30459472, PROTEOMICS: Zasada_31445514
C1S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.300375882062283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.086867763996331	0.0	0.0	2.387243646058614	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14, PROTEOMICS: Zasada_31445514_day36GA
PLEC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.083885344299692	0.0	0.0	2.3731275199926785	PROTEOMIC: Ahmed_37839510, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14
LGALS3BP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861525445724942	1.2961176292629033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0766121965242146	0.0	2.372729825787118	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28, PROTEOMICS: Zasada_31445514_day36GA
ITIH3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2861524645724942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0836475659639693	0.0	0.0	2.3698000305364637	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14, PROTEOMICS: Zasada_31445514
FCRL2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2040578534661537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0790754282513544	0.0	0.0	2.3697379751212884	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
RALGPS2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.195534246096427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1092904847873644	2.361214367751562	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
FCRLA	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1943754537205307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1112066570933137	2.3600555753756653	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
AFF3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1866513654747188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3523314871298537	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
CYS1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.174864610390085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34054473204522	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
CNR2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.173958741741797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3396388633969316	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
ASPM	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667528812002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.080583622266511	1.0760484570296174	0.0	2.3324330028554145	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
CD8A	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667528012002795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432922855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
RRM2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667527612002793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0760466240630069	1.1280964540510103	2.3324328828554144	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
IL1RL1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667527012002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0842046466362343	0.0	0.0	2.3324328228554143	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
DEPDC1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667526412002793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324327628554142	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
SELE	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667526312002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324327528554143	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
CHIT1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667526112002793	0.0	0.0	0.0	0.0	1.10465379225877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324327328554144	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
PLA2G2A	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667525512002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0760407422039069	0.0	2.332432672855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
KIF14	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667524912002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.083436962295186	0.0	0.0	2.3324326128554143	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
ADORA3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667524412002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0973041198861606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432562855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
CD5L	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667524112002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432532855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
BUB1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667523712002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432492855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
KMO	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667523312002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324324528554143	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
CENPA	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166752241200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.087187066332873	0.0	0.0	2.332432362855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
IQGAP3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667521112002792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432232855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
NEK2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751991200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324321128554137	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
MARCO	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667519812002791	0.0	0.0	0.0	1.122182419060341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332432102855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
RORC	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751931200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.064321805325887	0.0	0.0	0.0	0.0	2.332432052855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
KANK4	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751821200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332431942855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
FCER1A	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751791200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332431912855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
SLC44A5	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751671200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332431792855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
S100A3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.166751651200279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332431772855414	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
ITLN1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	1.1667515812002789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3324317028554136	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808
FCRL1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1646967377994777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3303768594546126	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
DRAXIN	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1402707171235151	0.0	0.0	0.0	0.0	0.0	2.3059508387786503	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Tsotakos_35947545_up
FAM84A	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14027070709643	0.0	0.0	0.0	0.0	0.0	2.305950828751565	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Tsotakos_35947545_up
TRIB2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1402705767443215	0.0	0.0	0.0	0.0	1.1189368845324772	2.3059506983994567	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Tsotakos_35947545_up
MBOAT2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1399255166540656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3056056383092005	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
IL1R2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1032482188651007	1.10465379225877	0.0	0.0	0.0	0.0	0.0	1.1398321403556686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.305512262010804	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5, GENOMICS: Li_26030808
AK5	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1058934446965358	0.0	0.0	1.1388050010733002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1143055853097554	2.304485122728435	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
MAN1C1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.138524872178109	0.0	0.0	0.0	0.0	0.0	1.1048030686271535	0.0	0.0	0.0	2.3042049938332436	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
TRAF3IP3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1382447432829175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.303924864938052	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
LY9	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137124227702152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.302804349357287	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
CHI3L2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1368440988069608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1182981314051728	2.3025242204620957	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
LDLRAP1	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1365639699117693	0.0	0.0	0.0	0.0	0.0	0.0	1.0849519499770777	0.0	0.0	2.3022440915669042	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
JUN	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1357677812297629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.301447902884898	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
RCAN3	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1078852566053474	0.0	0.0	1.1357235832261954	0.0	0.0	0.0	0.0	0.0	0.0	1.0839872493007163	0.0	1.1199046546307239	2.30140370488133	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5
CR2	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1340890549094615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2997691765645962	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Li_26030808
