Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Mbd6,Ap2s1,ENSG00000042753
Il6ra,Arpc4,ENSG00000241553
Fosl2,Eif5a,ENSG00000132507
Chrm3,Ptp4a2,ENSG00000184007
Mmp9,Eny2,ENSG00000120533
Junb,Srsf10,ENSG00000188529
Nol3,Sppl3,ENSG00000157837
Xlr3a,BC005537,ENSG00000112308
Tle1,Lsm12,ENSG00000161654
Slc30a1,Wdr5,ENSG00000196363
Obsl1,Pcbp1,ENSG00000169564
Il4i1,Vcp,ENSG00000165280
Gm12942,Rab30,ENSG00000137502
Cd300lf,Rps9,ENSG00000170889
Kmt2b,Polr2g,ENSG00000168002
Tnf,Psmc6,ENSG00000100519
Rnf40,Ube2d1,ENSG00000072401
Plxna4os1,Actg1,ENSG00000184009
Gm12657,Actr2,ENSG00000138071
Padi4,Tbpl1,ENSG00000028839
Gm12216,Eif4a1,ENSG00000161960
Safb2,Cdc42se2,ENSG00000158985
Rad51c,Cdc73,ENSG00000134371
Wfdc17,Cops2,ENSG00000166200
Cdk2ap2,Nop10,ENSG00000182117
Dusp19,Vsnl1,ENSG00000163032
Cxcl14,Gnb2,ENSG00000172354
Adamts13,Rab7,ENSG00000075785
Fgfr4,Zfp664,ENSG00000179195
Ikbke,Supt4a,ENSG00000213246
Emcn,Ypel2,ENSG00000175155
Fgr,Rps14,ENSG00000164587
Camk4,Cnih2,ENSG00000174871
Pdlim1,Tma7,ENSG00000232112
Nab2,Cnep1r1,ENSG00000205423
Nxpe2,Rps16,ENSG00000105193
Emilin2,Tuba1a,ENSG00000167552
Hif3a,Cbx1,ENSG00000108468
Nlrp3,Rnasek,ENSG00000219200
Srp54b,Rap2c,ENSG00000123728
Rnd1,Rhoc,ENSG00000155366
Cd33,Smu1,ENSG00000122692
Mrpl36,Lsm3,ENSG00000170860
A230057D06Rik,Nr2f2,ENSG00000185551
Map3k10,Ago1,ENSG00000092847
Serpina3h,Snrpg,ENSG00000143977
Dlg2,Eif5a2,ENSG00000163577
Glt28d2,Ppih,ENSG00000171960
Ybx2,Snrpd2,ENSG00000125743
Zbtb16,Rps6,ENSG00000137154
1700052K11Rik,Eif4a2,ENSG00000156976
Clec5a,Ap3s2,ENSG00000157823
Map3k8,Rhog,ENSG00000177105
Timp1,Ube2e3,ENSG00000170035
4933409K07Rik,Actg2,ENSG00000163017
Nyap1,Btg1,ENSG00000133639
Bbc3,Calm3,ENSG00000160014
Lilra6,Cnbp,ENSG00000169714
Grem1,Magoh,ENSG00000162385
Per1,Gabarapl2,ENSG00000034713
Cxcl13,Rnps1,ENSG00000205937
Slc4a11,Cks1b,ENSG00000173207
Tmem243,Ppp1cb,ENSG00000213639
Serpina3g,Snrpe,ENSG00000182004
Zfp239,Taf13,ENSG00000197780
Trim39,Phb2,ENSG00000215021
Nox4,Eif1b,ENSG00000114784
Lgr6,Mob1a,ENSG00000114978
A230050P20Rik,Map1lc3a,ENSG00000101460
1600029O15Rik,Ypel5,ENSG00000119801
Gm5424,Nhp2l1,ENSG00000100138
Socs1,Rras2,ENSG00000133818
Qsox1,Shfm1,ENSG00000127922
Dgke,Tceb1,ENSG00000154582
AB124611,Snrpd1,ENSG00000167088
Kcnh1,Rab14,ENSG00000119396
Aplf,Rps15a,ENSG00000134419
Wscd2,Tubb2b,ENSG00000137285
Chm,H2afz,ENSG00000164032
Fyn,Hist2h2aa1,ENSG00000288825
Gm14308,Sec22b,ENSG00000265808
Gp49a,Gng5,ENSG00000174021
Zfp831,Rbm22,ENSG00000086589
Psat1,Myl12b,ENSG00000118680
Gmpr,Actb,ENSG00000075624
Myct1,Gnai1,ENSG00000127955
Kmt2d,Phf5a,ENSG00000100410
Capn15,Nrarp,ENSG00000198435
Ankrd33b,Snrpf,ENSG00000139343
Sh3bp1,Smarcb1,ENSG00000099956
Pim1,Polr2l,ENSG00000177700
C1qtnf3,Rps8,ENSG00000142937
Flcn,Rpl24,ENSG00000114391
Ccdc68,Spop,ENSG00000121067
Reep4,Stmn2,ENSG00000104435
Spp1,Gpr85,ENSG00000164604
Xndc1,Rpl19,ENSG00000108298
Chst5,Stx1b,ENSG00000099365
Papln,Eif3e,ENSG00000104408
Gm9899,Rps13,ENSG00000110700
Osm,Rap2b,ENSG00000181467
Gpr132,Sec61a2,ENSG00000065665
Csrp2,Hist1h2ao,ENSG00000278463
Matn2,Polr2d,ENSG00000144231
Rusc1,Ppp2r2a,ENSG00000221914
Clmp,Bcas2,ENSG00000116752
Sod2,Napb,ENSG00000125814
Lyrm7,Rps7,ENSG00000171863
Galnt11,Bzw1,ENSG00000082153
Plek,Rps15,ENSG00000115268
Ehmt2,Gnb2l1,ENSG00000204628
Rasgrp4,Nutf2,ENSG00000102898
Arrdc3,Rbbp4,ENSG00000162521
Abca7,Rmnd5a,ENSG00000153561
Msrb3,Qk,ENSG00000112531
Sybu,Hnrnpk,ENSG00000165119
Ccl3,Ebf1,ENSG00000164330
Zfp575,Ywhag,ENSG00000170027
Grina,Ncald,ENSG00000104490
Malt1,Rraga,ENSG00000155876
Gabarapl2,Scoc,ENSG00000153130
AW554918,Rac1,ENSG00000136238
Angptl2,Dad1,ENSG00000129562
Abra,Rpl30,ENSG00000156482
Angptl7,Gabarap,ENSG00000170296
Tbc1d30,Eif1ax,ENSG00000173674
Synpo,Ppp2r2b,ENSG00000156475
Itgb3,Gng11,ENSG00000127920
Gm12505,Ube2r2,ENSG00000107341
Stxbp2,Rpl11,ENSG00000142676
Gm5643,Hpca,ENSG00000121905
Penk,Tubb4a,ENSG00000104833
Igsf23,Rab6b,ENSG00000154917
Tnfaip3,Hist3h2a,ENSG00000181218
Smim12,Psmc5,ENSG00000087191
Pet100,Ube2m,ENSG00000130725
Lst1,Ssbp3,ENSG00000157216
AU041133,Sec61g,ENSG00000132432
Il1r2,Gabarapl1,ENSG00000139112
Pkn3,Calm1,ENSG00000143933
Gclc,Rpl27,ENSG00000131469
Lilrb4,Ube2l3,ENSG00000185651
Sbf1,Arf3,ENSG00000134287
Trp53bp2,Lsm5,ENSG00000106355
Banp,Rpl15,ENSG00000174748
Fbln7,Cacng7,ENSG00000105605
Slc6a9,Bud31,ENSG00000106245
Pcdhgb4,Emc6,ENSG00000127774
Jam2,Hypk,ENSG00000242028
Acer2,Rps26,ENSG00000197728
3110007F17Rik,Tubb4b,ENSG00000188229
Lrpprc,Txnl4a,ENSG00000141759
Fbn2,Ube2b,ENSG00000119048
Csf2rb,Blcap,ENSG00000166619
Aqp3,Atad1,ENSG00000138138
Xrcc4,Ube2g1,ENSG00000132388
Tcf21,Tra2b,ENSG00000136527
Tob2,Serp1,ENSG00000120742
D330041H03Rik,Copz1,ENSG00000111481
Fntb,Ahcyl1,ENSG00000168710
2810047C21Rik1,Acta2,ENSG00000107796
Fbxl19,Rab11a,ENSG00000103769
Tnfsf9,Mob4,ENSG00000115540
Pvrl2,H3f3b,ENSG00000132475
D730005E14Rik,Rps28,ENSG00000233927
Slc7a11,Rab1,ENSG00000138069
Ifitm2,Arf1,ENSG00000143761
Ly6c1,Cyfip2,ENSG00000055163
Zfp598,Sf3b3,ENSG00000189091
Sspn,Smc3,ENSG00000108055
Ldb2,Polr2b,ENSG00000047315
Cacna2d3,Prpf8,ENSG00000174231
Crebbp,Polr2a,ENSG00000181222
Trpm5,Ap2b1,ENSG00000006125
F630028O10Rik,Ctnnb1,ENSG00000168036
Gstp2,Cul1,ENSG00000055130
Olr1,Stat3,ENSG00000168610
Arl15,Rps6ka3,ENSG00000177189
Ngb,Ubc,ENSG00000150991
Osbpl8,Hspa8,ENSG00000109971
Gm19557,Kat7,ENSG00000136504
Hcar2,Ppp2r1a,ENSG00000105568
Itga1,Cltc,ENSG00000141367
Kcnf1,Cnot2,ENSG00000111596
Avil,Rbm39,ENSG00000131051
Nfkbid,Srp54b,ENSG00000100883
Atad3a,Srp54a,ENSG00000100883
Ackr2,Hiat1,ENSG00000156875
Kcnd3,Camk2a,ENSG00000070808
BC003331,Smarcd3,ENSG00000082014
Col6a5,U2af2,ENSG00000063244
Vasn,Ppp2r5e,ENSG00000154001
Nmnat2,Eef1a2,ENSG00000101210
E030013I19Rik,Ruvbl1,ENSG00000175792
Hnrnpa1,Tubb3,ENSG00000258947
Mmp16,Tuba4a,ENSG00000127824
Frs3,Fbxl20,ENSG00000108306
Plac9b,Pbx3,ENSG00000167081
Prcc,Psmc2,ENSG00000161057
1110008L16Rik,Hdac3,ENSG00000171720
Scx,Rbbp7,ENSG00000102054
Irx1,Psmd11,ENSG00000108671
Rexo1,Peli1,ENSG00000197329
Vasp,Actr3,ENSG00000115091
Abcb9,Psmc4,ENSG00000013275
Nell1,Ldb1,ENSG00000198728
Csf2rb2,Smc1a,ENSG00000072501
Cited2,Pafah1b1,ENSG00000007168
Ciz1,Trpc1,ENSG00000144935
Homer3,Prmt1,ENSG00000126457
Csf2ra,Drg1,ENSG00000185721
Tubb2a,Elavl2,ENSG00000107105
Nos3,Atp6v0d1,ENSG00000159720
Pak3,Asna1,ENSG00000198356
Ccl9,Arsa,ENSG00000198356
Ccrn4l,Nfya,ENSG00000001167
LOC381967,Rnf2,ENSG00000121481
Tgm1,Ppp1ca,ENSG00000172531
2610305D13Rik,Msi2,ENSG00000153944
Fam180a,Creb1,ENSG00000118260
Csf3r,Fam49b,ENSG00000153310
Gtpbp4,Fam49a,ENSG00000197872
4930565N06Rik,Lrrc4c,ENSG00000148948
Nfkbia,Prps1l3,ENSG00000147224
Gramd1a,Pabpc1,ENSG00000070756
Fam172a,Rnf41,ENSG00000181852
Kcne2,Gtf2b,ENSG00000137947
Rpain,Parp6,ENSG00000137817
Phf21a,Syncrip,ENSG00000135316
Trim30b,Ppp2ca,ENSG00000113575
Trem3,Snrnp200,ENSG00000144028
Fam107a,Ppp6c,ENSG00000119414
Zfp711,Crk,ENSG00000167193
Tlr2,Tnpo1,ENSG00000083312
Hpse2,Rqcd1,ENSG00000144580
Mmp10,Tnpo2,ENSG00000105576
Egr3,Mpped2,ENSG00000066382
Tma7,Cdk5,ENSG00000164885
E2f2,Ythdf2,ENSG00000198492
Ces2b,Abhd17b,ENSG00000107362
Dedd,Cnot7,ENSG00000198791
Siglece,Ddb1,ENSG00000167986
Fzr1,Siah1a,ENSG00000196470
Csgalnact1,Cpsf6,ENSG00000111605
Thbs4,Capzb,ENSG00000077549
Kctd12,Phb,ENSG00000167085
Ndfip1,Otub1,ENSG00000167770
Pcnxl2,Ptbp2,ENSG00000117569
Zfp207,Dhx15,ENSG00000109606
Spin2c,Nlk,ENSG00000087095
Enpp1,Ogt,ENSG00000147162
Xlr,Emc3,ENSG00000125037
Ntf3,Ppp3ca,ENSG00000138814
Snx7,Kctd21,ENSG00000188997
Mthfr,Lrrc3b,ENSG00000179796
Prr13,Tle4,ENSG00000106829
Klf15,Acvr2a,ENSG00000121989
Fkbp5,Pgam1,ENSG00000171314
Pram1,Nova1,ENSG00000139910
Hic1,Kcnip4,ENSG00000185774
Cenpm,Psma6,ENSG00000100902
Vil1,Fgf13,ENSG00000129682
Trim27,Prrx1,ENSG00000116132
Fbrs,Ywhaz,ENSG00000164924
Actg2,Ywhaq,ENSG00000134308
Lbp,Satb2,ENSG00000119042
Pdlim5,Ctdnep1,ENSG00000175826
Rgcc,Rps3,ENSG00000149273
Zfp358,Elmo1,ENSG00000155849
Bcl3,Hsp90ab1,ENSG00000096384
Efcab7,U2af1,ENSG00000160201
Rad52,Akt3,ENSG00000117020
Trpm6,Meis2,ENSG00000134138
Rcan3,Smndc1,ENSG00000119953
Rnf149,Psma2,ENSG00000106588
Pla2g4c,Smad2,ENSG00000175387
Arrb2,Lin7a,ENSG00000111052
H2-Oa,Celf3,ENSG00000159409
Ggps1,Mapk10,ENSG00000109339
Zfp523,Ruvbl2,ENSG00000183207
Bcl2a1a,Snrpb,ENSG00000125835
Kdm6b,Ubb,ENSG00000170315
Mlxipl,Pafah1b2,ENSG00000168092
Gga3,Prkg1,ENSG00000185532
Palm3,Prpf3,ENSG00000117360
Vav1,Yeats4,ENSG00000127337
Rab44,Ilk,ENSG00000166333
Mapk8ip3,Chmp4b,ENSG00000101421
Eno1,Chmp2a,ENSG00000130724
Vps37b,Spryd3,ENSG00000167778
Il18r1,Mfap1b,ENSG00000140259
Il18rap,Mfap1a,ENSG00000140259
Notum,Grb2,ENSG00000177885
Eltd1,Mob1b,ENSG00000173542
Ccl12,Cstf1,ENSG00000101138
Srp54a,Rpl10,ENSG00000147403
Phlda1,Ddx39b,ENSG00000198563
Triap1,Rab4b,ENSG00000167578
Med25,Rab39b,ENSG00000155961
Tmem40,Chmp2b,ENSG00000083937
Hdac6,Pdcd10,ENSG00000114209
Pcdhga5,Sf3b4,ENSG00000143368
Pde7a,Kdelr1,ENSG00000105438
Gfpt2,Cops3,ENSG00000141030
Spata2l,Hnrnpr,ENSG00000125944
Rmdn1,Ap3m1,ENSG00000185009
Scrn3,Bcl11a,ENSG00000119866
Spon2,Fgf9,ENSG00000102678
Alox5ap,Dnaja2,ENSG00000069345
Kbtbd3,Rala,ENSG00000006451
Hdhd2,Fem1c,ENSG00000145780
Insig1,Rhoq,ENSG00000119729
Deptor,Asf1a,ENSG00000111875
B3gat3,Atp2b1,ENSG00000070961
Prkacb,Snx6,ENSG00000129515
Tatdn3,Cops4,ENSG00000138663
Ctla2a,Ube2e2,ENSG00000182247
Abca8b,Arl4a,ENSG00000122644
Zfp653,Nr4a2,ENSG00000153234
Eepd1,Dnaja1,ENSG00000086061
Snrpa,Sar1a,ENSG00000079332
Srrt,Ola1,ENSG00000138430
Pygb,Dnajc5,ENSG00000101152
Alyref2,Syp,ENSG00000179295
Ackr3,Ptpn11,ENSG00000179295
1810019D21Rik,Mat2a,ENSG00000168906
Gpr88,Ephb2,ENSG00000133216
2610307P16Rik,Aes,ENSG00000104964
Tsix,Luc7l2,ENSG00000146963
Ncf4,Tex261,ENSG00000144043
Rnf32,Sephs1,ENSG00000086475
Zeb2os,Selt,ENSG00000198843
Tmem150a,Gtl3,ENSG00000070761
Lgals2,Rhoa,ENSG00000067560
Ly6g6e,Csrp1,ENSG00000159176
Rps15a-ps4,Cul3,ENSG00000036257
Lrp4,Ebf2,ENSG00000221818
Postn,Hpcal4,ENSG00000116983
Dcp1b,Nras,ENSG00000213281
Ralgds,Oaz2,ENSG00000180304
Fxn,Eif3m,ENSG00000149100
Lancl3,Gpr173,ENSG00000184194
Arid1a,Arl8a,ENSG00000143862
Zc3h12a,Galnt13,ENSG00000144278
Gm13051,Anapc10,ENSG00000164162
A430105I19Rik,Rpl17,ENSG00000265681
Pglyrp1,Det1,ENSG00000140543
Brsk1,Rap2a,ENSG00000125249
Map2k7,Dcx,ENSG00000077279
Plaur,Emc4,ENSG00000128463
Cd300ld,Dctn5,ENSG00000166847
Ube2t,Ctnna1,ENSG00000044115
Zfp384,Mcts1,ENSG00000232119
Brf2,Msi1,ENSG00000135097
Leng8,Fut9,ENSG00000172461
AI462493,Fyn,ENSG00000010810
Galnt16,Foxp2,ENSG00000128573
Dfna5,Ehd1,ENSG00000110047
Rag1,Naa20,ENSG00000173418
Bfsp1,Ube2z,ENSG00000159202
Pno1,Zbtb18,ENSG00000179456
Chgb,Stt3a,ENSG00000134910
Tek,Dr1,ENSG00000117505
Ranbp3l,Cand1,ENSG00000111530
Apobr,Rps6kb1,ENSG00000108443
Mtrf1l,Wnt7a,ENSG00000154764
Xdh,Vangl2,ENSG00000162738
Mthfd1l,Atxn7l3,ENSG00000087152
Taok3,Hnrnph3,ENSG00000096746
Mrpl38,Myl9,ENSG00000101335
2700081O15Rik,Lgalsl,ENSG00000119862
Pcx,Smarcd1,ENSG00000066117
Sema3g,Celf1,ENSG00000149187
S100a14,Acvr2b,ENSG00000114739
Preb,Pdik1l,ENSG00000175087
Serpinb10,Cnot1,ENSG00000125107
Irx2,Rtcb,ENSG00000100220
Tle3,Dazap2,ENSG00000183283
R3hdm4,Prkca,ENSG00000154229
Dpf1,Prpf19,ENSG00000110107
Cyp2e1,Nfyc,ENSG00000066136
Zfp955a,Taok1,ENSG00000160551
Tagln,Kcna2,ENSG00000177301
Lgr5,Cfl2,ENSG00000165410
Ddhd1,Chic2,ENSG00000109220
Spi1,Phyhip,ENSG00000168490
Sfrp2,Rpl12,ENSG00000197958
Eid1,Kcnd3,ENSG00000171385
Sh3tc2,Rprd1b,ENSG00000101413
Bcdin3d,Skp1a,ENSG00000113558
Samd4b,Hdac2,ENSG00000196591
Rnf123,Eif3i,ENSG00000084623
Acin1,Eftud2,ENSG00000108883
Adcyap1r1,Polr3b,ENSG00000013503
Pde4b,Brms1l,ENSG00000100916
Arhgap28,Brms1,ENSG00000100916
Agpat1,Nckap1,ENSG00000061676
Erbb2,Tnnc1,ENSG00000114854
1810011O10Rik,Lamtor1,ENSG00000149357
Hk2,Pura,ENSG00000185129
Rpl31-ps12,Tnc,ENSG00000114854
Vtn,Hdac1,ENSG00000116478
Gm14434,Rpl21,ENSG00000122026
Tmem200a,Max,ENSG00000125952
Tuba8,Vps35,ENSG00000069329
Fos,Asb7,ENSG00000183475
Epc1,Stag1,ENSG00000118007
Ripply3,Nudcd2,ENSG00000170584
Apol6,Rps27a,ENSG00000143947
Itih5,Qrich1,ENSG00000198218
Sema3d,Pfdn5,ENSG00000123349
Kcna2,Rnf11,ENSG00000123091
Chadl,Tnpo3,ENSG00000064419
Bud13,Map3k7,ENSG00000135341
Dpcr1,Arpc5,ENSG00000162704
Fosb,Klhl15,ENSG00000174010
Unc5d,Arpc2,ENSG00000163466
Taf4a,Tlk2,ENSG00000146872
Zfp943,Klhl24,ENSG00000114796
Rarres1,Zbtb14,ENSG00000198081
Pdpn,Tuba1c,ENSG00000167553
Zfp710,Tuba8,ENSG00000183785
Rab3ip,Ext1,ENSG00000182197
0610010B08Rik,Ostc,ENSG00000198856
Cdc34,Ipo7,ENSG00000205339
Arid3b,Rpsa,ENSG00000168028
Nlgn2,Enc1,ENSG00000171617
6330403A02Rik,Cnot8,ENSG00000155508
Fam214b,Tomm20,ENSG00000173726
Phf11b,Zbp1,ENSG00000159217
Nat8l,Igf2bp1,ENSG00000159217
Vamp8,St7,ENSG00000004866
Plscr2,Tada3,ENSG00000171148
Smoc1,Mib1,ENSG00000101752
Phka2,Cstf3,ENSG00000176102
Naf1,Flot2,ENSG00000132589
Grip2,Klhl12,ENSG00000117153
Ctu1,Six1,ENSG00000126778
Zfp57,Zranb1,ENSG00000019995
Adm,Fzd2,ENSG00000180340
4930486L24Rik,Ap1m1,ENSG00000072958
Chst2,Fbxw11,ENSG00000072803
Efnb3,Ube2q1,ENSG00000160714
Edn1,Mapre3,ENSG00000084764
Fam105a,Rab40c,ENSG00000197562
Zbtb7b,Nt5c2,ENSG00000076685
Ms4a1,Tada2b,ENSG00000173011
Slfn1,Pfn2,ENSG00000070087
Zfp119a,Uhmk1,ENSG00000152332
Nnt,Smek1,ENSG00000100796
Tenc1,Eif4a3,ENSG00000141543
Rtn4ip1,Nrxn1,ENSG00000179915
Lhx6,Golga7,ENSG00000147533
Cgn,Crabp1,ENSG00000166426
Ehmt1,Ap1g1,ENSG00000166747
Pde4d,Dlg3,ENSG00000082458
4930429F24Rik,Copb1,ENSG00000129083
Pstpip2,Xpo7,ENSG00000130227
B430306N03Rik,Rps17,ENSG00000182774
Pqlc2,Cpsf4,ENSG00000160917
Prmt3,Surf4,ENSG00000148248
Pygo2,Kpna6,ENSG00000025800
Slc38a2,Snw1,ENSG00000100603
Rasgrp3,Rbm17,ENSG00000134453
Ifitm1,Fam19a1,ENSG00000183662
Ggh,Tmem60,ENSG00000135211
Fmnl1,Tmem57,ENSG00000204178
Spata5,Aph1a,ENSG00000117362
Rab20,Rps3a1,ENSG00000145425
Des,Fam19a5,ENSG00000219438
Ccm2l,Gnb5,ENSG00000069966
Ccdc90b,Spin1,ENSG00000106723
Irx3,Ppp3cb,ENSG00000107758
H2-Eb2,Pax5,ENSG00000196092
Fam117a,Kpna3,ENSG00000102753
Birc3,Pea15a,ENSG00000162734
Klf5,Dcun1d1,ENSG00000043093
Bambi-ps1,U2surp,ENSG00000163714
Dhh,Rpl22,ENSG00000116251
Elovl6,Sf1,ENSG00000168066
Mta1,Actn2,ENSG00000077522
Gmppb,Nfia,ENSG00000162599
Kcnb1,Polr2f,ENSG00000100142
Zfp574,Dnajc8,ENSG00000126698
Fcer1g,Kcnj10,ENSG00000177807
Gm10845,Sf3a3,ENSG00000183431
Bpgm,Kpnb1,ENSG00000108424
Hbb-bt,Tial1,ENSG00000151923
E130008D07Rik,Lamtor2,ENSG00000116586
4833424O15Rik,Rab25,ENSG00000116586
Ppp1r1a,Smurf2,ENSG00000108854
Tmem26,Chtop,ENSG00000160679
Gcat,Lingo1,ENSG00000169783
Ubr7,Srsf1,ENSG00000136450
Apoe,Pank3,ENSG00000120137
Senp3,Ywhah,ENSG00000128245
Pira1,Ddx5,ENSG00000108654
Spsb1,Mkln1,ENSG00000128585
Sharpin,Ahcyl2,ENSG00000158467
Rufy4,Hsp90aa1,ENSG00000080824
Slc17a2,Klhl20,ENSG00000076321
Ildr2,Jazf1,ENSG00000153814
Ppp2r5b,Celf4,ENSG00000101489
Tsc22d4,Wdr13,ENSG00000101940
H2afj,Ctcf,ENSG00000102974
Arhgap39,Cacnb3,ENSG00000167535
Emp1,Ntn1,ENSG00000065320
Syvn1,Rbm25,ENSG00000119707
Ampd2,Ipo13,ENSG00000117408
Cd163l1,Ppm1l,ENSG00000163590
Tmem38b,Mmd,ENSG00000108960
Enpp3,Kctd6,ENSG00000168301
Ly6d,Cdc34,ENSG00000099804
Cyp2j6,Mtpn,ENSG00000105887
Gap43,Rhov,ENSG00000104140
2410017I17Rik,Rpl34,ENSG00000109475
Rhbdf2,Appbp2,ENSG00000062725
Rnf19b,Ubl3,ENSG00000122042
Nudt18,Smad1,ENSG00000170365
Zfc3h1,Nog,ENSG00000183691
Rtn4rl2,Cask,ENSG00000147044
Akap6,Uba3,ENSG00000144744
Prmt6,Lypla2,ENSG00000011009
Safb,Stag2,ENSG00000101972
Rbm5,Rnf141,ENSG00000110315
Npl,Zfp36,ENSG00000110315
Ncf1,Rplp2,ENSG00000177600
Polm,Cwc15,ENSG00000150316
Upk3b,Efna5,ENSG00000184349
Sema3c,Prpf18,ENSG00000165630
Npr3,Gid8,ENSG00000101193
Pld2,Cab39,ENSG00000135932
Ephx2,Hnrnpa2b1,ENSG00000122566
Trim7,Arfip2,ENSG00000132254
Ltb4r1,Dync1h1,ENSG00000197102
Kif5c,Eif1,ENSG00000173812
Ccnl2,Eif3l,ENSG00000100129
Ccr1,Csk,ENSG00000103653
Apoc1,Hnrnph2,ENSG00000126945
Pfdn2,Vps26b,ENSG00000151502
Serpina3n,Tmem147,ENSG00000105677
Exoc6,Arih1,ENSG00000166233
E2f4,Cops5,ENSG00000121022
Usf2,Brsk1,ENSG00000160469
Pmepa1,Rab3a,ENSG00000105649
6330418K02Rik,Bub3,ENSG00000154473
Slc16a1,Vps4a,ENSG00000132612
Decr1,Gtf2a2,ENSG00000140307
Clhc1,Clta,ENSG00000122705
