Mouse Genes,Human Ortholog Symbol,Identity
Inmt,ENSG00000241644,58.1749
Prg4,ENSG00000116690,62.6781
Depdc1b,ENSG00000035499,93.9509
Wdr86,ENSG00000187260,87.766
Itgam,ENSG00000169896,73.4375
Thg1l,ENSG00000113272,82.2148
Wscd1,ENSG00000179314,85.5652
Eno1b,ENSG00000074800,94.7005
Nfil3,ENSG00000165030,84.4156
Atn1,ENSG00000111676,92.6891
Pnmal2,ENSG00000204851,62.6772
Tcf23,ENSG00000163792,75.2336
Nfkbiz,ENSG00000144802,81.4763
C1qtnf2,ENSG00000145861,94.386
Akap8l,ENSG00000011243,91.9505
LOC100503496,error - retries exceeded,
Fcer2a,ENSG00000104921,54.8287
Baz1a,ENSG00000198604,87.1465
Il6ra,ENSG00000160712,53.4188
Fosl2,ENSG00000075426,95.092
Junb,ENSG00000171223,93.0836
Chrm3,ENSG00000133019,91.5254
Nol3,ENSG00000140939,84.1346
Olfm4,ENSG00000102837,70.1961
Mbd6,ENSG00000166987,93.4197
Mmp9,ENSG00000100985,74.116
Xlr3a,not found,
Tle1,ENSG00000196781,97.6623
Slc30a1,ENSG00000170385,85.4043
Gm12657,not found,
Cd300lf,ENSG00000186074,49.3103
Gm12216,not found,
Plxna4os1,not found,
Tnf,ENSG00000232810,79.3991
Kmt2b,ENSG00000272333,90.3499
Obsl1,ENSG00000124006,83.9135
Wfdc17,not found,
Il4i1,ENSG00000104951,72.3104
Padi4,ENSG00000159339,73.3032
Safb2,ENSG00000130254,73.1375
Cdk2ap2,ENSG00000167797,97.619
Cxcl14,ENSG00000145824,94.9495
Rad51c,ENSG00000108384,76.8617
Emcn,ENSG00000164035,50.9579
Adamts13,ENSG00000160323,70.1678
Fgfr4,ENSG00000160867,90.1496
Camk4,ENSG00000152495,80.1268
Ikbke,ENSG00000263528,83.3799
Rnf40,ENSG00000103549,92.5075
Fgr,ENSG00000000938,83.5539
Nxpe2,ENSG00000204361,68.3363
Clec4d,ENSG00000166527,62.3256
Nab2,ENSG00000166886,95.619
Nlrp3,ENSG00000162711,82.4952
A230057D06Rik,not found,
Hif3a,ENSG00000124440,82.3617
Serpina3h,not found,
Pdlim1,ENSG00000107438,88.7538
Gm12942,error - retries exceeded,
Cd33,ENSG00000105383,43.6813
Cd33,ENSG00000105492,32.4503
Srp54b,ENSG00000100883,99.8016
Emilin2,ENSG00000132205,74.0741
Dusp19,ENSG00000162999,82.4885
Rnd1,ENSG00000172602,96.5517
Clec5a,ENSG00000258227,71.2766
1700052K11Rik,not found,
4933409K07Rik,not found,
Glt28d2,not found,
Mrpl36,ENSG00000171421,56.3107
Map3k10,ENSG00000130758,92.1384
Bbc3,ENSG00000105327,90.6736
Ybx2,ENSG00000006047,90.1099
Nyap1,ENSG00000166924,91.4388
Lilra6,ENSG00000186818,28.7946
Lilra6,ENSG00000204577,39.4612
Lilra6,ENSG00000244482,51.7672
Lilra6,ENSG00000187116,43.8127
Lilra6,ENSG00000105609,39.7631
Lilra6,ENSG00000239961,47.6954
Map3k8,ENSG00000107968,93.3619
Timp1,ENSG00000102265,71.9807
Serpina3g,ENSG00000196136,32.1513
Grem1,ENSG00000166923,97.8261
Zfp239,ENSG00000196793,40.8297
Per1,ENSG00000179094,91.938
1600029O15Rik,not found,
Gm5424,not found,
Tmem243,ENSG00000135185,96.6102
Slc4a11,ENSG00000088836,84
Dlg2,ENSG00000150672,93.5385
Cxcl13,ENSG00000156234,44.9541
Nox4,ENSG00000086991,85.8131
Trim39,ENSG00000204599,97.541
A230050P20Rik,ENSG00000130813,94.5017
Socs1,ENSG00000185338,94.7867
Lgr6,ENSG00000133067,88.8314
Qsox1,ENSG00000116260,72.0214
Zbtb16,ENSG00000109906,96.7311
Gm14308,not found,
Gp49a,ENSG00000186818,25.2232
Gp49a,ENSG00000204577,22.504
Gp49a,ENSG00000244482,25.3638
Gp49a,ENSG00000187116,40.1338
Gp49a,ENSG00000105609,20.3046
Gp49a,ENSG00000239961,24.4489
Aplf,ENSG00000169621,59.4912
Kcnh1,ENSG00000143473,97.0677
Fyn,ENSG00000010810,99.4413
Psat1,ENSG00000135069,92.4324
Zfp831,ENSG00000124203,54.8002
Gmpr,ENSG00000137198,95.3623
Myct1,ENSG00000120279,68.0851
Pim1,ENSG00000137193,94.2492
Dgke,ENSG00000153933,90.1235
Capn15,ENSG00000103326,87.2007
Sh3bp1,ENSG00000100092,82.7389
Ankrd33b,ENSG00000164236,75.3036
Wscd2,ENSG00000075035,92.2124
Chm,ENSG00000188419,83.461
Reep4,ENSG00000168476,87.1595
Flcn,ENSG00000154803,92.5734
Kmt2d,ENSG00000167548,89.0013
C1qtnf3,ENSG00000082196,93.1034
Chst5,not found,
AB124611,error - retries exceeded,
Osm,ENSG00000099985,45.6349
Gpr132,not found,
Papln,ENSG00000100767,74.3349
Gm9899,not found,
Spp1,ENSG00000126821,79.8186
Csrp2,ENSG00000175183,89.1192
Ccdc68,ENSG00000166510,72.2388
Matn2,ENSG00000132561,87.2385
Lyrm7,ENSG00000186687,83.6538
Galnt11,ENSG00000178234,87.8289
Plek,ENSG00000115956,91.7143
Ehmt2,ENSG00000204371,93.6364
Rasgrp4,ENSG00000171777,85.7355
Arrdc3,ENSG00000113369,98.0676
Ccl3,ENSG00000275385,57.3034
Ccl3,ENSG00000277632,76.087
Ccl3,ENSG00000276085,75.2688
Abca7,ENSG00000064687,76.8406
Zfp575,ENSG00000176472,82.0408
Sod2,ENSG00000291237,90.0901
AW554918,ENSG00000150477,72.4437
Sybu,ENSG00000147642,85.3695
Angptl2,ENSG00000136859,95.3347
Clmp,ENSG00000166250,92.2252
Grina,ENSG00000178719,87.3315
Malt1,ENSG00000172175,88.1068
Rusc1,ENSG00000160753,83.9246
Gm12505,not found,
Gm5643,not found,
Abra,ENSG00000174429,78.7402
Synpo,ENSG00000171992,79.0698
Stxbp2,ENSG00000076944,93.9292
Tbc1d30,ENSG00000111490,91.7214
Igsf23,ENSG00000216588,47.3958
Msrb3,ENSG00000174099,92.4324
Itgb3,ENSG00000259207,90.6091
Lst1,ENSG00000204482,50.5155
Gabarapl2,ENSG00000034713,100
Smim12,ENSG00000163866,95.6522
Pet100,ENSG00000229833,64.3836
Lilrb4,ENSG00000186818,29.6875
Lilrb4,ENSG00000204577,26.149
Lilrb4,ENSG00000244482,26.8191
Lilrb4,ENSG00000187116,42.4749
Lilrb4,ENSG00000105609,23.8579
Lilrb4,ENSG00000239961,25.4509
Tnfaip3,ENSG00000118503,87.9747
AU041133,not found,
Il1r2,ENSG00000115590,61.0553
Gclc,ENSG00000001084,94.1915
Sbf1,ENSG00000100241,94.7174
Pkn3,ENSG00000160447,83.0146
Banp,ENSG00000172530,91.5094
Angptl7,ENSG00000171819,85.5491
Fbln7,ENSG00000144152,84.9658
Trp53bp2,ENSG00000143514,91.0053
Pcdhgb4,ENSG00000253953,83.857
Slc6a9,ENSG00000196517,93.049
Penk,ENSG00000181195,82.7715
Csf2rb,ENSG00000100368,55.6299
Xrcc4,ENSG00000152422,73.6527
Fbn2,ENSG00000138829,96.3255
D330041H03Rik,not found,
2810047C21Rik1,not found,
3110007F17Rik,ENSG00000234469,30.8411
Jam2,ENSG00000154721,75.5034
Acer2,ENSG00000177076,93.0909
D730005E14Rik,not found,
Aqp3,ENSG00000165272,95.5479
Tcf21,ENSG00000118526,96.0894
Tnfsf9,ENSG00000125657,32.2835
Tob2,ENSG00000183864,89.8256
Ly6c1,ENSG00000291309,30.597
Ifitm2,ENSG00000185201,62.8788
Ifitm2,ENSG00000185885,58.4
Ifitm2,ENSG00000142089,63.9098
Fntb,ENSG00000257365,88.1007
Ldb2,ENSG00000169744,97.5871
Lrpprc,ENSG00000138095,75.2511
F630028O10Rik,not found,
Sspn,ENSG00000123096,75.3086
Gstp2,ENSG00000084207,83.8095
Slc7a11,ENSG00000151012,89.2216
Arl15,ENSG00000185305,97.0588
Olr1,ENSG00000173391,60.4396
Crebbp,ENSG00000005339,95.3726
Ngb,ENSG00000165553,94.0397
Pvrl2,ENSG00000130202,73.7918
Gm19557,not found,
Cacna2d3,ENSG00000157445,98.0752
Osbpl8,ENSG00000091039,96.063
Hcar2,ENSG00000255398,73.385
Hcar2,ENSG00000182782,81.2672
Zfp598,ENSG00000167962,81.7478
Ackr2,ENSG00000144648,71.6146
Nfkbid,ENSG00000167604,82.6374
Trpm5,ENSG00000070985,84.0343
Avil,ENSG00000135407,89.3773
Fbxl19,ENSG00000099364,97.3294
Atad3a,ENSG00000197785,92.1502
E030013I19Rik,not found,
Kcnd3,ENSG00000171385,99.3893
Col6a5,ENSG00000172752,73.3359
Plac9b,ENSG00000189129,71.134
Vasn,ENSG00000168140,83.3581
Itga1,ENSG00000213949,87.9559
Frs3,ENSG00000137218,85.9756
Mmp16,ENSG00000156103,98.0231
Nmnat2,ENSG00000157064,98.6971
Scx,ENSG00000260428,95.5224
1110008L16Rik,ENSG00000100890,77.187
Hnrnpa1,ENSG00000224578,99.0625
Hnrnpa1,ENSG00000139675,96.875
Csf2rb2,ENSG00000100368,55.0725
Vasp,ENSG00000125753,87.3684
Irx1,ENSG00000170549,91.4583
BC003331,error - retries exceeded,
Cited2,ENSG00000164442,95.1852
Kcnf1,ENSG00000123700,98.5948
Abcb9,ENSG00000150967,93.7337
Nell1,ENSG00000165973,93.3333
Csf2ra,ENSG00000198223,30.25
Ccl9,ENSG00000274736,36.4963
Ccl9,ENSG00000275718,41.5929
Prcc,ENSG00000143294,93.0754
Ciz1,ENSG00000148337,64.0312
Rexo1,ENSG00000079313,77.7232
Homer3,ENSG00000051128,89.1967
Pak3,ENSG00000077264,98.5294
2610305D13Rik,ENSG00000196378,23.5622
Ccrn4l,ENSG00000151014,90.2552
4930565N06Rik,not found,
Fam180a,ENSG00000189320,78.6127
Tubb2a,ENSG00000137267,100
Nos3,ENSG00000164867,94.015
Nfkbia,ENSG00000100906,90.8517
Tgm1,ENSG00000092295,90.6977
Gtpbp4,ENSG00000107937,94.795
Trem3,not found,
Gramd1a,ENSG00000089351,93.5083
Fam172a,ENSG00000113391,93.2692
Trim30b,ENSG00000132256,21.0953
Rpain,ENSG00000129197,71.6895
Csf3r,ENSG00000119535,62.5598
Tma7,ENSG00000232112,100
Fam107a,ENSG00000168309,90.9722
Zfp711,ENSG00000147180,94.052
Phf21a,ENSG00000135365,95.5947
Mmp10,not found,
Kcne2,ENSG00000159197,84.5528
Tlr2,ENSG00000137462,70.9184
Hpse2,ENSG00000172987,97.4662
Siglece,ENSG00000129450,49.892
Siglece,ENSG00000168995,50.3212
Siglece,ENSG00000254521,37.9832
Siglece,ENSG00000105366,48.8978
LOC381967,error - retries exceeded,
E2f2,ENSG00000007968,82.8375
Csgalnact1,ENSG00000147408,91.1654
Fzr1,ENSG00000105325,98.3773
Ndfip1,ENSG00000131507,97.2851
Egr3,ENSG00000179388,98.9664
Kctd12,ENSG00000178695,99.0769
Thbs4,ENSG00000113296,92.5078
Enpp1,ENSG00000197594,78.4865
Zfp207,ENSG00000010244,98.9879
Prr13,not found,
Pcnxl2,ENSG00000135749,80.2995
Xlr,ENSG00000139351,30.5085
Dedd,ENSG00000158796,98.7421
Ntf3,ENSG00000185652,95.9259
Spin2c,not found,
Ces2b,ENSG00000172831,70.3041
Snx7,ENSG00000162627,87.8049
Mthfr,ENSG00000177000,90.0915
Fkbp5,ENSG00000096060,86.8709
Klf15,ENSG00000163884,85.0962
Cenpm,ENSG00000100162,79.4444
Actg2,ENSG00000163017,100
Hic1,ENSG00000177374,95.3782
Vil1,ENSG00000127831,89.9637
Zfp358,ENSG00000198816,82.9225
Fbrs,ENSG00000156860,94.898
Rgcc,ENSG00000102760,86.8613
Bcl3,ENSG00000069399,80.6167
Pram1,ENSG00000133246,56.8657
Efcab7,ENSG00000203965,82.6709
Trim27,ENSG00000204713,98.8304
Rad52,ENSG00000002016,69.1388
Pdlim5,ENSG00000163110,72.4832
Lbp,ENSG00000129988,67.5676
Rnf149,ENSG00000163162,75.75
Rcan3,ENSG00000117602,89.6266
H2-Oa,ENSG00000204252,72.8
Bcl2a1a,ENSG00000140379,70.8571
Zfp523,ENSG00000065029,92.1053
Ggps1,ENSG00000152904,93.6667
Arrb2,ENSG00000141480,96.8215
Palm3,ENSG00000187867,54.7965
Mlxipl,ENSG00000009950,82.0423
Rab44,ENSG00000255587,60.2351
Eno1,ENSG00000074800,94.7005
Kdm6b,ENSG00000132510,92.2702
Vps37b,ENSG00000139722,83.8596
Gga3,ENSG00000125447,85.8921
Pla2g4c,ENSG00000105499,57.671
Mapk8ip3,ENSG00000138834,93.7173
Trpm6,ENSG00000119121,78.091
Ccl12,ENSG00000108700,60.6061
Srp54a,ENSG00000100883,99.8016
Triap1,ENSG00000170855,98.6842
Il18rap,ENSG00000115607,65.1085
Il18r1,ENSG00000115604,63.2163
Phlda1,ENSG00000139289,86.0349
Tmem40,ENSG00000088726,75.5365
Pcdhga5,ENSG00000253485,85.0698
Vav1,ENSG00000141968,92.8994
Eltd1,ENSG00000162618,78.9855
Spon2,ENSG00000159674,85.1964
Notum,ENSG00000185269,90.7258
Hdac6,ENSG00000094631,73.8272
Pde7a,ENSG00000205268,93.9834
Spata2l,ENSG00000158792,85.6132
Rmdn1,ENSG00000176623,81.2102
Scrn3,ENSG00000144306,80.8962
Med25,ENSG00000104973,89.0228
Hdhd2,ENSG00000167220,88.417
Deptor,ENSG00000155792,96.088
Kbtbd3,ENSG00000182359,90.3595
Alox5ap,ENSG00000132965,91.9255
B3gat3,ENSG00000149541,95.8209
Gfpt2,ENSG00000131459,97.8006
Insig1,ENSG00000186480,78.7004
Tatdn3,ENSG00000203705,84.6715
Ctla2a,not found,
1810019D21Rik,not found,
Zfp653,ENSG00000161914,92.1951
2610307P16Rik,not found,
Eepd1,ENSG00000122547,90.6854
Pygb,ENSG00000100994,95.6109
Abca8b,ENSG00000141338,75.5089
Srrt,ENSG00000087087,96.9178
Gpr88,ENSG00000181656,95.5729
Snrpa,ENSG00000077312,96.0993
Alyref2,ENSG00000183684,74.6212
Ackr3,ENSG00000144476,92.8177
Rps15a-ps4,not found,
Zeb2os,not found,
Ly6g6e,not found,
Ncf4,ENSG00000100365,86.4307
Prkacb,ENSG00000142875,91.206
Tmem150a,ENSG00000168890,91.5129
Rnf32,ENSG00000105982,77.3481
Tsix,not found,
Fxn,ENSG00000165060,72.8571
Dcp1b,ENSG00000151065,63.047
Postn,ENSG00000133110,89.9522
Lgals2,ENSG00000100079,64.3939
Gm13051,ENSG00000196378,43.9703
Brsk1,ENSG00000160469,99.1003
Lancl3,ENSG00000147036,95.7143
A430105I19Rik,ENSG00000188549,65.7143
Pglyrp1,ENSG00000008438,64.7959
Ralgds,ENSG00000160271,86.6521
Arid1a,ENSG00000117713,96.3676
Lrp4,ENSG00000145244,82.2457
Map2k7,ENSG00000076984,97.852
Cd300ld,ENSG00000186074,28.9655
Zc3h12a,ENSG00000163874,82.3038
AI462493,ENSG00000204922,54.8387
Plaur,ENSG00000011422,61.194
Ube2t,ENSG00000077152,83.7563
Leng8,ENSG00000167615,93
Zfp384,ENSG00000126746,91.9408
Tek,ENSG00000120156,92.7936
Chgb,ENSG00000089199,63.8109
Rag1,ENSG00000166349,89.7411
Bfsp1,ENSG00000125864,66.9173
Dfna5,ENSG00000105928,71.5726
Apobr,ENSG00000184730,40.8386
Brf2,ENSG00000104221,82.8162
Mtrf1l,ENSG00000112031,80
Ranbp3l,ENSG00000164188,70.3226
2700081O15Rik,ENSG00000188070,88.3481
Xdh,ENSG00000158125,89.2723
Mrpl38,ENSG00000204316,85.7895
Pno1,ENSG00000115946,91.2698
Galnt16,ENSG00000100626,96.0574
Taok3,ENSG00000135090,95.5457
Serpinb10,ENSG00000242550,74.8111
Preb,ENSG00000138073,88.729
Cyp2e1,ENSG00000130649,78.0933
Sema3g,ENSG00000010319,86.8286
Mthfd1l,ENSG00000120254,88.1391
Zfp955a,not found,
R3hdm4,ENSG00000198858,82.4627
S100a14,ENSG00000163191,80.9524
Dpf1,ENSG00000011332,97.9328
Eid1,ENSG00000255302,59.3583
Tle3,ENSG00000140332,98.9597
Irx2,ENSG00000170561,86.8365
Pcx,ENSG00000173599,96.7742
Sfrp2,ENSG00000145423,97.9661
Tagln,ENSG00000149591,97.0149
Lgr5,ENSG00000139292,85.7773
Spi1,ENSG00000066336,84.8148
Samd4b,ENSG00000179134,96.83
Ddhd1,ENSG00000100523,88.6667
Sh3tc2,ENSG00000169247,81.5994
Agpat1,ENSG00000204310,91.1661
Rpl31-ps12,not found,
Rnf123,ENSG00000164068,93.6834
Pde4b,ENSG00000184588,97.1467
Adcyap1r1,ENSG00000078549,92.735
Gm14434,not found,
1810011O10Rik,ENSG00000176907,91.5094
Vtn,ENSG00000109072,74.0586
Hk2,ENSG00000159399,94.2203
Tuba8,ENSG00000183785,99.3318
Bcdin3d,ENSG00000186666,77.3973
Fos,ENSG00000170345,93.6842
Tmem200a,ENSG00000164484,90.6314
Ripply3,ENSG00000183145,53.6842
Epc1,ENSG00000120616,92.8659
Apol6,ENSG00000221963,40.2332
Acin1,ENSG00000100813,86.2042
Arhgap28,ENSG00000088756,84.6365
Dpcr1,ENSG00000168631,15.3625
Chadl,ENSG00000100399,80.8399
Sema3d,ENSG00000153993,92.9215
Zfp943,ENSG00000196378,38.7755
Itih5,ENSG00000123243,78.3439
Kcna2,ENSG00000177301,99.3988
Erbb2,ENSG00000141736,87.5697
Fosb,ENSG00000125740,95.858
Zfp710,not found,
Rarres1,ENSG00000118849,68.3673
Cdc34,ENSG00000099804,99.1525
Pdpn,ENSG00000162493,48.1481
Rab3ip,ENSG00000127328,90.6522
6330403A02Rik,ENSG00000203685,96.4539
Nlgn2,ENSG00000169992,98.2036
Fam214b,ENSG00000005238,91.0781
Phf11b,ENSG00000136147,45.9215
Arid3b,ENSG00000179361,86.6071
Vamp8,ENSG00000118640,87
Nat8l,ENSG00000185818,93.7086
Bud13,ENSG00000137656,78.0291
Smoc1,ENSG00000198732,96.092
Plscr2,ENSG00000188313,65.4088
Taf4a,ENSG00000130699,82.5806
Phka2,ENSG00000044446,90.8502
4930486L24Rik,not found,
Naf1,ENSG00000145414,70.0405
Zfp57,ENSG00000204644,31.7164
Unc5d,ENSG00000156687,96.4323
Fam105a,ENSG00000145569,83.7079
Edn1,ENSG00000078401,69.3396
Grip2,ENSG00000144596,87.7277
Ms4a1,ENSG00000156738,73.064
Ctu1,ENSG00000142544,86.2069
Efnb3,ENSG00000108947,95.2941
Adm,ENSG00000148926,65.9459
0610010B08Rik,error - retries exceeded,
Chst2,ENSG00000175040,94.9057
Slfn1,ENSG00000172123,29.5848
Slfn1,ENSG00000205045,26.634
Tenc1,ENSG00000111077,89.78
Zbtb7b,ENSG00000160685,91.6512
B430306N03Rik,not found,
4930429F24Rik,not found,
Lhx6,ENSG00000106852,97.9592
Rtn4ip1,ENSG00000130347,90.1515
Pstpip2,ENSG00000152229,87.1257
Pqlc2,ENSG00000040487,82.4742
Pygo2,ENSG00000163348,96.5517
Zfp119a,not found,
Prmt3,ENSG00000185238,88.8889
Ehmt1,ENSG00000181090,88.3667
Cgn,ENSG00000143375,86.2012
Nnt,ENSG00000112992,72.3757
Slc38a2,ENSG00000134294,88.1423
Pde4d,ENSG00000113448,97.2806
Ifitm1,ENSG00000185201,50.7576
Ifitm1,ENSG00000185885,52.8
Ifitm1,ENSG00000142089,52.6316
Rasgrp3,ENSG00000152689,94.058
Ggh,ENSG00000137563,69.8113
Des,ENSG00000175084,97.4468
H2-Eb2,ENSG00000198502,62.0301
H2-Eb2,ENSG00000196126,63.1579
Bambi-ps1,not found,
Spata5,ENSG00000145375,84.9944
Irx3,ENSG00000177508,85.2295
Ccm2l,ENSG00000101331,89.317
Fmnl1,ENSG00000184922,88.0909
Fam117a,ENSG00000121104,87.8587
Gmppb,ENSG00000173540,98.0556
Elovl6,ENSG00000170522,96.9811
Mta1,ENSG00000182979,97.0629
Gm10845,not found,
Fcer1g,ENSG00000158869,65.1163
Dhh,ENSG00000139549,96.4646
Zfp574,ENSG00000105732,93.9732
Ccdc90b,ENSG00000137500,86.2205
E130008D07Rik,not found,
Rab20,ENSG00000139832,82.4786
Kcnb1,ENSG00000158445,93.7063
Bpgm,ENSG00000172331,92.278
Birc3,ENSG00000023445,74.0066
Pira1,ENSG00000186818,29.0179
Pira1,ENSG00000204577,39.6197
Pira1,ENSG00000244482,51.7672
Pira1,ENSG00000187116,45.485
Pira1,ENSG00000105609,39.7631
Pira1,ENSG00000239961,48.8978
4833424O15Rik,ENSG00000117598,92.8349
Klf5,ENSG00000102554,89.2779
Hbb-bt,not found,
Gcat,ENSG00000100116,90.2148
Tmem26,ENSG00000196932,69.2935
Apoe,ENSG00000130203,70.6625
Ubr7,ENSG00000012963,86.8235
Rufy4,ENSG00000188282,61.8214
Senp3,ENSG00000161956,94.2509
Spsb1,ENSG00000171621,98.5348
Ppp1r1a,ENSG00000135447,78.9474
Tsc22d4,ENSG00000166925,71.3924
Ildr2,ENSG00000143195,90.7668
Sharpin,ENSG00000179526,72.3514
Arhgap39,ENSG00000147799,89.1382
Cd163l1,ENSG00000214279,60.1753
Syvn1,ENSG00000162298,94.3274
Enpp3,ENSG00000154269,80
Emp1,ENSG00000134531,77.0701
Slc17a2,ENSG00000112337,87.8661
Tmem38b,ENSG00000095209,72.5086
2410017I17Rik,not found,
Ampd2,ENSG00000116337,97.0909
Ly6d,ENSG00000167656,59.375
H2afj,ENSG00000246705,98.4496
Ppp2r5b,ENSG00000068971,98.7928
Cyp2j6,not found,
Gap43,ENSG00000172020,78.9916
Rnf19b,ENSG00000116514,93.7073
Nudt18,ENSG00000275074,81.4241
Prmt6,ENSG00000198890,92
Rhbdf2,ENSG00000129667,91.8984
Zfc3h1,ENSG00000133858,91.6038
Akap6,ENSG00000151320,80.8538
Safb,ENSG00000160633,86.2595
Rtn4rl2,ENSG00000186907,95
Upk3b,ENSG00000243566,78.2609
Rbm5,ENSG00000003756,98.0368
Ncf1,ENSG00000158517,82.3077
Polm,ENSG00000122678,68.8259
Ltb4r1,not found,
Pld2,ENSG00000129219,90.0322
Apoc1,ENSG00000130208,67.4699
Ephx2,ENSG00000120915,72.973
Npr3,ENSG00000113389,90.7579
Trim7,ENSG00000146054,89.0411
Ccr1,ENSG00000163823,80
Ccnl2,ENSG00000221978,89.2308
Serpina3n,ENSG00000196136,60.9929
6330418K02Rik,not found,
Npl,ENSG00000135838,85.625
Pmepa1,ENSG00000124225,87.108
Kif5c,ENSG00000168280,98.2236
Sema3c,ENSG00000075223,97.0706
Exoc6,ENSG00000138190,90.9204
Usf2,ENSG00000105698,97.9769
Snai1,ENSG00000124216,87.5
Decr1,ENSG00000104325,82.3881
Pfdn2,ENSG00000143256,96.1039
Clhc1,ENSG00000162994,69.7952
Zfp472,not found,
Gm4841,not found,
Slc16a1,ENSG00000155380,86
Arg2,ENSG00000081181,84.7458
Irf2bp1,ENSG00000170604,96.4041
Slc36a2,ENSG00000186335,81.5735
Cdk3-ps,ENSG00000250506,82.2951
E2f4,ENSG00000205250,92.0097
Fgf10,ENSG00000070193,94.2308
Wnt10b,ENSG00000169884,96.401
Wdr91,ENSG00000105875,92.1017
Jdp2,ENSG00000140044,96.319
Hdhd3,ENSG00000119431,76.494
Mipol1,ENSG00000151338,65.1584
Rasgrf1,ENSG00000058335,84.5664
Mid1ip1,ENSG00000165175,87.9781
Uqcrc2,ENSG00000140740,85.6512
Bloc1s6,ENSG00000104164,86.6279
Txndc16,ENSG00000087301,75.2727
Gm6644,not found,
Cic,ENSG00000079432,92.1335
Rnf180,ENSG00000164197,82.0946
Ssh3,ENSG00000172830,79.9697
Hibch,ENSG00000198130,81.8653
Zfp518a,ENSG00000177853,67.9703
Lrrtm4,ENSG00000176204,94.5763
Ogt,ENSG00000147162,99.6176
4921536K21Rik,ENSG00000187658,50.3145
Myocd,ENSG00000141052,82.2515
Prcp,ENSG00000137509,77.0161
Msrb2,ENSG00000148450,75.2747
Apba3,ENSG00000011132,75.3043
Loxl4,ENSG00000138131,86.7725
Psmf1,ENSG00000125818,82.6568
Lztfl1,ENSG00000163818,90.9699
Sec14l2,ENSG00000100003,93.3002
Dll1,ENSG00000198719,88.5201
Psen2,ENSG00000143801,95.9821
