gene,dai_34276789,hamvas_30342483li_26030808,luo_36514862,luo_36514862,ambalavanan_25449221,hadchoul,torgerson_30113228,wang_23897914,ahmed_37839510,zasada_31445514,zasada_31445514,bharracharya_22723293,da_paepe_20718599,fulton_30459472,gong_32412065,pietrzyk_24194948,pietrzyk_24194948,pietrzyk_24194948,pietrzyk_24194948,shen_33093882,windhorst_37090732,bhattacharya_33552042,oji_mmuo_33177681,siddiah_37123538,tsotakos_35947545,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,zasada_31445514,maic_score,contributors
AK5,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618746965,0,0,1.529756444,0,0,0,0,0,0,0,0,0,1.262239306,0,4.133172994,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28, RNASEQ: Yuon_chou_37507442_deg_day14"
CHI3L2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529650354,0,0,0,0,0,0,0,0,1.227207536,1.276727829,0,4.058564905,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_up_day5"
LY9,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529665491,0,0,0,0,0,0,0,0,1.233114693,0,0,4.014966907,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5"
LDLRAP1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529635216,0,0,0,0,0,0,1.167063028,0,1.227774798,0,0,4.009596737,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5"
RRM2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146165836,1.359154506,1.306229051,0,3.998827856,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
FCRLA,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.483729159,0,0,0,0,0,0,0,0,0,0,0,0,1.230148392,1.249738185,0,3.985654067,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Gong_32412065"
RALGPS2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.485898356,0,0,0,0,0,0,0,0,0,0,0,0,0,1.241755801,0,3.97984088,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_deg_day14"
AFF3,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.469372871,0,0,0,0,0,0,0,0,0,0,0,0,1.230636503,0,0,3.952196097,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Gong_32412065"
SUSD4,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.33950036,0,0,0,0,0,0,0,0,0,0,0,0,1.350433024,0,0,3.942120107,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Gong_32412065"
SPOCD1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.332192372,0,0,0,0,0,0,0,0,0,0,0,1.338676165,0,0,0,3.923055261,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day28"
FCRL2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.501971401,0,0,0,0,0,0,0,0,0,0,1.156140667,0,0,0,0,3.91029879,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day14"
DEPDC1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26853434,0,0,3.90820757,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
PTGFRN,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.496107317,0,0,0,0,0,0,0,0,1.15329959,0,0,0,0,3.90159363,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day5, RNASEQ: Yuon_chou_37507442_cpg_day14"
IQGAP3,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387485977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.243302864,0,0,3.882975564,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
BUB1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234430704,0,0,3.874103663,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
SLC44A5,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387485537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222470007,0,0,3.862142267,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
ASPM,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486747,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158943862,1.146431652,1.214738168,0,0,3.854411637,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord"
CD1C,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.33260209,0,0,0,0,0,0,0,0,0,0,0,0,1.259316636,1.256185218,0,3.844105449,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Gong_32412065"
NFIA,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,1.310711775,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269128949,1.238366342,0,3.832027446,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Fulton_30459472"
CENPA,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486107,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171217314,0,0,0,0,3.810890143,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_cpg_day14"
IL1RL1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486567,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165674057,0,0,0,0,3.805347347,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_cpg_day14"
KIF14,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486357,0,0,0,0,0,0,0,0,0,0,0,0,0,1.164247206,0,0,0,0,3.803920285,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_cpg_day14"
PDGFD,0,1.225909898,0,0,0,0,0,0,0,0,0,0,0,0,1.310712035,1.360834234,0,0,0,0,0,0,0,0,0,0,0,0,1.217045549,0,0,3.803789682,"EXOMESEQ: Hamvas_30342483, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Gong_32412065"
C1orf115,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,1.310711515,0,0,0,0,0,0,0,0,0,0,0,0,0,1.239005258,0,0,3.801903496,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Fulton_30459472"
PCNX2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,0,0,1.249467772,0,3.800408799,"EXOMESEQ: Li_26030808, MICROARRAY: Windhorst_37090732, RNASEQ: Yuon_chou_37507442_deg_day14"
PHC2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,0,1.241426849,0,0,3.792367877,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Windhorst_37090732"
S1PR1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,1.310710995,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22315822,0,0,3.786055937,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Fulton_30459472"
PLA2G2A,0,0,1.252186723,0,0,0,0,0,0,0,0,0,1.387486417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144510983,0,0,0,3.784184122,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_cpg_day28"
ACTN2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,0,1.231962877,0,0,3.782903904,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Windhorst_37090732"
ZBTB40,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,0,1.229924872,0,0,3.780865899,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Windhorst_37090732"
CD52,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,0,1.220223278,0,0,3.771164305,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Windhorst_37090732"
IL23R,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.333014515,0,0,0,0,0,0,0,0,0,0,1.15836302,0,0,0,0,3.743564258,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day14"
TGFA,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,1.333138292,0,0,0,0,0,0,0,0,0,0,0,0,1.154170854,0,0,0,0,3.739495869,"EXOMESEQ: Li_26030808, MICROARRAY: Da_paepe_20718599, RNASEQ: Yuon_chou_37507442_cpg_day14"
IFNLR1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.334795705,0,0,0,0,0,0,0,0,0,0,0,1.147456404,0,0,0,3.734438832,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day28"
ALPL,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,1.310711095,0,0,0,0,0,0,0,0,0,0,0,1.17034605,1.145670945,0,0,0,3.733243867,"EXOMESEQ: Li_26030808, MICROARRAY: Fulton_30459472, RNASEQ: Yuon_chou_37507442_cpg_day14"
CNRIP1,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.332963348,0,0,0,0,0,0,0,0,0,0,1.147693199,0,0,0,0,3.73284327,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day14"
CACNA1E,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,1.333121285,0,0,0,0,0,0,0,0,0,0,0,1.143689191,0,0,0,3.728997198,"EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day28"
PADI2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,1.156948795,0,0,0,0,3.707889822,"EXOMESEQ: Li_26030808, MICROARRAY: Windhorst_37090732, RNASEQ: Yuon_chou_37507442_cpg_day14"
FGFR3,1.229883813,0,0,0,0,0,0,0,0,0,0,0,0,1.333138292,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144580922,0,0,0,3.707603028,"EXOMESEQ: Dai_34276789_data, MICROARRAY: Da_paepe_20718599, RNASEQ: Yuon_chou_37507442_cpg_day28"
CDC14A,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,1.146814125,0,0,0,3.697755152,"EXOMESEQ: Li_26030808, MICROARRAY: Windhorst_37090732, RNASEQ: Yuon_chou_37507442_cpg_day28"
AK2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298754304,0,0,0,0,0,1.145321133,0,0,0,3.69626216,"EXOMESEQ: Li_26030808, MICROARRAY: Windhorst_37090732, RNASEQ: Yuon_chou_37507442_cpg_day28"
HIVEP3,0,0,1.252186723,0,0,0,0,0,1.215577795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167782768,0,0,0,0,3.635547285,"EXOMESEQ: Li_26030808, GWAS: Wang_23897914, RNASEQ: Yuon_chou_37507442_cpg_day14"
MPO,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634024505,0,0,0,0,0,0,0,0,0,0,0,3.178016401,"MICROARRAY: Pietrzyk_24194948_up_day5, EXOMESEQ: Luo_36514862_eqtl"
CD24,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529921217,0,0,0,0,0,0,0,0,0,0,0,3.073913112,"MICROARRAY: Pietrzyk_24194948_up_day5, EXOMESEQ: Luo_36514862_eqtl"
ITGA9,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529772427,0,0,0,0,0,0,0,0,0,0,0,3.073764322,"MICROARRAY: Pietrzyk_24194948_up_day5, EXOMESEQ: Luo_36514862_eqtl"
CD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.758274558,1.730958235,0,0,0,0,0,0,0,0,1.163009759,0,1.226944217,1.283990301,0,3.042264859,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
ICOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797258954,1.798462813,0,0,0,0,0,0,0,0,0,0,1.239751085,0,0,3.038213898,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day5"
UBASH3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.747834326,0,0,1.5296554,0,0,0,0,0,0,0,0,1.248010903,1.276031295,0,3.02386562,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
ITK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.738424107,0,0,0,0,0,0,0,0,0,0,0,1.23504892,1.276868412,0,3.015292519,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
TRAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78281881,0,0,0,0,0,0,0,0,0,0,0,1.223542818,0,0,3.006361628,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
EML6,0,0,1.252186723,0,0,0,0,1.746602307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99878903,"GWAS: Torgerson_30113228, EXOMESEQ: Li_26030808"
NBL1,0,0,0,0,0,0,0,1.835284159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146709108,0,0,0,2.981993267,"GWAS: Torgerson_30113228, RNASEQ: Yuon_chou_37507442_cpg_day28"
GNLY,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.147087103,1.143852383,0,0,1.715713686,2.967900409,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day28"
DPP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722219081,0,0,0,0,0,0,0,0,0,0,0,1.241194945,0,0,2.963414026,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
SH2D1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.708845261,1.520138543,0,0,0,0,0,0,0,0,0,0,1.243201608,0,0,2.95204687,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
CD96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67295121,1.497078595,0,0,0,0,0,0,0,0,0,0,1.239909005,1.277292744,0,2.950243955,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
SIRPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68820304,1.527097517,0,0,0,0,0,0,0,0,0,0,1.261844123,0,0,2.950047164,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
TRABD2A,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.683987044,0,0,1.529715951,0,0,0,0,0,0,0,0,0,0,0,2.936173766,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28"
B4GALT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529778421,0,0,0,0,0,0,0,0,1.405368785,0,0,2.935147206,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5"
SPOCK2,0,0,0,0,0,0,1.704140054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227815324,0,0,2.931955378,"RNASEQ: Yuon_chou_37507442_deg_cord, GWAS: Hadchoul_data"
CEACAM6,0,0,0,1.543991895,0,0,0,0,0,0,0,0,1.387486677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931478572,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Luo_36514862_eqtl"
CD247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648608927,0,0,0,0,0,0,0,0,0,0,0,1.223016527,1.281447968,0,2.930056895,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
SAMD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63195198,0,0,0,0,0,0,0,0,0,0,0,1.242084988,1.292824683,0,2.924776663,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
RASGRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.615083869,0,0,0,0,0,0,0,0,0,0,0,1.223421365,1.294968023,0,2.910051891,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
ITM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.653286477,0,0,0,0,0,0,0,0,0,0,0,1.255896775,1.243651564,0,2.909183252,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
GALT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.678514928,0,0,0,0,0,0,0,0,0,0,1.22931576,0,0,2.907830689,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day5"
CCNI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676393632,0,0,0,0,0,0,0,0,0,0,0,1.224393017,0,0,2.900786648,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
IGF2BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.205853735,1.73575775,0,0,0,0,0,0,1.162517306,0,0,0,0,2.898275056,"MICROARRAY: Pietrzyk_24194948_up_day5, RNASEQ: Yuon_chou_37507442_cpg_day14"
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.680062092,0,0,1.529579711,0,0,0,0,0,0,0,0,1.21712651,0,0,2.897188603,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
THEMIS,0,0,0,0,0,0,0,0,0,0,0,0,1.387486127,0,0,0,1.669707992,0,0,0,0,0,0,0,0,0,1.163944157,0,1.225121811,0,0,2.894829803,"MICROARRAY: Pietrzyk_24194948_down_day28, RNASEQ: Yuon_chou_37507442_deg_cord"
CD27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639966049,0,0,0,0,0,0,0,0,0,0,0,1.246766502,0,0,2.886732551,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
TRBC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611450694,0,0,0,0,0,0,0,0,0,0,0,1.235070433,1.26673574,0,2.878186434,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
TC2N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.622448589,0,0,0,0,0,0,0,0,0,0,0,1.241505861,1.254488961,0,2.87693755,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
SETMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.658294297,0,0,0,0,0,0,0,0,0,0,0,1.216458583,0,0,2.87475288,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
OXCT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563457591,0,0,0,0,0,0,0,0,0,0,0,1.304538561,0,0,2.867996152,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
MGAT4A,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613263998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.865450721,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28"
DHRS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637772499,0,0,0,0,0,0,0,0,0,0,1.227430369,0,0,2.865202867,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day5"
RIMBP2,0,0,0,0,0,0,0,1.717041689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14678035,0,0,0,2.863822039,"GWAS: Torgerson_30113228, RNASEQ: Yuon_chou_37507442_cpg_day28"
LEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.310710915,0,1.635898934,0,0,0,0,0,0,0,0,0,0,0,1.222591455,0,0,2.858490389,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
CLEC2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624317196,0,0,0,0,0,0,1.231214489,0,0,0,0,0,0,0,2.855531685,"RNASEQ: Oji_mmuo_33177681_mRNA, MICROARRAY: Pietrzyk_24194948_down_day28"
ATP8B4,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,1.310710975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85470287,"MICROARRAY: Fulton_30459472, EXOMESEQ: Luo_36514862_eqtl"
CTSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61691119,0,0,1.529625124,0,0,0,0,0,0,0,0,1.235005937,0,0,2.851917127,"RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
EDAR,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.598886316,1.51053212,0,0,0,0,0,0,0,0,0,0,0,0,0,2.851073039,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28"
