gene	Nichols_24571919	Chen28689251	Bao_27137150	Bhaskaran_22911455	Chao27770432	Denervaud_26353077_down_ranked	Denervaud_26353077_up_ranked	Natarajan_28851267_down	Natarajan_28851267_up	Revhaug_31454811_down_ranked	Revhaug_31454811_up_ranked	Shrestha_33446917_down_	Shrestha_33446917_up	Al_mudares_37368978_female	Al_mudares_37368978_male	Bhattacharya_25150061	Cheng_31961470	Coarfa_28818871_female_down_day21_ranked	Coarfa_28818871_female_down_day7_ranked	Coarfa_28818871_female_up_day21_ranked	Coarfa_28818871_female_up_day7_ranked	Coarfa_28818871_male_down_day21	Coarfa_28818871_male_down_day7	Coarfa_28818871_male_up_day21	Coarfa_28818871_male_up_day7	Dong_36157523	Dravet_gounot_29287116_p10	Dravet_gounot_29287116_p21	Hirani_37876024	Nitkin_32753701_24hr_unranked	Nitkin_32753701_6hr_unranked	Rao_37310763_ranked	Hurskainen_33692365_endothelial	Hurskainen_33692365_epithelial	Hurskainen_33692365_stroma	Scaffa_34417156_ranked	maic_score	contributors
TMEM176B	0.0	0.0	0.0	1.8472683133146017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4429303835582468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4245197835813581	0.0	0.0	0.0	0.0	0.0	0.0	1.4498573163197155	4.740056013192564	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Al_mudares_37368978_male
FABP5	0.0	0.0	0.0	1.847268503314602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7379534502010183	0.0	1.4428668538813143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4489788910730996	4.739114248269016	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Al_mudares_37368978_male
GAPDH	0.0	0.0	0.0	1.8472683833146017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4387860465136872	0.0	0.0	0.0	0.0	0.0	0.0	1.4504962854781538	4.736550715306443	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Hirani_37876024
PRDX1	0.0	0.0	0.0	1.8472682933146019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4361146049381155	0.0	0.0	0.0	0.0	0.0	0.0	1.450104962461016	4.733487860713733	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Hirani_37876024
LDHA	0.0	0.0	0.0	1.8472684833146018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4278382512656675	0.0	0.0	0.0	0.0	0.0	0.0	1.450691791971419	4.725798526551689	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Hirani_37876024
ACTG2	0.0	0.0	0.0	1.8472684733146019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4031631028706877	0.0	0.0	0.0	1.4438026854453014	4.694234261630591	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked
Ifi47	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911477013131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.442993913235179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6939732561565055	METHYLATION: Chen28689251, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Al_mudares_37368978_male
DES	0.0	0.0	0.0	1.847268353314602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3816393136235467	1.413044505938295	1.4104540920979804	1.4120612330582063	1.4437967899947006	4.672704456932849	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked
MEST	0.0	0.0	1.560660823264298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.433772832452354	0.0	0.0	1.36265969357673	0.0	0.0	0.0	1.669116498527687	4.663550154244339	MICROARRAY: Bao_27137150, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Hirani_37876024
TF	0.0	0.0	0.0	0.0	0.0	0.0	1.6911472613131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930160481194086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	0.0	0.0	0.0	0.0	1.4492736636101753	4.66199956979229	RNASEQ: Nitkin_32753701_24hr_unranked, SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked
VSNL1	0.0	0.0	1.560660823264298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930160681194085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6592851751070177	0.0	0.0	1.3640267983640282	0.0	0.0	0.0	1.4420340502650797	4.661980048636395	MICROARRAY: Bao_27137150, RNASEQ: Hirani_37876024, SCRNASEQ: Scaffa_34417156_ranked
SELL	0.0	0.0	0.0	0.0	0.0	0.0	1.6911473613131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4427935504079308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	0.0	1.4081648252257666	1.40556187084289	1.4063093736602827	1.4485426277282993	4.661268633910414	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
CSF3R	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911470713131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4101299590298841	0.0	0.0	0.0	0.0	4.661108671951212	METHYLATION: Chen28689251, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked
BASP1	0.0	0.0	0.0	1.847268463314602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3631684433530606	0.0	0.0	0.0	1.44546520251471	4.655902109182373	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked
C3	0.0	0.0	0.0	0.0	0.0	0.0	1.6911480913131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5084061144875438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4470216014733048	4.646575807274042	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Dong_36157523, MICROARRAY: Denervaud_26353077_up_ranked
APLNR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5948614882952608	0.0	0.0	0.0	0.0	0.0	1.4523360931621028	1.4438442335264283	1.494359220136652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.642114572267418	0.0	0.0	1.3618361573974629	1.3988789638159413	1.3965673182228542	1.3957039301356478	0.0	4.635855024378619	SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Hirani_37876024, MICROARRAY: Natarajan_28851267_down
MMP14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7379533302010184	0.0	1.4443084888578577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.450228871856513	4.63249069091539	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Shrestha_33446917_up, RNASEQ: Al_mudares_37368978_male
CHI3L1	0.0	0.0	0.0	0.0	0.0	0.0	1.6911476713131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4402784200926746	1.5215786448689212	0.0	0.0	1.4100325197302923	1.407396453813549	1.4085550618383134	0.0	4.622758835912407	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
ANO3	0.0	0.0	1.560660823264298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.654857083460246	0.0	0.0	0.0	1.3973663943228396	1.395076719559194	1.3938784029715714	0.0	4.612884301047384	MICROARRAY: Bao_27137150, SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Hirani_37876024
PTPRC	0.0	0.0	0.0	0.0	0.0	0.0	1.6911475613131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5084061144875438	0.0	0.0	0.0	0.0	0.0	0.0	1.4095590197150603	1.4069123277518474	1.4080189943377512	0.0	4.6091126955157975	SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Dong_36157523, MICROARRAY: Denervaud_26353077_up_ranked
SLPI	0.0	0.0	0.0	0.0	0.0	0.0	1.6911472813131936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.458688609654944	1.5215786448689212	0.0	1.3620244767767	1.3916317830272535	1.3894455690520326	0.0	0.0	4.604357709209369	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
MMP9	0.0	0.0	0.0	0.0	0.0	0.0	1.6911470613131936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4427153600363216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	1.4607405480212046	1.3913292691286332	1.3891652855426264	0.0	0.0	4.604054975310747	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
LSP1	0.0	0.0	1.560660823264298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4513216999399947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.574803568773672	0.0	0.0	0.0	0.0	0.0	0.0	1.4480061417236283	4.583470533761598	MICROARRAY: Bao_27137150, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Hirani_37876024
Clec4a3	0.0	0.0	0.0	0.0	0.0	0.0	1.6911470913131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4427642290185771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4476701010393862	4.5815814213711565	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Al_mudares_37368978_male
TMEM37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7379534102010183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.423305102499715	0.0	0.0	0.0	1.4110058253171578	1.4084029264155076	1.4096996383935676	0.0	4.572264338017892	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Shrestha_33446917_up, RNASEQ: Hirani_37876024
LEF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.654793468593344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4730593921205735	0.0	0.0	0.0	0.0	0.0	0.0	1.4423936727517248	4.570246533465642	MICROARRAY: Shrestha_33446917_down_, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Hirani_37876024
PLEK	0.0	0.0	0.0	0.0	0.0	0.0	1.6911475013131936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4313578977081278	0.0	0.0	0.0	1.4455182615701165	4.568023660591438	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked
EMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7379534302010184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3792891403852248	0.0	0.0	0.0	1.449586122672228	4.566828693258471	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Shrestha_33446917_up, RNASEQ: Rao_37310763_ranked
CHIA	0.0	0.0	0.0	0.0	0.0	0.0	1.6911480713131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4272655157565368	0.0	0.0	0.0	0.0	0.0	0.0	1.4472927922009389	4.565706379270669	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Hirani_37876024
PGLYRP1	0.0	0.0	0.0	0.0	0.0	0.0	1.6911471013131936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4244483230561684	0.0	0.0	1.3929034885997817	0.0	0.0	0.0	1.4474991329719646	4.563094557341326	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Hirani_37876024
PIGR	0.0	0.0	0.0	0.0	0.0	0.0	1.6911477513131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4431849575107907	0.0	0.0	0.0	1.4105980891929304	1.4079825011513984	1.4092215241363095	0.0	4.544930798016915	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Hirani_37876024
KLF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6617850465627022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4281820946895387	0.0	0.0	0.0	0.0	0.0	0.0	1.4474637602683602	4.537430901520601	MICROARRAY: Shrestha_33446917_down_, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Hirani_37876024
