gene,Nichols_24571919,Chen28689251,Bao_27137150,Bhaskaran_22911455,Chao27770432,Denervaud_26353077_down_ranked,Denervaud_26353077_up_ranked,Natarajan_28851267_down,Natarajan_28851267_up,Revhaug_31454811_down_ranked,Revhaug_31454811_up_ranked,Shrestha_33446917_down_,Shrestha_33446917_up,Al_mudares_37368978_female,Al_mudares_37368978_male,Bhattacharya_25150062,Cheng_31961470,Coarfa_28818871_female_down_day21_ranked,Coarfa_28818871_female_down_day7_ranked,Coarfa_28818871_female_up_day21_ranked,Coarfa_28818871_female_up_day7_ranked,Coarfa_28818871_male_down_day21,Coarfa_28818871_male_down_day7,Coarfa_28818871_male_up_day21,Coarfa_28818871_male_up_day7,Dong_36157523,Dravet_gounot_29287116_p21,Nitkin_32753701_24hr_unranked,Nitkin_32753701_6hr_unranked,Rao_37310763_ranked,x_dravet_gounot_29287116_p10,Hurskainen_33692365_endothelial,Hurskainen_33692365_epithelial,Hurskainen_33692365_stroma,Scaffa_34417156_ranked,maic_score,contributors
BHLHE40,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424264982,1.464685658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37621045,4.313562941,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, METHYLATION: Chen28689251"
GUCY1A1,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,1.433330294,0,1.464685558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371314804,4.308667196,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, METHYLATION: Chen28689251"
ADGRG2,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,1.464683528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367357022,4.304707383,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, METHYLATION: Chen28689251"
VSNL1,0,0,1.472869303,0,0,0,0,0,0,0,0,0,0,0,0,1.464683158,0,0,0,0,0,0,0,0,0,0,0,0,0,1.346406443,0,0,0,0,1.364505918,4.302058379,"MICROARRAY: Bao_27137150, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062"
CASP8,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.346018991,0,1.322198668,1.321796302,1.323494825,0,4.298746064,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
LSP1,0,0,1.472869303,0,0,0,0,0,0,0,0,0,0,1.435192485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383507026,4.291568814,"MICROARRAY: Bao_27137150, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Al_mudares_37368978_female"
LARS2,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424296122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392257592,4.289220548,"SCRNASEQ: Scaffa_34417156_ranked, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
GMFG,0,0,0,0,0,0,0,0,0,1.546470332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358097392,0,0,0,0,1.383807142,4.288374866,"MICROARRAY: Revhaug_31454811_down_ranked, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Rao_37310763_ranked"
SULF1,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489509399,0,0,0,0,0,1.323854874,1.323502676,1.325497667,0,4.287673899,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Dong_36157523, METHYLATION: Chen28689251"
CD82,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,1.310452938,1.309559162,1.309098709,0,4.285704176,"SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
ZBTB20,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424280614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37894901,4.275896458,"SCRNASEQ: Scaffa_34417156_ranked, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
SKAP1,0,0,0,0,0,0,0,0,0,1.546470414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344146731,0,0,0,0,1.383900928,4.274518073,"MICROARRAY: Revhaug_31454811_down_ranked, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Rao_37310763_ranked"
MAP4K4,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,1.42428494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322979179,1.322605611,1.324424321,1.367000634,4.263952407,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Al_mudares_37368978_female, METHYLATION: Chen28689251"
CTDSPL,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424282847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359854116,4.256803797,"SCRNASEQ: Scaffa_34417156_ranked, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
CREG1,0,0,0,0,1.451416772,0,0,0,0,0,0,0,0,0,1.424271309,1.464685638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317544161,1.316872194,1.317718674,0,4.233821084,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Bhattacharya_25150062, MICROARRAY: Chao27770432"
CENPF,0,0,1.472869303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.440123462,0,0,0,0,0,0,0,0,0,1.316030732,1.315331582,1.315848617,0,4.229023497,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Bao_27137150, RNASEQ: Coarfa_28818871_male_down_day21"
DUSP19,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.437327916,0,1.311233448,1.310378222,1.310094597,0,4.221228198,"SCRNASEQ: Hurskainen_33692365_endothelial, METHYLATION: Chen28689251, RNASEQ: Rao_37310763_ranked"
RAPH1,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424280738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322027337,1.321620789,1.323284582,0,4.220232153,"SCRNASEQ: Hurskainen_33692365_stroma, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
TFCP2L1,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424264858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.319857137,1.319300121,1.320617815,0,4.217549506,"SCRNASEQ: Hurskainen_33692365_stroma, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
GLRX2,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,1.423559294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.318619742,1.317954523,1.319068656,0,4.215294783,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Al_mudares_37368978_female, METHYLATION: Chen28689251"
SPC25,0,0,1.472869303,0,0,0,0,0,0,0,0,0,0,0,1.424298233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31194733,1.311099774,1.310913438,0,4.209114866,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Bao_27137150, RNASEQ: Al_mudares_37368978_male"
BACH2,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.348344526,0,0,0,0,1.385307723,4.206319082,"SCRNASEQ: Scaffa_34417156_ranked, METHYLATION: Chen28689251, RNASEQ: Rao_37310763_ranked"
