IGKV3D-20,,SFN,TMF1,,VPS13A,WFDC1,BLK,,ATP9A,GLTPD1,IFIT1,,RP11-78O7.1,WDR67,CD3E,GADD45A,LY6G6D,TCONS_00023442-XLOC_011287,,,TNNC1,C10orf105,CARD17,IFT46,GYG2,LOC105375049,UTRN,CDCA2,IGLL5,IGHG1
SORD,,IGL@,ESCO1,,NPHS1,PDGFD,SP140L,,UCP3,TAS1R3,ATP8B4,,RP11-32A1.2,TCF7,LRRN3,NOG,LY6G6D,TCONS_l2_00012221-XLOC_l2_006548,,,,,CASP1P1,TRPV4,ZNF839,RGS9,MAFF,ENC1,CPN2,ITIH3
IGHA1,,COL8A1,ZC3H7A,,GIGYF2,ADAMTS1,PLEKHG1,,C11orf68,DVL1,CLEC5,,FTH1P5,RARRES3,BTN3A3,AK5,TMEM163,NR_002974,,,,,BICC1,TULP4,KLF5,MAEL,CYP27A1,SPC25,VTN,HBA1
IGHA2,,RBP4,C12ORF5,,VSX2,TOX,EBF1,,CDC42BPB,MXRA8,CNTNAP3B,,RP4-594L9.2,CD96,SETMAR,GCET2,,NR_003303,,,,,COL23A1,PTPN23,ACAA1,GPD2,LYRM2,INO80C,KNG1,LRG1
GALNT7,,TDO2,EAF1,,LAMB2,NR2F1,E2F5,,TRIM46,AURKAIP1,CRISP3,,ACTBP6,SEPT1,WDR67,ZNF30,,NR_003355,,,,,HIVEP3,METTL22,RARS2,LOC105379383,HOXB6,THNSL1,C1R,ITIH4
IGKV-20,,HDC,TOR1ATP2,,DMPK,PTGS1,FAM129C,,AOC3,CCNL2,DAAM2,,CTD-2026G22.1,FAM134B,ITM2A,MAN1C1,,NR_003359,,,,,CTNNA3,CDAN1,CDH13,LOC105372190,AP1B1,HECW2,IGLC2,AGT
PGM2,,MSMB,PFKFB3,,NDUFS7,SMAD9,OSBPL10,,CNGA1,MRPL20,ERG,,TCTEX1D4,MTERFD2,RCAN3,PNPO,,NR_003349,,,,,CHST9,MXRA7,DNAJB1,EVC,MANEAL,NTNG2,SERPINA6,GSN
IGHG1,,INHBA,ARNTL,,CENPJ,MASP1,FCRL2,,PSME4,ANKRD65,FBN1,,C2CD4B,PI4K2A,CD247,TMEM99,,n342800,,,,,LOC729992,PRKDC,PHC2,PSD3,LINC01639,PLEKHA1,FGG,LYVE1
IGKC,,ASPM,FAM108B1,,TSC2,NLGN4Y,LOC613266,,none,TMEM88B,ITGA9,,ISPD-AS1,KIAA1430,NOG,TRAF3IP3,,n340848,,,,,LOC100288243,BOP1,DUSP13,GLS,TBX21,NDST2,,IGHG3
GMPR2,,STEAP1,STAM,,DOCK6,ADAMTS5,SWAP70,,GRIK4,VWA1,LRRN3,,WASH2P,SYNJ2BP,KDSR,BTN3A3,,NR_003297,,,,,,ZNF498,SLC39A8,RAB11FIP3,LOC105376778,KIFC1,,SERPINA6
CPNE1,,NNMT,CSNK1D,,ABCA3,SPRY1,CYS1,,AKAP13,ATAD3C,MGAM,,CLEC2B,PTGFRN,GPA33,C2orf89,,n337998,,,,,,SLC24A6,FLT1,LOC105369937,FZD10-AS1,HPS4,,IGKC
TKT,,PCOLCE2,CENPC1,,FGFR3,FAM20C,CNR2,,PRSS37,ATAD3B,MMP8,,TRIM63,CD2,CD27,SPON1,,n333033,,,,,,AQR,RNH1,LOC105377490,LOC107987138,UTP25,,AFM
BPI,,IGKC,PIK3R1,,SPG7,FBN2,TCL6,,PPFIA1,ATAD3A,OLAH,,FFAR2,ZNF91,TRAJ17,PELO,,NR_003347,,,,,,ANAPC7,KIAA1199,TASP1,MSX1,HAL,,A1BG
CSTA,,PBK,RNF19A,,PRKDC,SSH2,SNX22,,TAS2R3,TMEM240,NKTR,,NFKBIA,PITPNC1,LEF1,PPFIBP2,,n333955,,,,,,RIMS3,SERPINA1,MTFR1L,KRT2,C6orf136,,ORM2
TTR,,PAPPA,TSPYL2,,APOB,GSTO2,SNX29,,TAS2R4,MIB2,NF2,,,CYP2U1,GIMAP7,CD6,,NR_002977,,,,,,RPS26,SRD5A2,LINC02189,LOC105376514,TBC1D9,,
LYZ,,CEACAM6,KLF9,,RBBP8,FGF7,TCL1A,,WFS1,NADK,ANKRD27,,,,SAMD3,VSIG1,,NR_003314,,,,,,RORC,PTPRCAP,LOC105376467,ADARB2-AS1,MME,,
SERPINC1,,CD8A,RNF103,,ZFYVE26,ANGPTL2,MS4A1,,DMXL1,CALML6,TAF15,,,,SPON1,CRTAM,,NR_001291,,,,,,PIK3C2B,IGSF6,GALNT14,MIR629,RPL4P7,,
,,NEIL3,APPL2,,DIP2B,RAB38,COL19A1,,CCDC69,KIAA1751,LMO7,,,,SLAIN1,C21orf105,,NR_003308,,,,,,LRP5,GPR116,CHAMP1,EHD2,GSE1,,
,,APOC2,PHF12,,ACADSB,WNT2,MIR600HG,,TAS2R4,PRKCZ,CREB1,,,,FAM113B,FAM113B,,NR_003348,,,,,,SLC16A10,SSRP1,PALLD,JPH2,RTN1,,
,,SIGLEC6,GGNBP2,,OBSL1,C10orf54,RALGPS2,,PRKRA,C1orf86,TMEM50A,,,,CLEC2B,KCNMB1,,NR_002974,,,,,,MAGI2-AS3,PTP4A1,LOC102724652,HFM1,LINC02325,,
,,RRM2,RLF,,TCIRG1,OR7E37P,DENND5B,,EFTUD2,SKI,DDX42,,,,TC2N,LY9,,NR_002581,,,,,,SNHG20,MAP4K3,PRDM14,FAF2,FYN,,
,,APOBEC3B,NOP58,,GNAS,PLEKHA5,PSAT1,,MYO19,MORN1,PTRF,,,,VSIG1,DHRS4L2,,n386326,,,,,,SNHG17,PFN2,PLXNB1,LOC100128325,CLEC10A,,
,,C6ORF105,RSRC2,,ELP2,RASSF2,OR13A1,,OR51A7,PEX10,ZNF706,,,,AK5,UBASH3A,,NR_029493,,,,,,SNHG20,MRPL33,MIR4672,MAPRE3,ATP1B2,,
,,PSCA,CLK1,,POMT1,PLXNC1,DENND5B,,CNOT1,PLCH2,CASC15,,,,CTSO,CHI3L2,,NR_024065,,,,,,INKA2-AS1,DNAH3,MMP8,HSPA6,CCDC134,,
,,ADAMTS16,CRNKL1,,MKKS,ALG1L,FCRL1,,BCAR1,PANK4,ARID1B,,,,RASGRP1,CD4,,n382996,,,,,,ITGA6-AS1,NOL10,ADRA2C,MYH11,VWCE,,
,,GREM1,MIER3,,HPS4,TNFRSF12A,CD22,,FBN3,HES5,CEP192,,,,MGAT4A,TMEM204,,NR_036677,,,,,,ARHGAP22-IT1,TFB1M,MIR1276,FBXO27,CFAP70,,
,,IL1RL1,SEC14L1,,EFHC1,SEMA4D,POU2AF1,,FLJ43860,TNFRSF14,YY1AP1,,,,TRBC1,LDLRAP1,,NR_026703,,,,,,MALAT1,MANSC1,NRBP2,ZNF683,CFAP298,,
,,DOK5,MIER3,,IL4R,NFIA,KIAA0226L,,VNN2,FAM213B,CSPP1,,,,CD200R1,PLXDC1,,n408293,,,,,,MAGI2-AS3,LIMD1,LOC105370148,LOC107985815,QSOX2,,
,,CXCL5,SEC14L1,,PTF1A,ETS2,FCRLA,,NCMAP,MMEL1,ABLIM1,,,,DSC1,CTSO,,n387200,,,,,,AC068733.3,PRKCI,PRSS37,MEF2A,ATP5MF,,
,,DKK1,DNAJB6,,CCT5,PTGER2,STAP1,,NCMAP,TTC34,STAT3,,,,ZNF569,CLUAP1,,ENST00000535363,,,,,,LINC00461,AK2,F7,URB2,RN7SL444P,,
,,CDK1,PHF3,,CFD,PDE7B,CD19,,BPIFB1,ACTRT2,NETO2,,,,HOXB2,C11orf61,,TCONS_l2_00002153-XLOC_l2_000393,,,,,,AC008056.2,NIP7,LINC00845,LINC02314,GPA33,,
,,CGA,STK17A,,PALB2,PTH1R,STRBP,,PDGFD,PRDM16,RFWD3,,,,SNORA8,MINA,,n334289,,,,,,LINC01094,HIBADH,FAAP20,KRBA1,HMGXB4,,
,,DEPDC1,ETF1,,TNFRSF11B,BHMT2,HVCN1,,PSMF1,ARHGEF16,,,,,ZNF658,RWDD2A,,ENST00000459059,,,,,,BASP1-AS1,ST8SIA5,LOC107987245,FAM133B,NRIR,,
,,SELE,CEP95,,TMPRSS6,EPHB6,MMP11,,,MEGF6,,,,,EDAR,GTPBP8,,n340146,,,,,,AL139246.4,BBS2,EEA1,MBTPS1,PHF7,,
,,GPR109B,ADNP2,,ACAN,GZMH,BLNK,,,WRAP73,,,,,KLHL3,GIMAP1,,TCONS_00023442-XLOC_011287,,,,,,LINC01467,PDGFRB,LOC105373611,NFIB,H4C12,,
,,CHIT1,IFNGR1,,ATM,VGLL3,MORN4,,,TP73,,,,,ZNF658,RCAN3,,ENST00000379816,,,,,,LINC01983,GNG11,MIR3667HG,ARHGAP24,SCMH1,,
,,P4HA3,RANBP9,,LMF1,SLC40A1,ADAM28,,,CCDC27,,,,,GCET2,CD3G,,TCONS_l2_00017125-XLOC_l2_009129,,,,,,AL356022.1,BATF,LOC105373559,CCDC126,SETD6,,
,,DIO2,DCTN6,,LOXHD1,SLC16A6,KHDRBS2,,,LRRC47,,,,,BCL11B,ABCD2,,NR_004407,,,,,,SLC2A1-AS1,RAD51L3,ABLIM1,CYP51A1,ENSG00000286342,,
,,IGK@,TBC1D15,,COL3A1,MMP3,C4orf34,,,CEP104,,,,,FAM134B,BTN3A2,,NR_028502,,,,,,LINC00582,RNASE1,LOC105376322,DNAJB13,RASGRP1,,
,,SERPINA1,PELT1,,FMO3,PDE5A,SLC9A7P1,,,DFFB,,,,,GNPNAT1,CHMP7,,NR_002581,,,,,,TEX41,DUS2L,RAB6B,B3GNT6,RN7SL630P,,
,,ACP5,ZBTB43,,LRBA,SLC9A9,HLA-DQB1,,,C1orf174,,,,,CLUAP1,TBC1D4,,n337998,,,,,,LINC01322,RAB32,MYO3B,IMPA2,IFITM1,,
,,PLA2G2A,MTSS1L,,IL17RA,C13orf16,ABCB4,,,AJAP1,,,,,LZTFL1,LRRN3,,n335620,,,,,,UNC5B-AS1,ID4,SARDH,RFX6,ZIK1,,
,,BHLHE22,ZBED4,,TG,C6orf192,GABRA3,,,NPHP4,,,,,SKAP1,MORC4,,n340854,,,,,,LINC01322,WDR5,MRPS22,LOC105371712,MOSPD3,,
,,TTK,KLH11,,ABCA1,ZNF608,EBF1,,,KCNAB2,,,,,TOMM70A,TRAV8-3,,n333380,,,,,,AC068831.2,DCTN2,LOC112268009,SEPTIN9,CREB3L2,,
,,C7ORF68,ITCH,,WAC,PPAP2A,SNX29,,,CHD5,,,,,C21orf105,PID1,,n332792,,,,,,AP001981.2,HEBP2,ITGAX,MIR630,ESPL1,,
,,SLC18A2,NR1D2,,PRF1,GFRA1,PRKY,,,RNF207,,,,,GATA3,AKT3,,n381789,,,,,,AC002094.2,ZNF274,LOC107986236,TNFSF8,AGMAT,,
,,TMTC1,RNBP2,,,TGFBR3,VPREB3,,,HES3,,,,,TMEM204,PRKX,,ENST00000448680,,,,,,LINC00308,NDUFB1,CYP17A1-AS1,ACTG1P17,CPPED1,,
,,KIF14,GFPT1,,,RDH10,CAMK2D,,,GPR153,,,,,HOOK1,,,ENST00000557067,,,,,,LINC01149,RNF24,RFLNB,FOLH1,CHMP5,,
,,KIF18B,LTN1,,,FHOD3,SNX29,,,HES2,,,,,IL7R,,,n408121,,,,,,LINC01322,ACAT1,LOC105377510,LOC107986870,ENSG00000273759,,
,,CA12,C10ORF11,,,TEK,RPS26,,,ESPN,,,,,CD3D,,,n333432,,,,,,FOS,CD63,GNAT2,FAM87A,SAMD3,,
,,SFRP2,FOXJ3,,,NPC1L1,LOC100131820,,,TNFRSF25,,,,,KIAA0748,,,n336585,,,,,,PIR,MRPS10,JPT2,NME6,ISG15,,
,,KRT17,SKIL,,,CLDN23,DFNA5,,,PLEKHG5,,,,,MLLT3,,,TCONS_00000280 XLOC_000357,,,,,,CAMP,RPL36,PTPRN2-AS1,PARD6G-AS1,USP54,,
,,ADORA3,SPAG9,,,PAG1,CD72,,,NOL9,,,,,MORC4,,,n333958,,,,,,DUSP1,FNBP1,ACY3,ECEL1,ZBTB8OS,,
,,TARP,RLIM,,,C1orf115,IGLL5,,,TAS1R1,,,,,DACT1,,,n336683,,,,,,FAM189B,SPAG6,GJE1,LOC102724143,RPUSD2,,
,,SKA1,TYW5,,,GLDN,TDRD9,,,ZBTB48,,,,,OXCT1,,,n410723,,,,,,EMD,KHNYN,NKX6-2,CABP1,H3C3,,
,,CD5L,MASTL,,,PODN,CD180,,,KLHL21,,,,,CD40LG,,,TCONS_l2_00020561-XLOC_l2_010703,,,,,,HBZ,RABL3,LOC441242,LOC105374862,RN7SL396P,,
,,MXRA5,UBE2Q2,,,VWA5A,LOC100130811,,,THAP3,,,,,PELO,,,n333438,,,,,,C11orf96,IL1RL2,LINC00654,SDK1,CPVL,,
,,DLGAP5,MORF4L2,,,BCHE,PLEKHG1,,,DNAJC11,,,,,C12orf23,,,NR_024408,,,,,,XYLT2,ETNK1,CENPA,MRPL23-AS1,PLCL1,,
,,CDCP1,USP15,,,RASL12,IGFBP2,,,CAMTA1,,,,,SDAD1,,,ENST00000559553,,,,,,PSMG1,LGALS12,LOC101927881,AS-PTPRE,RN7SL3,,
,,BUB1,GPCPD1,,,ASS1,ZDHHC23,,,PER3,,,,,,,,n345353,,,,,,TM4SF1,CYP27A1,MIDEAS,GPR55,IFT122,,
,,ANLN,NUP153,,,SGCD,MZB1,,,UTS2,,,,,,,,n336841,,,,,,PCTP,GPR160,LOC105370547,DSG1-AS1,PTGER4,,
,,C1QB,TMEM2,,,PSG4,SNX25,,,TNFRSF9,,,,,,,,n406915,,,,,,HIST1H4L,PDHA2,BCRP3,CDK5RAP3,POMC,,
,,KIAA0101,YES1,,,RGS5,HS3ST1,,,PARK7,,,,,,,,n334031,,,,,,SPX,ZNF256,LOC105371908,ADSL,RN7SL617P,,
,,KMO,GORAB,,,ADAMTS8,TLE1,,,ERRFI1,,,,,,,,n338599,,,,,,BAG1,SPOP,GUCY2EP,LOC105375994,H4C13,,
,,LIPG,KIAA1429,,,CXCL12,FAM129C,,,SLC45A1,,,,,,,,ENST00000500843,,,,,,ACP7,OSBP,MIR1203,FAM238C,RN7SL735P,,
,,CDC25C,C20ORF7,,,RNASE4,CD79B,,,RERE,,,,,,,,NR_039890,,,,,,TNXB,CDCA7L,ARHGAP25,MIR99AHG,RN7SL11P,,
,,MS4A2,SOD2,,,ZFY,MYO1B,,,CA6,,,,,,,,n336585,,,,,,HBZ,P2RY6,PDLIM3,LOC105374004,HBG1,,
,,TNIP3,HAUS3,,,RECK,NXPH4,,,SLC2A7,,,,,,,,n341886,,,,,,AK1,TCTE3,SYT16,BTBD16,CD300LF,,
,,C1QA,VPS26A,,,C13orf15,MGC21881,,,SLC2A5,,,,,,,,TCONS_l2_00009549-XLOC_l2_005089,,,,,,PARP8,CEBPB,PDGFA,LINC02201,GCAT,,
,,IL17RB,ZNF839,,,MCOLN2,VPREB3,,,GPR157,,,,,,,,n333432,,,,,,KRTAP10-3,FCGR3B,RAPSN,RNF170,ENSG00000288875,,
,,THEMIS,,,,PTGES,HLA-DQB2,,,H6PD,,,,,,,,n336841,,,,,,CTAG2,PI16,C20orf27,FGF8,TOP2A,,
,,CD177,,,,NP,P2RX5,,,TMEM201,,,,,,,,n409772,,,,,,BHLHA9,SPRY3,FAR2,LINC02596,LEF1-AS1,,
,,CENPA,,,,C10orf10,FLJ45832,,,PIK3CD,,,,,,,,OTTHUMT00000312398,,,,,,RGPD4-AS1,CCR8,CLPSL1,RIPPLY3,LNPK,,
,,MKI67,,,,STOX2,PNOC,,,CLSTN1,,,,,,,,ENST00000557067,,,,,,RP11-32D16.1,ROBO1,GNMT,CCNA1,TOR1A,,
,,KIF23,,,,BMP4,C1orf220,,,NMNAT1,,,,,,,,n334591,,,,,,RP13-631K18.5,GJA8,ZDHHC11,ZDHHC22,CYTOR,,
,,HS3ST2,,,,FOXQ1,FLJ38379,,,UBE4B,,,,,,,,n345353,,,,,,TIGD5,HOXD9,SCAT1,KLHDC4,MAP3K13,,
,,MND1,,,,SDPR,CLECL1,,,KIF1B,,,,,,,,n342740,,,,,,KLC2,WASL,LOC102724652,C17orf49,MT2A,,
,,C10ORF10,,,,PSG7,KLHL14,,,PGD,,,,,,,,TCONS_l2_00020561-XLOC_l2_010703,,,,,,LRCOL1,SMAD1,OR13A1,ACTA1,GMNN,,
,,POSTN,,,,SLC2A12,LDOC1,,,APITD1-CORT,,,,,,,,n335785,,,,,,DNAJC22,FUBP1,LOC100130744,OCA2,CIT,,
,,HLA‐DRB4,,,,LTBP4,SLC32A1,,,DFFA,,,,,,,,n336823,,,,,,KIAA2012,PCSK6,ASPRV1,LOC100128310,PRKCQ-AS1,,
,,ADCYAP1,,,,MATN2,BHLHE41,,,CASZ1,,,,,,,,n332815,,,,,,NKAIN1,TNFRSF1A,NCOA1,NXN,ELOCP19,,
,,CCD102B,,,,MYLIP,ZNF608,,,C1orf127,,,,,,,,n333031,,,,,,TTLL9,FLOT1,LOC105373031,LINC00845,SMARCD3,,
,,ARNTL2,,,,TFAP2C,JUN,,,MASP2,,,,,,,,n338817,,,,,,RPL23AP76,C18orf8,DDX39B-AS1,LINC01882,CNKSR2,,
,,SIGLEC1,,,,NID1,LOC96610,,,EXOSC10,,,,,,,,n335785,,,,,,LARP4P,TMEM208,IFNA1,LOC105376291,CMPK2,,
,,BIRC5,,,,LRP1B,F2RL1,,,MTOR,,,,,,,,n335516,,,,,,ZNF574,EHHADH,TES,MIR4278,PTTG1,,
,,IQGAP3,,,,PDGFRA,AKT2,,,ANGPTL7,,,,,,,,n409772,,,,,,KIFC3,MCC,LRRC47,CACNB2,NCOA7,,
,,TPX2,,,,SLC16A14,CR2,,,PTCHD2,,,,,,,,n336102,,,,,,FPGS,ZHX1,PAQR8,ZBTB34,INTS12,,
,,IGF1,,,,MXRA5,CLEC17A,,,FBXO2,,,,,,,,n334074,,,,,,PDZD4,NCF2,PDYN,RCOR1,CAMK4,,
,,SPC25,,,,KITLG,BCL11A,,,FBXO44,,,,,,,,n336928,,,,,,LINC01122,MAOB,LOC105371601,LINC02351,CYLD-AS1,,
,,CDKN3,,,,DLL1,TUBB3,,,FBXO6,,,,,,,,n342740,,,,,,,TULP3,LINC02361,LOC105374552,TRIP13,,
,,DHRS9,,,,CDH2,RASGRP3,,,MAD2L2,,,,,,,,n336928,,,,,,,SLC7A8,CNDP1,GAB4,PLAC8,,
,,CYP24A1,,,,DENND2A,LOC400958,,,DRAXIN,,,,,,,,ENST00000445168,,,,,,,RPL17,LOC105374903,SYTL2,TBC1D4,,
,,TOP2A,,,,ST3GAL1,AREG,,,AGTRAP,,,,,,,,n337632,,,,,,,MCAT,OLFM2,PRKG2,UBALD2,,
,,LIF,,,,SERPINF1,LOC100133299,,,MTHFR,,,,,,,,n334591,,,,,,,HSPB3,LINC01783,SLC2A4RG,TOR1B,,
,,SH3RF2,,,,RARRES2,BACE2,,,CLCN6,,,,,,,,n339745,,,,,,,PCMT1,LOC107984673,LOC105371601,RNF5,,
,,TMEM158,,,,ALPL,LOC100130458,,,NPPA,,,,,,,,n336102,,,,,,,PRR13,LOC105374118,CPSF4L,TMIGD2,,
,,DIAPH3,,,,FLJ14213,TNFRSF13B,,,NPPB,,,,,,,,n335774,,,,,,,MAN1C1,TERT,CHD7,WHAMMP3,,
,,NEK2,,,,HBG2,LOC284219,,,KIAA2013,,,,,,,,n339745,,,,,,,HIVEP2,ARMC2,ANK1,DPF3,,
,,MARCO,,,,KLHL13,BEND5,,,PLOD1,,,,,,,,ENST00000445168,,,,,,,DHRS2,BTBD8,NCRNA00250,SH3YL1,,
