#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
COMPARTMENTS	GOCC:0016514	SWI/SNF complex	5	30	2.47	4.04	1.38e-08	9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,BCL7A,DPF3,ARID1B,BCL11A
COMPARTMENTS	GOCC:0044815	DNA packaging complex	5	159	1.75	2.17	9.58e-06	9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,BCL7A,DPF3,ARID1B,BCL11A
COMPARTMENTS	GOCC:0005833	Hemoglobin complex	3	24	2.35	1.99	0.00017	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
COMPARTMENTS	GOCC:0005694	Chromosome	6	951	1.05	0.87	0.0014	9606.ENSP00000349723,9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,HP1BP3,BCL7A,DPF3,ARID1B,BCL11A
COMPARTMENTS	GOCC:0035060	Brahma complex	2	15	2.38	1.09	0.0098	9606.ENSP00000479526,9606.ENSP00000490491	DPF3,ARID1B
COMPARTMENTS	GOCC:0071565	nBAF complex	2	15	2.38	1.09	0.0098	9606.ENSP00000479526,9606.ENSP00000490491	DPF3,ARID1B
COMPARTMENTS	GOCC:0031981	Nuclear lumen	6	1850	0.76	0.43	0.0440	9606.ENSP00000349723,9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,HP1BP3,BCL7A,DPF3,ARID1B,BCL11A
UniProt Keywords	KW-0561	Oxygen transport	2	12	2.47	0.96	0.0173	9606.ENSP00000338082,9606.ENSP00000494175	HBG2,HBB
Pfam	PF00042	Globin	3	14	2.58	2.0	0.00020	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
InterPro	IPR002337	Hemoglobin, beta-type	2	5	2.86	0.76	0.0426	9606.ENSP00000338082,9606.ENSP00000494175	HBG2,HBB
