Rat Gene Ranked,Rat Gene Unranked,Human Ortholog Gene Symbol
Ccl9,Fpr1,ENSG00000171051
Cyp2a3,Oas1k,ENSG00000089127
Stfa2l1,Olfm4,ENSG00000102837
Oas1k,Mt2A,not found
Fpr1,Clec4d,ENSG00000166527
Defa11,Cd163,ENSG00000177575
Klri2,RGD1561778,ENSG00000167850
Rhag,Abp1,ENSG00000002726
Mt2A,Retnlg,ENSG00000163515
Clec4d,Gsta5,not found
Cd163,Timp1,ENSG00000102265
Gsta5,RGD1565356,error - retries exceeded
Kng1,LOC641523,error - retries exceeded
F2rl2,Ceacam10,ENSG00000007129
Timp1,Il8rb,ENSG00000180871
RGD1561778,Ndufb4,ENSG00000065518
Il8rb,Gp2,ENSG00000169347
Retnlg,RGD1561983,ENSG00000117983
Ndufb4,Rhag,ENSG00000112077
Car1,Kng1,ENSG00000113889
Gp2,F2rl2,ENSG00000164220
RGD1561983,Car1,ENSG00000138449
