gene,maic_score
ABHD17B,3.004237868
NUTF2,3.004182604
FAT3,3.004153127
DEF8,3.003934881
FGD1,3.003886579
GPC4,3.003852459
C1QTNF7,3.003823359
TDG,3.003754066
RCN1,3.003722759
USP49,3.003719857
ATXN1,3.003685649
GNG12,3.003652013
FYN,3.003499947
ENTPD5,3.00332414
TFPI,3.0032806
SEMA6D,3.003274705
ALPL,3.003220363
EIF4E2,3.003192168
TMEM175,3.003099221
IDUA,3.003083486
ARHGEF7,3.0030212
LARP4B,3.002898858
GHR,3.002838441
IFT43,3.002667473
FAM83B,3.002654513
PPCS,3.002444377
LPAR1,3.002327091
BICD1,3.002127035
CANX,3.002030764
NCOA1,3.002018974
COL8A1,3.002007497
BCL9L,3.001930542
CPQ,3.001824424
RERE,3.001671142
CGNL1,3.001411742
MPZ,3.001279988
RPS27L,3.000933371
PHOSPHO1,3.000373207
PAFAH1B2,3.000132429
LRRFIP2,3.000026311
ST6GALNAC3,2.999831976
LOX,2.999796389
CEP83,2.999772807
DCAF8,2.999766911
SPINK5,2.99938207
GSR,2.998697973
CNTN1,2.998419747
LLGL1,2.998400163
CD163L1,2.998088065
P2RY14,2.997311346
MPZL2,2.99664327
C4orf33,2.996619045
MPP6,2.996592492
DCX,2.99629118
PKNOX2,2.996191943
HMG20A,2.996027779
TIMM8A,2.995132595
FOSB,2.994852008
HSPA1A,2.994805524
ZDHHC2,2.994253201
DENND2B,2.99423799
DNAJA1,2.994005336
Serpina3i,2.993853127
NFIX,2.993031052
COX4I2,2.992703754
C4orf19,2.992699042
CYP26B1,2.992005636
GALNT11,2.9914537
CXCL17,2.990393068
SOX6,2.989707748
CA2,2.989512536
LARGE1,2.989391344
TMEM200A,2.989103972
TOM1L2,2.988960371
CYRIA,2.988931657
CNKSR2,2.988716364
TNRC6B,2.988644623
ANGPTL7,2.988173822
SRXN1,2.987614865
CLEC12B,2.987254623
ACSL4,2.987183044
BDH1,2.986996965
DAGLA,2.986739371
FILIP1,2.986639211
LY6D,2.986468252
TMEFF1,2.986457937
CDC42EP2,2.98543782
OSBPL2,2.98520907
PCBP3,2.985080408
KLHL29,2.984394302
AK1,2.984174448
TNFRSF12A,2.983187151
HAVCR2,2.982417197
CDH4,2.981975829
OTUD5,2.981507965
B3GNT2,2.981065089
NPBWR1,2.977198944
OSBPL8,2.976825604
PPP1R42,2.976558925
LACTB2,2.976414245
COL9A1,2.975500464
CFH,2.975400097
CIRBP,2.975373212
NPAS2,2.97534887
SEMA4C,2.974417481
CFLAR,2.974204578
CARF,2.974007286
KLF7,2.973783689
MAP2,2.973678467
RNF25,2.973191814
WNT11,2.973162558
WDFY1,2.972639398
IRS1,2.972560481
COL4A4,2.972534175
TRIP12,2.972389495
CAB39,2.972310578
SPARCL1,2.972145238
UBE2F,2.971745009
MTCH1,2.971713099
PKM,2.971689505
VPREB3,2.971465774
FAM171A1,2.971294532
GPC3,2.970982008
PAK3,2.970887466
EGFL6,2.970740295
NFE2L2,2.97061649
R3HDM1,2.970587564
BTG1,2.970587013
LGALS1,2.970475
COL1A1,2.970469104
COL1A2,2.970327613
PTPRJ,2.970321718
PML,2.970304032
SLC26A9,2.970271897
MDK,2.970203809
ACMSD,2.970128649
TNC,2.970056423
EPAS1,2.970032841
FBLN5,2.969914932
EMP3,2.9696968
GPX1,2.969649637
Oacyl,2.969601881
LTB4R,2.9695671
MYZAP,2.969468435
FPR2,2.969466878
FMO1,2.969386443
CD44,2.96937255
UCHL5,2.969219675
CTSB,2.969136732
LRG1,2.968830169
GSN,2.968783005
SMO,2.968726447
NFASC,2.968647493
RASAL2,2.968469967
SEC16B,2.968456814
WNT2,2.968329056
EFEMP2,2.968028388
ENPEP,2.967527274
UAP1,2.967509814
CRYAB,2.96746832
PLAUR,2.967261979
PRKCD,2.967256084
GLRX,2.96714407
ANXA1,2.967126384
CLU,2.967000928
TEAD2,2.966663036
SNAI2,2.966507361
FNDC3B,2.966445883
AHCTF1,2.966365522
VEGFD,2.965988562
NHLH1,2.965753179
ESRRG,2.965707883
DCN,2.965687894
LOXL2,2.965658416
MYH10,2.96564073
ENPP2,2.96557588
XDH,2.965569985
ROBO1,2.965216258
FBLN1,2.965057081
GJC1,2.964945067
NTF3,2.964923319
USP6NL,2.964813495
FGF18,2.964614922
RGS7,2.964547301
FHL2,2.964485222
COL4A2,2.963258863
KCNQ5,2.963181245
PTH1R,2.962586887
USP20,2.962182939
ACER2,2.962181652
ZFPM2,2.961956074
ACOXL,2.961299722
GTDC1,2.960880814
TANK,2.960315244
PSMD14,2.960302092
XIRP2,2.960091647
ATF2,2.959473467
PLEKHO1,2.959312336
SESTD1,2.959197258
COL4A1,2.958794773
PRDM11,2.958000355
C11orf74,2.957842522
TRAF6,2.957816217
CD59,2.957566314
C11orf91,2.957553161
QSER1,2.957474244
ELN,2.957290678
BDNF,2.957290105
NUSAP1,2.957198593
SFTPA1,2.957190456
PTPRB,2.956689342
ITM2A,2.956559642
Ccl6,2.956359197
RTF1,2.956343105
RPAP1,2.956303647
CTSD,2.956235393
SOX8,2.956201538
TTBK2,2.95608005
LCP1,2.955993679
MACF1,2.955928829
BUB1,2.95590962
SLC34A2,2.955840398
SQOR,2.955619703
CCDC80,2.955298016
IGFBP6,2.955056303
ANAPC1,2.95504098
EFEMP1,2.954873544
SRPX,2.954860054
HOXB5,2.95420625
PAK5,2.954159744
MICOS10-NBL1,2.95390669
PTGIS,2.953883108
NKAIN4,2.953877212
ITGA8,2.953694453
KITLG,2.953558858
SOX17,2.953512458
SLC12A1,2.953315841
PDRG1,2.952975994
KIF3B,2.952883925
CAVIN3,2.952556632
GLA,2.952337144
IGFBP5,2.952173427
ZNF384,2.952033189
SLC8A3,2.951636861
ACE,2.95128911
PTPN7,2.951016909
ENG,2.950823369
POSTN,2.949897783
UAP1L1,2.94983983
TRIM67,2.948969363
PCOLCE,2.948252953
PRAG1,2.94801317
PGBD5,2.94680073
SEMA3D,2.946101865
ECM1,2.945155493
ZFP36,2.944457701
CEBPB,2.943466706
RPL34,2.943055053
FTH1,2.942975063
CTSH,2.9424619
CRLF1,2.942219556
CSTB,2.942096662
STK4,2.941932059
ST8SIA4,2.941909171
PDZD2,2.941625316
SCN3B,2.941501521
EVL,2.941346393
CDK15,2.94121328
MIF,2.941128508
TYROBP,2.94095912
TNFAIP2,2.94062389
APRT,2.940536211
SPON2,2.940295891
PCOLCE2,2.940203082
PDGFRA,2.94016858
PRKCQ,2.940152657
CHST2,2.940067697
SCN7A,2.939956643
SEMA6A,2.93978025
HMCN1,2.939571899
TTYH3,2.939507939
PIGN,2.93901022
ETV1,2.938959992
Clec4a4,2.938929871
CD81,2.938840057
GCLC,2.938758397
MARCO,2.938529114
LTBP2,2.93846971
EGFLAM,2.9384054
AKAP6,2.938208954
MAPT,2.938141324
SLC38A5,2.938086775
PODXL2,2.937838787
ARHGAP20,2.937522452
PDLIM3,2.937114626
PDE5A,2.937109921
CD248,2.937002503
ADGRG6,2.936897774
RFLNB,2.936805035
STAT1,2.936530304
SH3PXD2A,2.936359168
NIBAN1,2.936159113
NR1D1,2.93600005
TMEM252,2.935746389
RNF180,2.93553101
NR1I3,2.935156456
FMN2,2.93451197
DCHS1,2.934143879
SP100,2.934083887
MARCHF1,2.933735956
ENPP1,2.933666847
GPC1,2.933321026
MAPKAPK2,2.932137276
PIP5K1B,2.931655908
ZNF444,2.931313827
PLA2G4A,2.930900915
FIBIN,2.930666057
CEBPD,2.929379085
SH3GL3,2.929337673
RABGAP1,2.92897465
MEGF10,2.928871036
ADD3,2.928761725
LYVE1,2.928604771
FKBP4,2.928272958
PSEN2,2.928073067
VASH2,2.927349664
CCL20,2.926764303
CD55,2.926293748
AGGF1,2.925951531
IL1RN,2.925797637
TIFA,2.925540353
COMMD3,2.925505169
MXRA8,2.925453447
PSTK,2.925169325
SMIM3,2.924619709
BMP2,2.924597895
SAMD14,2.924017431
SNAP23,2.9240029
YEATS2,2.923357121
TMEM45A,2.923257459
OCLN,2.923098398
PIK3C2G,2.922728463
ARAP1,2.922360208
FOXC1,2.922313865
NR4A2,2.922298998
Cmtm2a,2.922174254
MARCKSL1,2.922094261
RAB3C,2.922080899
SNAP25,2.922003678
PRELID2,2.921864446
WDR37,2.921725435
TNPO2,2.921703091
MTSS2,2.921700994
ARMC1,2.921674493
THNSL2,2.921650489
NAT1,2.921615568
PLCXD2,2.92157412
ELAVL2,2.921572346
MAPK8,2.921539325
ZNF778,2.921512067
ACKR3,2.920437857
NAPSA,2.919956563
RGS2,2.919532255
SHISA2,2.91888355
GREM1,2.918734595
PLTP,2.918291106
IGF2R,2.918198713
PAPPA2,2.917018134
EFNB1,2.91684591
MERTK,2.916774831
INMT,2.916681383
ISLR,2.916649317
IL1B,2.91663015
SFT2D2,2.916439412
SMOX,2.916182956
ISM1,2.915827831
RBM3,2.915672441
CCN4,2.915446548
HCK,2.914696692
FCER2,2.913898729
TGM2,2.913683928
FERMT1,2.913601028
MRC1,2.91301969
CACNB3,2.912626425
NFIL3,2.91221028
DYNLL1,2.912118496
NT5DC2,2.911987733
DUSP10,2.911199745
DPP4,2.910181075
PRRG4,2.909861655
ADHFE1,2.909822929
MYBL1,2.909809016
PKHD1,2.908828652
AGT,2.908805535
MANF,2.908214811
BSCL2,2.907687482
AOX1,2.907534725
CD28,2.907126929
CREG2,2.906871861
SLC11A1,2.906482843
PLCD4,2.906415629
FAM124B,2.905786606
ADAMTS10,2.905512376
TBX4,2.905387325
CKMT1A,2.905083519
TMPO,2.903812746
MEX3B,2.903682633
HSP90AA1,2.90357589
SIRPA,2.903444467
CDH20,2.903362231
SOX13,2.903168653
C1QTNF2,2.9030854
HMOX1,2.902878098
TAOK2,2.902867186
LRRN4,2.902826286
ATF5,2.90257112
SDC2,2.902426761
NMNAT2,2.902077362
SERPINH1,2.901941819
NREP,2.901671583
CALCRL,2.901200857
CXCL14,2.900667877
C11orf96,2.900651776
RGS8,2.900339634
ADSS1,2.899683067
OBSL1,2.899114051
ATF3,2.898709261
LAMB3,2.898447656
BEND7,2.8981835
MEX3A,2.897999833
CACYBP,2.897954201
MAGED2,2.897891912
RPS16,2.897612571
G0S2,2.897454455
HSPD1,2.897316622
SLC25A3,2.896986634
RSPO4,2.896831822
GTF2A2,2.896732939
UCP2,2.896710778
Cbr2,2.896107309
TXNIP,2.895850585
SFPQ,2.89583698
TRABD2B,2.895545683
ASS1,2.895301521
KLHL23,2.895233803
RPSA,2.895042332
TP53I11,2.895031796
MYH9,2.895017579
NOP58,2.894968386
TCIM,2.894698501
IGFBP3,2.894548473
RHOBTB3,2.894441676
LXN,2.894378655
PTGS1,2.894369604
MPZL1,2.894326888
EIF4H,2.894220262
COX7B,2.894187271
MGMT,2.894141751
HNRNPF,2.894047426
RPL10,2.893981524
ARPC2,2.893882533
Acot1,2.893591541
S100A16,2.893502963
SIPA1,2.893498417
SLC43A3,2.893296199
PTMS,2.893234981
NOSTRIN,2.893224223
GNB1,2.893219991
MFAP4,2.893120446
LYZ,2.893106033
TPM1,2.893090434
SH3GLB1,2.893089213
SCGB1A1,2.893079581
Aox3,2.892950734
TRIL,2.892905054
TPT1,2.892798241
PHF12,2.892695232
AHNAK,2.892691078
COL27A1,2.892661034
BGN,2.892658116
RUNX1,2.892117672
UNC93B1,2.892068589
STK17B,2.892040203
GSPT1,2.892023192
DACH1,2.891996685
STMN1,2.891980354
TBX2,2.891820701
DIAPH1,2.891815929
FOXO1,2.891541951
ITGA4,2.89129877
MPEG1,2.891258666
CAT,2.891158205
ADAMTS17,2.891065492
ALDOA,2.890963069
FLNA,2.890957402
HEG1,2.890856281
FCER1G,2.890835294
CYP4B1,2.890820157
C7,2.890803158
PSMA3,2.89074336
NCOR1,2.890706315
ACOT7,2.890678978
OAZ2,2.890676784
MTNR1B,2.890660149
FCGRT,2.890576154
PSAP,2.890575344
PILRA,2.890566588
EIF4G1,2.890482851
GSTM5,2.890429737
RCAN1,2.89025798
LAMA5,2.890255578
CALR,2.890235263
CCN5,2.890176553
CACNA1D,2.890171556
DBN1,2.889970249
RAMP2,2.889912731
Ms4a4d,2.889863397
TMEM59,2.889847981
ANP32A,2.889729891
DPEP1,2.889570067
DHX9,2.889518005
CYB5A,2.889500034
THRA,2.889495605
Chil4,2.88925876
CD47,2.889150086
TIMP3,2.889065259
FKBP10,2.888998591
STOX2,2.888941745
GRHL1,2.888911397
GFRA2,2.888534505
C1orf54,2.888522814
MBOAT2,2.888519134
BPTF,2.888463909
BAMBI,2.888122516
ILF3,2.887942022
ILK,2.88793357
CASP6,2.887827406
ADAM33,2.88776523
TGFBI,2.887648188
CTSV,2.887508018
PLCB1,2.887372396
P4HA3,2.887259995
ZNF644,2.887228214
HP,2.887219967
LTBP3,2.887145329
HMG20B,2.887137846
GIMAP1-GIMAP5,2.887009268
VEGFA,2.886981639
ITGB6,2.88693023
PSMD8,2.886910333
SPTAN1,2.886835502
THBD,2.88682055
EVA1B,2.886655483
PHGR1,2.886619707
IL36G,2.886504646
GOLGB1,2.886369073
ILF2,2.886300116
TNFAIP8,2.886112525
CYTH3,2.886106171
WNT5A,2.886056184
ESD,2.885974681
RDX,2.8859499
JPT1,2.885949337
NKD1,2.885915765
CCDC141,2.885822272
TCF7L1,2.885607521
SLC12A2,2.885579552
UBE2M,2.88554046
PDIA4,2.885529614
IGFBP7,2.88549574
DBP,2.885486488
PTPRD,2.885424004
DKK3,2.885418391
CNN3,2.885406635
HBP1,2.885342351
ARID4B,2.88528818
KLK8,2.884665035
ERLEC1,2.884624522
NAPA,2.884523485
KLHDC8B,2.884514408
LRRC58,2.884385882
VPS35,2.884362612
IGFBP4,2.884281529
EYA2,2.88421636
PMVK,2.884197081
TUSC3,2.884185334
FOS,2.884117687
DCUN1D1,2.884048237
TCF21,2.883746239
EPCAM,2.883432089
CCAR1,2.883413307
LOXL1,2.883344387
CSRP2,2.883203392
MMD,2.882982172
SOX4,2.8828271
HSD17B12,2.882739669
JADE1,2.882690969
LMNA,2.882257854
CYCS,2.882238065
HTRA1,2.881927404
PRDM6,2.881847942
GIMAP1,2.881784335
CCND2,2.881322328
RALB,2.880947073
ELK3,2.880775089
CACNB2,2.880706829
FAM89B,2.880282146
MTHFD1,2.879660785
PDXP,2.879614984
BMP1,2.879181403
NME1,2.87907387
MEX3D,2.878998237
GLRX3,2.878975389
GRB10,2.878882407
RBMS3,2.878867833
EPRS1,2.878808919
RUNX1T1,2.878666618
PPP1R14C,2.87845242
SMARCE1,2.878443299
B4GALT4,2.878259375
MXD4,2.87824987
NFIA,2.878229383
TMCC3,2.878220582
TGFB3,2.877861592
PRG4,2.877795071
CLK1,2.87776884
PLEKHG1,2.877747823
GATA2,2.877592212
RGS16,2.877566919
ADRA1A,2.877497689
VCAM1,2.877481751
Marcks,2.877398228
BRD3,2.877377277
H2AZ2,2.877270276
DPT,2.877226909
ABHD17A,2.876685885
ZNF536,2.876563987
SUN2,2.875931081
PAG1,2.875864085
BNIP3L,2.875665871
TENM4,2.875644388
ANP32E,2.875586899
CDO1,2.875517327
NET1,2.875495802
SERPINB6,2.875484818
NUPR1,2.875411992
ALDH1A1,2.875135876
IFNGR1,2.875061074
LRRC17,2.874700271
CSNK1E,2.874521313
IL1R1,2.874459379
C1orf115,2.874403981
NR2F6,2.874348465
MAP7D1,2.874213914
RPL7L1,2.87402134
KCNE4,2.873925335
SMTN,2.873870165
TUBB4B,2.873574114
PGAM1,2.873548453
ADGRA3,2.873516574
TSHZ1,2.873097446
P3H3,2.87306018
NIN,2.872834275
MACROH2A2,2.872645745
ADAMTS1,2.872535302
KDELR3,2.872530382
SMARCA5,2.87246169
ZFP36L1,2.872454914
MEF2C,2.872284473
GNG11,2.872175006
LMNB1,2.871976768
MDH2,2.871959143
PREX2,2.871886
ARHGAP42,2.871830772
ADAM23,2.871755288
OLA1,2.871705708
TET3,2.87164246
ATP5F1B,2.871512597
AXL,2.871440652
CCT7,2.871235551
TGIF2,2.871122063
MYO6,2.871048913
CFTR,2.871030705
JMY,2.870999384
SH3PXD2B,2.870820512
PTPRS,2.870533806
CLIP3,2.870337283
WT1,2.870234156
RERG,2.870140059
TCF7,2.87002754
PRR14,2.870017569
ID2,2.86999553
RRAS2,2.869943726
ST3GAL5,2.86994148
PTOV1,2.869582685
IL1A,2.869400409
CEBPA,2.869311389
CCDC8,2.869115331
PLS3,2.869113055
TMA7,2.869050036
GAS1,2.869007835
ZNF703,2.868942269
FBN2,2.868935635
IFITM2,2.868902243
LMCD1,2.868854554
HOXB4,2.868756106
GLT8D1,2.868646558
GYG1,2.868617559
RSU1,2.86854096
MPC1,2.868375429
FKBP7,2.868369063
PAM,2.867978118
SEPTIN9,2.867654131
PHF14,2.867335578
FAM178B,2.867324758
ADCY7,2.867263296
CTXN1,2.867068818
HIC1,2.867010016
PLK2,2.866909272
HPRT1,2.866795692
KDM7A,2.866793262
SEPTIN11,2.866760565
CERK,2.866689603
ZMYND8,2.866419795
PLXNA2,2.866274788
COLGALT1,2.86573546
ERF,2.865714388
ANTXR1,2.865509987
UBE2E3,2.865466477
TRAF7,2.865264227
EMILIN1,2.864945425
ADAM19,2.864940435
SLC30A1,2.864471439
TSPAN6,2.864396928
SLC4A4,2.864293266
HNRNPA1,2.864242398
STOM,2.863924849
MYLK,2.863786417
ZNF260,2.863687446
CYC1,2.863315635
INPP5D,2.863051127
IKBKE,2.862992073
RFTN2,2.862590543
VPS72,2.862539028
LRRN2,2.861109528
TNNT2,2.861066486
MGAT1,2.861006115
ZNF451,2.860757787
IL1RL2,2.859937026
METTL21EP,2.859476624
GSTA3,2.859273639
UGGT1,2.858464396
TNS1,2.858249002
IGFBP2,2.85789413
DNAJB2,2.857747689
LMBRD1,2.857654638
TUBB2A,2.857562486
CARD9,2.856890371
ADAMTS13,2.856421378
PACC1,2.856331339
COQ10B,2.856291797
ABI1,2.855934977
AGAP1,2.855838751
QSOX1,2.855810869
CEP170,2.855745065
LRRFIP1,2.8555504
ODR4,2.855339693
ADORA1,2.855326359
PHLPP1,2.854907865
PLEKHA6,2.854744153
ARMC9,2.854366727
GALNT3,2.854249213
PHF21A,2.854128475
SSTR4,2.85410149
GATA3,2.854030385
TMEM163,2.853939817
VASP,2.853916852
KCTD12,2.853777053
TMCC2,2.853589097
ZNF207,2.853434608
SCYL3,2.853316489
CNNM4,2.853140253
LAMC2,2.853105318
SFMBT2,2.852759995
XRCC5,2.852508885
CYB5R1,2.852488807
PRR13,2.852318567
TMEM9,2.851929267
LGR6,2.851703122
BMF,2.851697996
PDLIM5,2.851581374
HTR2B,2.851483146
RALGDS,2.851344569
PRRX1,2.851172618
ITPKB,2.851092746
OPTN,2.850994895
TOR3A,2.850703869
NDFIP1,2.850696861
ARHGAP30,2.850630867
PHYH,2.850619691
ARFGEF1,2.850430725
NFKBIA,2.850242136
RRS1,2.849819471
CYP27A1,2.849664531
RXRG,2.849597681
WDR75,2.849387272
FMOD,2.848785081
AIDA,2.848644521
ITLN1,2.848531891
SPINT1,2.848125067
UQCC1,2.847982627
HLX,2.847916291
FJX1,2.847892757
ATIC,2.847623073
ADAMTSL2,2.847475622
APBB1IP,2.847112743
SLC23A1,2.84665047
DSTYK,2.846449072
GARNL3,2.846074306
CNTRL,2.846028145
TRAF5,2.845933739
